,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,23.0,UTA,NBA,SG,38.0,2.0,10.9,1.8,4.7,0.376,0.8,2.6,0.323,0.9,2.1,0.443,0.466,1.2,1.6,0.75,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6
1,2019-20,24.0,MEM,NBA,SG,38.0,0.0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7
2,2020-21,25.0,MEM,NBA,SG,50.0,38.0,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6
3,2021-22,26.0,MIL,NBA,SG,66.0,61.0,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1
4,2022-23,27.0,MIL,NBA,SG,72.0,70.0,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4
5,2023-24,28.0,PHO,NBA,SG,42.0,42.0,33.0,4.5,8.6,0.515,2.7,5.4,0.498,1.8,3.3,0.543,0.669,1.7,1.9,0.886,0.7,3.4,4.1,2.8,0.9,0.6,1.4,2.1,13.2
6,Career,,,NBA,,306.0,213.0,24.7,3.4,7.6,0.448,2.0,4.9,0.41,1.4,2.7,0.514,0.579,1.3,1.6,0.865,0.5,2.4,2.9,1.9,0.7,0.2,0.9,1.5,10.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,MIL,NBA,,138.0,131.0,27.4,3.6,8.2,0.444,2.2,5.5,0.404,1.4,2.7,0.526,0.579,1.3,1.4,0.89,0.7,2.7,3.3,1.9,0.8,0.2,0.8,1.5,10.7
9,2 seasons,,MEM,NBA,,88.0,38.0,22.5,3.3,7.6,0.436,1.9,4.7,0.395,1.4,2.8,0.504,0.559,1.3,1.5,0.868,0.3,2.5,2.8,1.8,0.6,0.1,0.9,1.4,9.8
10,1 season,,PHO,NBA,,42.0,42.0,33.0,4.5,8.6,0.515,2.7,5.4,0.498,1.8,3.3,0.543,0.669,1.7,1.9,0.886,0.7,3.4,4.1,2.8,0.9,0.6,1.4,2.1,13.2
11,1 season,,UTA,NBA,,38.0,2.0,10.9,1.8,4.7,0.376,0.8,2.6,0.323,0.9,2.1,0.443,0.466,1.2,1.6,0.75,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6
