,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,20.0,TOR,NBA,SF,74.0,62.0,20.0,2.2,4.7,0.471,1.0,2.7,0.371,1.2,2.0,0.604,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9
1,2018-19,21.0,TOR,NBA,SF,67.0,6.0,20.2,2.7,6.0,0.453,1.0,3.0,0.332,1.7,3.0,0.574,0.536,0.5,0.9,0.581,0.9,2.1,2.9,0.7,0.7,0.3,0.8,2.1,7.0
2,2019-20,22.0,TOR,NBA,SF,69.0,68.0,29.9,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1.0,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6
3,2020-21,23.0,TOR,NBA,SF,43.0,43.0,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6.0,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9
4,2021-22,24.0,TOR,NBA,SF,48.0,48.0,36.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1
5,2022-23,25.0,TOR,NBA,SF,67.0,67.0,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8
6,2023-24,26.0,TOT,NBA,SF,41.0,41.0,34.1,5.8,11.7,0.498,2.1,5.5,0.379,3.7,6.1,0.606,0.588,1.6,2.0,0.774,1.0,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3
7,2023-24,26.0,TOR,NBA,SF,27.0,27.0,33.3,5.8,11.9,0.489,2.3,6.0,0.374,3.6,5.9,0.608,0.584,1.2,1.7,0.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
8,2023-24,26.0,NYK,NBA,SF,14.0,14.0,35.7,5.8,11.2,0.516,1.8,4.6,0.391,4.0,6.6,0.602,0.596,2.3,2.7,0.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
9,Career,,,NBA,,409.0,335.0,29.0,4.5,9.5,0.475,1.7,4.4,0.376,2.9,5.1,0.56,0.561,1.3,1.7,0.747,1.1,3.2,4.3,1.6,1.3,0.5,1.3,2.4,12.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7 seasons,,TOR,NBA,,395.0,321.0,28.7,4.5,9.5,0.473,1.6,4.4,0.375,2.8,5.1,0.558,0.56,1.2,1.7,0.742,1.1,3.2,4.3,1.6,1.2,0.5,1.3,2.4,11.8
12,1 season,,NYK,NBA,,14.0,14.0,35.7,5.8,11.2,0.516,1.8,4.6,0.391,4.0,6.6,0.602,0.596,2.3,2.7,0.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
