,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2012-13,20.0,GSW,NBA,SF,81.0,81.0,25.4,3.4,7.8,0.439,0.6,1.8,0.359,2.8,6.0,0.464,0.481,1.8,2.3,0.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2
1,2013-14,21.0,GSW,NBA,SF,78.0,24.0,28.3,3.5,8.7,0.399,0.8,2.4,0.347,2.6,6.3,0.419,0.448,1.7,2.3,0.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,9.5
2,2014-15,22.0,GSW,NBA,SF,82.0,82.0,28.3,3.9,8.0,0.482,1.1,2.6,0.405,2.8,5.4,0.519,0.548,1.3,1.8,0.72,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
3,2015-16,23.0,GSW,NBA,SF,66.0,59.0,30.9,4.5,9.6,0.466,1.2,3.2,0.383,3.2,6.3,0.508,0.531,1.5,2.0,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
4,2016-17,24.0,DAL,NBA,PF,79.0,79.0,35.5,7.6,16.2,0.468,1.0,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
5,2017-18,25.0,DAL,NBA,PF,77.0,77.0,34.2,7.0,15.7,0.445,1.5,4.3,0.357,5.4,11.4,0.478,0.494,3.4,4.1,0.827,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9
6,2018-19,26.0,TOT,NBA,"PF,SF",77.0,77.0,32.9,5.6,13.3,0.42,2.3,5.7,0.395,3.3,7.6,0.439,0.504,3.0,3.6,0.824,0.7,3.9,4.7,1.5,0.6,0.2,1.3,1.6,16.4
7,2018-19,26.0,DAL,NBA,PF,49.0,49.0,32.3,5.9,14.6,0.404,2.5,6.3,0.389,3.4,8.3,0.416,0.489,3.4,4.0,0.833,0.7,3.5,4.2,1.3,0.7,0.2,1.4,1.6,17.7
8,2018-19,26.0,SAC,NBA,SF,28.0,28.0,33.9,5.0,11.1,0.455,1.9,4.6,0.408,3.1,6.4,0.489,0.54,2.3,2.9,0.8,0.8,4.8,5.5,1.9,0.6,0.1,1.1,1.5,14.3
9,2019-20,27.0,SAC,NBA,PF,72.0,72.0,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.7,7.3,0.501,0.525,3.0,3.7,0.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5
10,2020-21,28.0,SAC,NBA,PF,58.0,58.0,36.2,5.5,11.1,0.497,1.7,4.4,0.391,3.8,6.7,0.567,0.575,3.4,4.1,0.83,1.1,5.5,6.6,3.5,0.7,0.2,1.6,1.3,16.1
11,2021-22,29.0,SAC,NBA,PF,77.0,77.0,33.5,5.1,10.8,0.469,1.8,4.7,0.394,3.2,6.2,0.525,0.554,4.4,5.4,0.826,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4
12,2022-23,30.0,SAC,NBA,PF,82.0,82.0,32.5,4.6,9.6,0.473,1.6,4.3,0.374,3.0,5.3,0.553,0.556,4.3,5.0,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0
13,2023-24,31.0,SAC,NBA,PF,48.0,48.0,30.1,4.1,8.7,0.477,1.9,4.8,0.396,2.3,3.9,0.578,0.586,1.9,2.3,0.809,0.9,2.1,2.9,1.3,0.7,0.2,0.8,1.3,12.0
14,Career,,,NBA,,877.0,816.0,31.8,5.0,10.9,0.456,1.4,3.7,0.38,3.6,7.3,0.495,0.52,2.7,3.4,0.81,1.0,3.9,4.9,1.8,0.7,0.2,1.2,1.5,14.1
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6 seasons,,SAC,NBA,,365.0,365.0,33.5,4.9,10.4,0.472,1.7,4.4,0.388,3.2,6.0,0.534,0.554,3.4,4.2,0.825,1.0,4.0,5.0,2.2,0.7,0.2,1.2,1.3,14.9
17,4 seasons,,GSW,NBA,,307.0,246.0,28.1,3.8,8.5,0.446,0.9,2.5,0.376,2.8,6.0,0.475,0.501,1.6,2.1,0.739,1.0,3.6,4.6,1.5,0.7,0.2,1.0,1.9,10.1
18,3 seasons,,DAL,NBA,,205.0,205.0,34.2,7.0,15.6,0.445,1.6,4.2,0.367,5.4,11.4,0.474,0.495,3.2,3.9,0.841,1.0,4.2,5.2,1.6,0.7,0.2,1.4,1.5,18.7
