,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,19.0,NYK,NBA,SG,56.0,55.0,30.4,5.2,13.0,0.402,1.1,3.5,0.32,4.1,9.5,0.432,0.445,2.8,4.5,0.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3
1,2020-21,20.0,NYK,NBA,SG,72.0,72.0,34.9,6.5,14.7,0.441,1.7,4.3,0.401,4.8,10.4,0.457,0.499,2.9,3.8,0.746,0.9,4.8,5.8,3.0,0.7,0.3,1.9,2.6,17.6
2,2021-22,21.0,NYK,NBA,SF,70.0,70.0,34.5,7.0,17.1,0.408,2.0,5.8,0.342,5.0,11.3,0.442,0.466,4.1,5.8,0.714,0.9,4.9,5.8,3.0,0.6,0.2,2.2,2.0,20.0
3,2022-23,22.0,NYK,NBA,SG,73.0,73.0,33.9,7.0,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,0.485,4.0,5.4,0.74,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6
4,2023-24,23.0,TOT,NBA,SG,39.0,39.0,30.8,6.9,14.8,0.465,1.6,4.6,0.339,5.3,10.2,0.521,0.517,3.8,5.0,0.763,0.8,4.4,5.2,2.8,0.5,0.4,1.8,2.1,19.2
5,2023-24,23.0,NYK,NBA,SG,26.0,26.0,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
6,2023-24,23.0,TOR,NBA,SG,13.0,13.0,33.6,8.1,14.7,0.55,1.4,3.8,0.36,6.7,10.8,0.617,0.597,3.5,5.4,0.643,1.1,6.0,7.1,3.5,0.6,0.4,1.8,2.9,21.0
7,Career,,,NBA,,310.0,309.0,33.3,6.5,15.3,0.428,1.6,4.8,0.343,4.9,10.5,0.466,0.481,3.5,4.9,0.716,0.9,4.5,5.4,2.8,0.7,0.3,2.1,2.3,18.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5 seasons,,NYK,NBA,,297.0,296.0,33.2,6.5,15.3,0.422,1.6,4.8,0.342,4.8,10.5,0.459,0.476,3.5,4.9,0.72,0.9,4.4,5.3,2.8,0.7,0.3,2.1,2.3,18.1
10,1 season,,TOR,NBA,,13.0,13.0,33.6,8.1,14.7,0.55,1.4,3.8,0.36,6.7,10.8,0.617,0.597,3.5,5.4,0.643,1.1,6.0,7.1,3.5,0.6,0.4,1.8,2.9,21.0
