,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2011-12,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2012-13,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013-14,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2014-15,25.0,BRK,NBA,SF,78,28,23.8,3.3,7.4,.453,1.2,3.3,.355,2.2,4.1,.531,.532,1.1,1.4,.821,0.6,2.1,2.7,0.9,0.4,0.1,1.0,1.3,9.0
4,2015-16,26.0,BRK,NBA,SF,79,39,26.8,4.1,9.5,.433,1.6,4.3,.382,2.5,5.2,.474,.519,1.4,1.7,.833,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2
5,2016-17,27.0,TOT,NBA,SF,81,54,25.7,4.6,10.4,.445,1.8,4.8,.367,2.9,5.6,.512,.530,2.7,3.0,.893,0.5,3.0,3.4,1.4,0.4,0.1,1.6,1.8,13.7
6,2016-17,27.0,BRK,NBA,SF,55,54,26.9,4.9,11.1,.440,1.8,5.0,.357,3.1,6.1,.509,.521,2.7,3.0,.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2
7,2016-17,27.0,WAS,NBA,SF,26,0,23.1,4.1,9.0,.457,1.7,4.4,.391,2.4,4.6,.521,.553,2.7,2.9,.934,0.5,2.5,3.1,0.8,0.4,0.2,1.5,1.8,12.7
8,2017-18,28.0,IND,NBA,SF,80,80,30.8,5.1,10.7,.474,1.9,4.8,.402,3.1,5.8,.534,.565,2.2,2.6,.868,0.4,3.0,3.4,1.5,0.7,0.1,1.3,1.6,14.3
9,2018-19,29.0,IND,NBA,SF,81,81,31.8,6.4,13.0,.497,2.0,4.8,.425,4.4,8.2,.538,.575,3.0,3.8,.807,0.4,3.7,4.1,2.0,0.9,0.0,1.7,1.7,18.0
10,2019-20,30.0,UTA,NBA,SF,63,63,33.1,6.6,14.8,.447,3.0,7.3,.414,3.6,7.6,.479,.548,4.0,4.4,.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
11,2020-21,31.0,UTA,NBA,SF,72,72,30.8,5.6,12.8,.439,2.5,6.4,.390,3.1,6.4,.487,.536,3.2,3.7,.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17.0
12,2021-22,32.0,UTA,NBA,PF,69,69,30.9,6.1,13.4,.455,2.6,6.8,.387,3.5,6.7,.524,.552,3.2,3.8,.858,0.8,3.4,4.3,1.7,0.5,0.0,1.7,1.7,18.1
13,2022-23,33.0,DET,NBA,PF,59,59,32.1,7.3,14.9,.488,2.5,6.0,.411,4.8,9.0,.539,.570,4.5,5.1,.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6
14,2023-24,34.0,DET,NBA,PF,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2
15,Career,,,NBA,,690,572,29.5,5.5,11.8,.461,2.1,5.4,.395,3.3,6.5,.515,.550,2.7,3.2,.860,0.5,3.1,3.6,1.7,0.6,0.1,1.7,1.7,15.8
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3 seasons,,BRK,NBA,,212,121,25.7,4.0,9.1,.441,1.5,4.1,.366,2.5,5.0,.502,.524,1.6,1.9,.847,0.5,2.6,3.1,1.2,0.4,0.1,1.3,1.5,11.2
18,3 seasons,,UTA,NBA,,204,204,31.5,6.1,13.7,.447,2.7,6.8,.397,3.4,6.9,.496,.546,3.5,3.9,.880,0.7,3.4,4.1,1.9,0.6,0.1,2.0,1.7,18.4
19,2 seasons,,IND,NBA,,161,161,31.3,5.8,11.8,.487,2.0,4.8,.413,3.8,7.0,.537,.570,2.6,3.2,.831,0.4,3.4,3.7,1.7,0.8,0.1,1.5,1.7,16.1
20,2 seasons,,DET,NBA,,87,86,32.3,7.2,15.0,.481,2.7,6.4,.413,4.6,8.6,.533,.570,4.0,4.7,.857,0.6,3.1,3.6,2.6,0.7,0.1,2.3,2.0,21.1
21,1 season,,WAS,NBA,,26,0,23.1,4.1,9.0,.457,1.7,4.4,.391,2.4,4.6,.521,.553,2.7,2.9,.934,0.5,2.5,3.1,0.8,0.4,0.2,1.5,1.8,12.7
