,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2015-16,PHO,13.8,2.6,2.5,2.8,3.8,1.3,11.4,4.8,0.6,16.400000000000002,16.3,5.1,18.9
1,2016-17,PHO,22.1,3.4,3.2,4.7,5.2,1.9,18.3,7.8,0.9,25.5,25.3,6.6,28.700000000000003
2,2017-18,PHO,24.9,4.7,4.5,5.4,7.1,2.7,19.5,8.4,0.9,29.599999999999998,29.4,9.2,34.099999999999994
3,2018-19,PHO,26.6,6.8,4.1,6.1,6.5,2.1,19.6,9.2,0.9,33.4,30.700000000000003,10.899999999999999,37.5
4,2019-20,PHO,26.6,6.5,4.2,6.7,5.7,2.0,18.3,9.0,0.7,33.1,30.8,10.7,37.3
5,2020-21,PHO,25.6,4.3,4.2,5.1,5.5,1.9,19.2,9.3,0.8,29.900000000000002,29.8,8.5,34.1
6,2021-22,PHO,26.8,4.8,5.0,4.6,7.0,2.7,20.9,9.7,1.1,31.6,31.8,9.8,36.6
7,2022-23,PHO,27.8,5.5,4.5,5.8,6.0,2.1,20.1,9.9,1.0,33.3,32.3,10.0,37.8
8,2023-24,PHO,28.3,7.3,4.9,6.1,5.9,2.3,19.8,9.9,0.9,35.6,33.2,12.2,40.5
9,Career,,24.2,4.9,4.0,5.1,5.8,2.1,18.3,8.5,0.9,29.1,28.2,8.9,33.1
