,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,22.0,PHO,NBA,SF,82.0,56.0,29.5,3.0,6.9,0.43,1.3,3.8,0.335,1.7,3.0,0.548,0.523,1.2,1.4,0.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3
1,2019-20,23.0,PHO,NBA,SF,73.0,32.0,28.0,3.4,6.6,0.51,1.0,2.7,0.361,2.4,4.0,0.61,0.583,1.4,1.7,0.844,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,9.1
2,2020-21,24.0,PHO,NBA,SF,72.0,72.0,32.6,5.0,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5
3,2021-22,25.0,PHO,NBA,SF,82.0,82.0,34.8,5.6,10.5,0.534,1.4,3.8,0.369,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2
4,2022-23,26.0,TOT,NBA,"SF,SG",83.0,83.0,35.7,7.1,15.3,0.468,2.0,5.3,0.382,5.1,9.9,0.514,0.535,3.8,4.3,0.895,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1
5,2022-23,26.0,PHO,NBA,SF,56.0,56.0,36.4,6.3,13.6,0.463,1.8,4.7,0.387,4.5,9.0,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
6,2022-23,26.0,BRK,NBA,SG,27.0,27.0,34.2,8.9,18.6,0.475,2.5,6.7,0.376,6.3,11.9,0.531,0.543,5.9,6.6,0.894,0.9,3.6,4.5,2.7,1.0,0.6,1.8,1.6,26.1
7,2023-24,27.0,BRK,NBA,SF,47.0,47.0,35.1,7.7,16.9,0.455,2.4,6.6,0.369,5.3,10.3,0.51,0.527,4.1,5.0,0.825,0.9,4.2,5.0,3.7,1.0,0.4,2.3,1.7,21.9
8,Career,,,NBA,,439.0,372.0,32.5,5.2,10.6,0.489,1.6,4.3,0.375,3.5,6.3,0.566,0.565,2.2,2.5,0.85,0.9,3.2,4.1,2.5,1.2,0.6,1.1,2.0,14.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,PHO,NBA,,365.0,298.0,32.1,4.6,9.1,0.499,1.4,3.8,0.376,3.1,5.3,0.586,0.577,1.6,1.9,0.848,0.9,3.1,4.0,2.3,1.3,0.6,0.9,2.0,12.2
11,2 seasons,,BRK,NBA,,74.0,74.0,34.8,8.1,17.5,0.463,2.5,6.6,0.371,5.6,10.9,0.519,0.533,4.8,5.6,0.855,0.9,4.0,4.8,3.3,1.0,0.5,2.1,1.7,23.4
