,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2009-10,GSW,17.5,5.9,4.5,2.2,4.8,2.1,14.3,6.6,1.9,23.4,22.0,10.4,27.9
1,2010-11,GSW,18.6,5.8,3.9,2.9,4.6,2.0,14.2,6.8,1.5,24.400000000000002,22.5,9.7,28.3
2,2011-12,GSW,14.7,5.3,3.4,1.5,4.7,2.1,11.4,5.6,1.5,20.0,18.099999999999998,8.7,23.4
3,2012-13,GSW,22.9,6.9,4.0,3.4,7.7,3.5,17.8,8.0,1.6,29.799999999999997,26.9,10.9,33.8
4,2013-14,GSW,24.0,8.5,4.3,3.9,7.9,3.3,17.7,8.4,1.6,32.5,28.3,12.8,36.8
5,2014-15,GSW,23.8,7.7,4.3,3.9,8.1,3.6,16.8,8.2,2.0,31.5,28.1,12.0,35.8
6,2015-16,GSW,30.1,6.7,5.4,4.6,11.2,5.1,20.2,10.2,2.1,36.800000000000004,35.5,12.100000000000001,42.2
7,2016-17,GSW,25.3,6.6,4.5,4.1,10.0,4.1,18.3,8.5,1.8,31.9,29.8,11.1,36.4
8,2017-18,GSW,26.4,6.1,5.1,5.5,9.8,4.2,16.9,8.4,1.6,32.5,31.5,11.2,37.599999999999994
9,2018-19,GSW,27.3,5.2,5.3,3.8,11.7,5.1,19.4,9.2,1.3,32.5,32.6,10.5,37.8
10,2019-20,GSW,20.8,6.6,5.2,5.2,9.8,2.4,16.4,6.6,1.0,27.4,26.0,11.8,32.6
11,2020-21,GSW,32.0,5.8,5.5,5.7,12.7,5.3,21.7,10.4,1.2,37.8,37.5,11.3,43.3
12,2021-22,GSW,25.5,6.3,5.2,4.3,11.7,4.5,19.1,8.4,1.3,31.8,30.7,11.5,37.0
13,2022-23,GSW,29.4,6.3,6.1,4.6,11.4,4.9,20.2,10.0,0.9,35.699999999999996,35.5,12.399999999999999,41.8
14,2023-24,GSW,27.5,5.0,4.3,5.1,11.6,4.8,19.4,8.8,0.8,32.5,31.8,9.3,36.8
15,Career,,24.7,6.4,4.7,4.0,9.1,3.9,17.8,8.4,1.6,31.1,29.4,11.100000000000001,35.8
