,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,21.0,DET,NBA,PG,34.0,1.0,13.4,1.5,5.0,0.302,0.4,1.9,0.185,1.1,3.1,0.375,0.337,0.9,1.0,0.912,0.1,1.3,1.4,3.1,0.6,0.2,1.0,1.6,4.3
1,2015-16,22.0,DET,NBA,PG,12.0,0.0,13.3,1.6,4.5,0.352,0.1,0.8,0.1,1.5,3.7,0.409,0.361,1.6,2.8,0.576,0.3,1.1,1.4,1.8,0.3,0.0,0.6,1.7,4.8
2,2016-17,23.0,BRK,NBA,PG,59.0,18.0,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,7.3
3,2017-18,24.0,BRK,NBA,PG,80.0,58.0,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6
4,2018-19,25.0,BRK,NBA,PG,68.0,4.0,28.1,5.4,12.2,0.442,1.8,5.4,0.335,3.6,6.7,0.528,0.517,4.2,5.2,0.806,0.4,2.1,2.4,4.6,0.6,0.3,2.2,2.8,16.8
5,2019-20,26.0,BRK,NBA,PG,64.0,49.0,31.2,6.6,16.0,0.415,1.9,6.3,0.308,4.7,9.7,0.485,0.476,5.4,7.0,0.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
6,2020-21,27.0,BRK,NBA,SG,3.0,3.0,21.3,2.0,5.3,0.375,0.7,2.3,0.286,1.3,3.0,0.444,0.438,2.0,2.0,1.0,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
7,2021-22,28.0,TOT,NBA,PG,67.0,51.0,29.6,4.6,11.0,0.416,1.7,4.9,0.339,2.9,6.0,0.479,0.493,2.9,3.8,0.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7
8,2021-22,28.0,WAS,NBA,PG,44.0,44.0,30.2,4.2,11.2,0.376,1.6,5.1,0.31,2.6,6.0,0.432,0.447,2.6,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6
9,2021-22,28.0,DAL,NBA,PG,23.0,7.0,28.3,5.3,10.6,0.498,1.8,4.5,0.404,3.4,6.0,0.568,0.584,3.4,4.7,0.725,0.4,2.7,3.1,3.9,0.7,0.3,1.3,1.9,15.8
10,2022-23,29.0,TOT,NBA,"PG,SG",79.0,79.0,34.5,5.8,13.3,0.438,2.3,6.2,0.369,3.5,7.1,0.498,0.524,3.4,4.2,0.812,0.4,3.1,3.4,6.5,0.8,0.3,1.8,2.4,17.3
11,2022-23,29.0,DAL,NBA,SG,53.0,53.0,34.1,6.0,13.1,0.455,2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
12,2022-23,29.0,BRK,NBA,PG,26.0,26.0,35.3,5.5,13.7,0.404,1.7,5.7,0.289,3.9,8.0,0.488,0.465,3.8,4.7,0.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,2.4,16.5
13,2023-24,30.0,BRK,NBA,PG,45.0,45.0,30.5,4.2,10.5,0.395,1.9,5.8,0.327,2.2,4.7,0.479,0.485,2.7,3.5,0.783,0.6,2.8,3.4,6.0,0.8,0.2,1.4,1.8,13.0
14,Career,,,NBA,,511.0,308.0,28.0,4.5,10.7,0.415,1.6,4.8,0.332,2.9,5.9,0.483,0.49,3.2,4.0,0.794,0.5,2.7,3.1,5.3,0.7,0.3,1.7,2.3,13.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7 seasons,,BRK,NBA,,345.0,203.0,28.7,4.6,11.1,0.413,1.6,5.0,0.323,3.0,6.1,0.487,0.486,3.5,4.4,0.795,0.5,2.7,3.1,5.7,0.8,0.3,1.9,2.4,14.3
17,2 seasons,,DAL,NBA,,76.0,60.0,32.3,5.8,12.3,0.466,2.4,5.9,0.404,3.4,6.5,0.522,0.562,3.3,4.2,0.788,0.4,2.7,3.1,4.9,0.7,0.3,1.6,2.2,17.1
18,2 seasons,,DET,NBA,,46.0,1.0,13.3,1.5,4.8,0.314,0.3,1.6,0.173,1.2,3.2,0.385,0.343,1.1,1.5,0.746,0.2,1.2,1.4,2.7,0.5,0.1,0.9,1.6,4.4
19,1 season,,WAS,NBA,,44.0,44.0,30.2,4.2,11.2,0.376,1.6,5.1,0.31,2.6,6.0,0.432,0.447,2.6,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6
