,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,22.0,MIL,NBA,SG,27.0,0.0,15.2,1.9,4.6,0.403,0.8,3.1,0.265,1.0,1.5,0.683,0.492,0.3,0.4,0.75,0.6,1.8,2.4,1.1,0.5,0.2,0.7,1.4,4.9
1,2019-20,23.0,MIL,NBA,SG,66.0,24.0,23.0,3.5,7.7,0.455,1.3,3.7,0.336,2.3,4.0,0.567,0.536,1.0,1.3,0.733,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2
2,2020-21,24.0,MIL,NBA,SG,66.0,66.0,27.5,3.8,9.1,0.42,2.0,5.2,0.379,1.8,3.9,0.475,0.528,0.8,1.1,0.718,1.2,4.5,5.8,3.1,1.1,0.2,1.4,1.7,10.4
3,2021-22,25.0,TOT,NBA,SG,42.0,1.0,23.9,2.8,8.0,0.351,1.8,5.2,0.339,1.0,2.8,0.373,0.461,1.7,2.0,0.843,1.0,3.1,4.0,2.8,1.1,0.2,1.7,1.6,9.0
4,2021-22,25.0,MIL,NBA,SG,17.0,0.0,20.1,2.3,6.9,0.331,1.2,4.4,0.284,1.1,2.6,0.409,0.419,1.4,1.6,0.852,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,7.2
5,2021-22,25.0,SAC,NBA,SG,25.0,1.0,26.6,3.2,8.7,0.362,2.1,5.8,0.368,1.0,3.0,0.351,0.484,1.9,2.2,0.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3
6,2022-23,26.0,GSW,NBA,SG,72.0,36.0,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4
7,2023-24,27.0,NYK,NBA,SG,49.0,31.0,23.3,4.3,9.6,0.451,2.9,6.8,0.418,1.4,2.7,0.534,0.6,0.9,1.2,0.733,0.8,2.4,3.2,2.3,1.2,0.3,1.1,1.9,12.4
8,Career,,,NBA,,322.0,158.0,24.2,3.4,8.0,0.426,1.9,5.0,0.373,1.5,3.0,0.512,0.542,0.9,1.2,0.77,1.0,3.4,4.4,2.7,1.2,0.2,1.4,1.7,9.6
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,MIL,NBA,,176.0,90.0,23.2,3.3,7.7,0.424,1.5,4.3,0.343,1.8,3.4,0.524,0.518,0.8,1.1,0.745,1.0,3.6,4.7,2.4,1.0,0.3,1.3,1.6,8.8
11,1 season,,GSW,NBA,,72.0,36.0,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4
12,1 season,,NYK,NBA,,49.0,31.0,23.3,4.3,9.6,0.451,2.9,6.8,0.418,1.4,2.7,0.534,0.6,0.9,1.2,0.733,0.8,2.4,3.2,2.3,1.2,0.3,1.1,1.9,12.4
13,1 season,,SAC,NBA,,25.0,1.0,26.6,3.2,8.7,0.362,2.1,5.8,0.368,1.0,3.0,0.351,0.484,1.9,2.2,0.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3
