,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2016-17,MIN,3.8,2.4,2.1,0.5,0.9,0.3,4.0,1.5,1.0,6.199999999999999,5.9,4.5,8.3
1,2017-18,CHI,13.4,6.0,4.3,1.6,2.6,0.8,12.8,5.5,2.0,19.4,17.7,10.3,23.700000000000003
2,2018-19,CHI,11.3,6.0,4.1,1.2,2.1,0.7,11.0,4.7,1.5,17.3,15.4,10.1,21.4
3,2019-20,CHI,7.3,3.4,3.6,0.8,2.2,0.6,6.7,3.0,2.0,10.7,10.9,7.0,14.3
4,2020-21,ATL,1.3,0.5,1.5,0.8,0.5,0.0,3.0,0.3,0.5,1.8,2.8,2.0,3.3
5,2021-22,POR,7.6,5.6,3.5,1.2,0.8,0.1,7.3,3.1,1.6,13.2,11.1,9.1,16.7
6,2022-23,UTA,13.2,5.6,4.5,1.9,1.6,0.8,9.8,5.3,1.1,18.799999999999997,17.7,10.1,23.299999999999997
7,2023-24,UTA,5.3,4.2,2.9,0.3,1.4,0.6,4.5,2.2,0.9,9.5,8.2,7.1,12.399999999999999
8,Career,,8.1,4.3,3.4,0.9,1.7,0.5,7.6,3.3,1.4,12.399999999999999,11.5,7.699999999999999,15.799999999999999
9,,,,,,,,,,,,,,,
10,3 seasons,CHI,10.7,5.1,4.0,1.2,2.3,0.7,10.2,4.4,1.8,15.799999999999999,14.7,9.1,19.799999999999997
11,1 season,MIN,3.8,2.4,2.1,0.5,0.9,0.3,4.0,1.5,1.0,6.199999999999999,5.9,4.5,8.3
12,2 seasons,UTA,8.0,4.7,3.5,0.8,1.5,0.7,6.3,3.3,1.0,12.7,11.5,8.2,16.2
13,1 season,POR,7.6,5.6,3.5,1.2,0.8,0.1,7.3,3.1,1.6,13.2,11.1,9.1,16.7
14,1 season,ATL,1.3,0.5,1.5,0.8,0.5,0.0,3.0,0.3,0.5,1.8,2.8,2.0,3.3
