,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2007-08,19.0,SEA,NBA,SG,80,80,34.6,7.3,17.1,.430,0.7,2.6,.288,6.6,14.5,.455,.451,4.9,5.6,.873,0.9,3.5,4.4,2.4,1.0,0.9,2.9,1.5,20.3
1,2008-09,20.0,OKC,NBA,SF,74,74,39.0,8.9,18.8,.476,1.3,3.1,.422,7.6,15.7,.486,.510,6.1,7.1,.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8,25.3
2,2009-10,21.0,OKC,NBA,SF,82,82,39.5,9.7,20.3,.476,1.6,4.3,.365,8.1,16.1,.506,.514,9.2,10.2,.900,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1
3,2010-11,22.0,OKC,NBA,SF,78,78,38.9,9.1,19.7,.462,1.9,5.3,.350,7.3,14.4,.504,.509,7.6,8.7,.880,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7
4,2011-12,23.0,OKC,NBA,SF,66,66,38.6,9.7,19.7,.496,2.0,5.2,.387,7.7,14.4,.535,.547,6.5,7.6,.860,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0
5,2012-13,24.0,OKC,NBA,SF,81,81,38.5,9.0,17.7,.510,1.7,4.1,.416,7.3,13.6,.539,.559,8.4,9.3,.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1
6,2013-14,25.0,OKC,NBA,SF,81,81,38.5,10.5,20.8,.503,2.4,6.1,.391,8.1,14.8,.549,.560,8.7,9.9,.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0
7,2014-15,26.0,OKC,NBA,SF,27,27,33.8,8.8,17.3,.510,2.4,5.9,.403,6.4,11.4,.565,.578,5.4,6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4
8,2015-16,27.0,OKC,NBA,SF,72,72,35.8,9.7,19.2,.505,2.6,6.7,.387,7.1,12.5,.569,.573,6.2,6.9,.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2
9,2016-17,28.0,GSW,NBA,PF,62,62,33.4,8.9,16.5,.537,1.9,5.0,.375,7.0,11.5,.608,.594,5.4,6.2,.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1
10,2017-18,29.0,GSW,NBA,SF,68,68,34.2,9.3,18.0,.516,2.5,6.1,.419,6.7,11.9,.565,.586,5.3,5.9,.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4
11,2018-19,30.0,GSW,NBA,SF,78,78,34.6,9.2,17.7,.521,1.8,5.0,.353,7.5,12.8,.587,.571,5.7,6.5,.885,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,26.0
12,2019-20,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-21,32.0,BRK,NBA,PF,35,32,33.1,9.3,17.2,.537,2.4,5.4,.450,6.8,11.8,.577,.608,6.0,6.8,.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9
14,2021-22,33.0,BRK,NBA,PF,55,55,37.2,10.5,20.3,.518,2.1,5.5,.383,8.4,14.8,.568,.570,6.8,7.4,.910,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9
15,2022-23,34.0,TOT,NBA,PF,47,47,35.6,10.3,18.3,.560,2.0,4.9,.404,8.3,13.4,.617,.614,6.5,7.1,.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1
16,2022-23,34.0,BRK,NBA,PF,39,39,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
17,2022-23,34.0,PHO,NBA,PF,8,8,33.6,9.1,16.0,.570,2.8,5.1,.537,6.4,10.9,.586,.656,5.0,6.0,.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,0.9,26.0
18,2023-24,35.0,PHO,NBA,PF,41,41,37.3,10.1,19.0,.533,2.2,5.0,.449,7.9,14.0,.563,.592,5.9,6.7,.876,0.5,5.9,6.4,5.8,0.8,1.3,3.1,1.9,28.4
19,Career,,,NBA,,1027,1024,36.7,9.4,18.7,.500,1.9,4.9,.387,7.5,13.8,.540,.551,6.7,7.6,.885,0.7,6.4,7.0,4.4,1.1,1.1,3.2,1.9,27.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9 seasons,,"SEA,OKC",NBA,,641,641,37.8,9.2,19.1,.483,1.8,4.7,.380,7.4,14.4,.517,.530,7.2,8.1,.882,0.8,6.2,7.0,3.7,1.2,1.0,3.2,1.9,27.4
22,3 seasons,,GSW,NBA,,208,208,34.1,9.1,17.5,.524,2.1,5.4,.384,7.1,12.1,.586,.583,5.5,6.2,.883,0.5,6.6,7.1,5.4,0.8,1.5,2.7,1.9,25.8
23,3 seasons,,BRK,NBA,,129,126,35.7,10.2,19.0,.535,2.1,5.3,.400,8.1,13.8,.587,.590,6.6,7.2,.910,0.4,6.7,7.1,5.8,0.8,1.2,3.5,2.1,29.0
24,2 seasons,,PHO,NBA,,49,49,36.7,10.0,18.5,.539,2.3,5.0,.463,7.7,13.5,.566,.601,5.7,6.6,.870,0.5,5.9,6.4,5.4,0.7,1.3,3.0,1.7,28.0
