,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,23.0,DAL,NBA,PF,81.0,35.0,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3
1,2017-18,24.0,DAL,NBA,PF,21.0,13.0,21.3,2.2,5.8,0.38,1.0,3.2,0.299,1.2,2.6,0.481,0.463,0.5,0.7,0.733,1.0,2.5,3.6,1.2,0.5,0.2,1.0,2.0,5.9
2,2018-19,25.0,DAL,NBA,SF,81.0,26.0,24.5,2.8,6.5,0.432,1.0,3.1,0.311,1.8,3.4,0.544,0.507,0.9,1.3,0.709,1.7,3.1,4.8,1.2,0.9,0.4,0.9,2.3,7.5
3,2019-20,26.0,DAL,NBA,PF,71.0,68.0,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.8,3.1,0.589,0.575,1.1,1.5,0.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5
4,2020-21,27.0,DAL,NBA,PF,60.0,60.0,32.0,3.7,7.8,0.472,2.0,5.0,0.394,1.7,2.7,0.616,0.6,0.5,0.7,0.756,1.6,3.8,5.4,1.7,0.9,0.4,0.8,2.3,9.8
5,2021-22,28.0,DAL,NBA,PF,80.0,80.0,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0
6,2022-23,29.0,TOT,NBA,PF,66.0,66.0,30.4,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3
7,2022-23,29.0,DAL,NBA,PF,40.0,40.0,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1
8,2022-23,29.0,BRK,NBA,PF,26.0,26.0,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2
9,2023-24,30.0,BRK,NBA,PF,42.0,31.0,28.8,3.3,8.1,0.412,2.1,5.5,0.383,1.2,2.6,0.473,0.541,0.3,0.5,0.7,1.7,3.1,4.8,1.4,0.7,0.6,0.8,2.2,9.1
10,Career,,,NBA,,502.0,379.0,27.8,3.0,7.0,0.435,1.5,4.2,0.359,1.5,2.8,0.55,0.544,0.7,1.0,0.722,1.5,3.1,4.6,1.4,0.8,0.5,0.9,2.2,8.3
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 seasons,,DAL,NBA,,434.0,322.0,27.8,3.0,6.8,0.443,1.5,4.1,0.36,1.6,2.8,0.564,0.55,0.7,1.0,0.721,1.5,3.1,4.6,1.4,0.8,0.4,0.9,2.1,8.3
13,2 seasons,,BRK,NBA,,68.0,57.0,28.4,3.0,7.8,0.39,1.8,5.2,0.356,1.2,2.6,0.456,0.508,0.4,0.6,0.744,1.8,3.1,4.9,1.5,0.7,0.6,0.9,2.3,8.4
