,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,21.0,CHI,NBA,C,43.0,7.0,14.2,2.2,3.1,0.701,0.0,0.0,,2.2,3.1,0.701,0.701,0.7,1.4,0.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
1,2020-21,22.0,TOT,NBA,C,54.0,11.0,14.6,2.9,4.2,0.684,0.0,0.0,,2.9,4.2,0.684,0.684,1.3,2.0,0.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7.0
2,2020-21,22.0,CHI,NBA,C,31.0,11.0,12.4,1.9,2.8,0.69,0.0,0.0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7
3,2020-21,22.0,WAS,NBA,C,23.0,0.0,17.7,4.1,6.0,0.681,0.0,0.0,,4.1,6.0,0.681,0.681,2.0,2.9,0.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1
4,2021-22,23.0,WAS,NBA,C,72.0,53.0,20.1,4.0,5.7,0.693,0.0,0.0,0.0,4.0,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4
5,2022-23,24.0,WAS,NBA,C,78.0,47.0,20.6,3.7,5.1,0.732,0.0,0.0,,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0
6,2023-24,25.0,WAS,NBA,C,44.0,44.0,26.3,4.5,6.4,0.695,0.0,0.0,,4.5,6.4,0.695,0.695,1.9,2.7,0.706,2.9,5.0,7.9,1.6,1.0,2.1,1.0,3.3,10.8
7,Career,,,NBA,,291.0,162.0,19.3,3.5,5.0,0.704,0.0,0.0,0.0,3.5,5.0,0.704,0.704,1.5,2.2,0.673,2.0,3.2,5.2,0.9,0.5,1.5,0.9,2.4,8.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,WAS,NBA,,217.0,144.0,21.3,4.0,5.6,0.705,0.0,0.0,0.0,4.0,5.6,0.705,0.705,1.7,2.4,0.69,2.3,3.8,6.1,1.1,0.6,1.5,1.0,2.5,9.6
10,2 seasons,,CHI,NBA,,74.0,18.0,13.4,2.1,3.0,0.697,0.0,0.0,,2.1,3.0,0.697,0.697,0.8,1.4,0.584,1.3,1.5,2.8,0.5,0.3,1.2,0.7,2.1,5.0
