,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2018-19,LAC,10.8,3.3,2.8,1.9,1.7,0.6,8.7,4.2,1.2,14.100000000000001,13.600000000000001,6.1,16.9
1,2019-20,OKC,19.0,3.3,5.9,4.1,3.6,1.2,14.5,6.8,1.1,22.3,24.9,9.2,28.2
2,2020-21,OKC,23.7,5.9,4.7,5.3,4.9,2.0,16.1,8.2,0.8,29.6,28.4,10.600000000000001,34.3
3,2021-22,OKC,24.5,5.9,5.0,5.9,5.3,1.6,18.8,8.5,1.3,30.4,29.5,10.9,35.4
4,2022-23,OKC,31.4,5.5,4.8,9.8,2.5,0.9,20.3,10.4,1.6,36.9,36.199999999999996,10.3,41.7
5,2023-24,OKC,31.3,6.4,5.6,8.3,3.4,1.2,20.1,10.9,2.2,37.7,36.9,12.0,43.3
6,Career,,22.4,4.8,4.7,5.6,3.3,1.2,15.8,7.8,1.4,27.2,27.099999999999998,9.5,31.9
7,,,,,,,,,,,,,,,
8,5 seasons,OKC,25.9,5.2,5.3,6.7,3.8,1.3,18.0,8.9,1.4,31.099999999999998,31.2,10.5,36.4
9,1 season,LAC,10.8,3.3,2.8,1.9,1.7,0.6,8.7,4.2,1.2,14.100000000000001,13.600000000000001,6.1,16.9
