,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,21.0,WAS,NBA,PF,48.0,48.0,30.1,5.3,11.4,0.466,0.5,1.8,0.287,4.8,9.5,0.5,0.489,2.4,2.9,0.829,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5
1,2020-21,22.0,WAS,NBA,PF,57.0,57.0,31.5,5.4,11.4,0.478,0.8,2.4,0.328,4.6,9.0,0.519,0.513,2.2,2.8,0.77,0.9,4.6,5.5,1.4,0.8,0.1,1.2,2.1,13.8
2,2021-22,23.0,WAS,NBA,PF,42.0,13.0,22.5,4.5,9.1,0.491,1.3,2.9,0.447,3.1,6.1,0.512,0.563,1.1,1.6,0.697,0.6,3.2,3.8,1.1,0.5,0.2,0.8,1.3,11.3
3,2022-23,24.0,TOT,NBA,PF,63.0,9.0,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2
4,2022-23,24.0,WAS,NBA,PF,30.0,0.0,24.3,5.3,10.8,0.488,1.0,3.0,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0
5,2022-23,24.0,LAL,NBA,PF,33.0,9.0,22.4,3.8,7.9,0.485,0.6,2.2,0.296,3.2,5.7,0.556,0.525,1.3,1.8,0.721,1.0,3.7,4.7,0.7,0.2,0.4,0.5,1.0,9.6
6,2023-24,25.0,LAL,NBA,PF,37.0,8.0,23.0,4.3,8.6,0.494,1.2,3.0,0.391,3.1,5.7,0.548,0.561,1.6,2.2,0.753,0.8,2.9,3.6,1.1,0.7,0.2,0.8,1.4,11.4
7,Career,,,NBA,,247.0,135.0,26.3,4.8,10.0,0.481,0.9,2.5,0.355,3.9,7.5,0.523,0.526,1.8,2.3,0.767,0.9,3.8,4.8,1.3,0.6,0.2,1.0,1.6,12.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,WAS,NBA,,177.0,118.0,27.8,5.1,10.7,0.479,0.9,2.5,0.356,4.3,8.3,0.516,0.52,1.9,2.4,0.776,1.0,4.1,5.1,1.4,0.6,0.2,1.1,1.8,13.0
10,2 seasons,,LAL,NBA,,70.0,17.0,22.7,4.1,8.3,0.49,0.9,2.6,0.354,3.1,5.7,0.551,0.545,1.5,2.0,0.739,0.9,3.2,4.1,0.9,0.5,0.3,0.7,1.2,10.5
