,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,20.0,HOU,NBA,PF,28.0,0.0,7.9,0.7,1.5,0.488,0.1,0.2,0.333,0.6,1.3,0.514,0.512,0.4,0.5,0.786,0.8,0.9,1.7,0.5,0.3,0.4,0.5,2.0,1.9
1,2019-20,21.0,HOU,NBA,C,23.0,2.0,11.6,1.9,2.9,0.657,0.0,0.2,0.0,1.9,2.7,0.71,0.657,0.8,1.2,0.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
2,2020-21,22.0,TOT,NBA,C,46.0,2.0,12.2,2.0,3.7,0.55,0.0,0.1,0.333,2.0,3.6,0.558,0.556,1.0,1.5,0.648,1.4,2.5,3.9,1.2,0.4,0.8,1.0,2.3,5.1
3,2020-21,22.0,DEN,NBA,C,30.0,0.0,9.1,1.4,2.7,0.513,0.0,0.0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5
4,2020-21,22.0,CLE,NBA,C,16.0,2.0,17.9,3.3,5.7,0.582,0.1,0.4,0.333,3.2,5.3,0.6,0.593,1.5,2.2,0.686,1.6,4.4,6.0,2.5,0.5,1.2,1.4,2.8,8.3
5,2021-22,23.0,LAC,NBA,C,68.0,0.0,17.9,3.4,5.4,0.626,0.2,0.4,0.467,3.2,4.9,0.64,0.645,1.3,1.9,0.689,1.7,3.2,4.9,2.4,0.7,1.1,1.2,2.5,8.3
6,2022-23,24.0,NYK,NBA,C,82.0,8.0,19.8,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4.0,6.5,1.2,0.6,0.8,0.8,2.6,5.0
7,2023-24,25.0,NYK,NBA,C,47.0,21.0,25.4,2.8,4.4,0.622,0.0,0.1,0.333,2.7,4.4,0.626,0.624,1.3,1.9,0.692,3.4,5.3,8.6,2.0,1.2,1.1,1.1,2.9,6.9
8,Career,,,NBA,,294.0,33.0,17.3,2.4,4.0,0.586,0.1,0.3,0.31,2.3,3.7,0.608,0.597,0.9,1.4,0.683,2.0,3.4,5.4,1.5,0.7,0.9,0.9,2.4,5.7
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,NYK,NBA,,129.0,29.0,21.9,2.4,4.2,0.569,0.1,0.3,0.225,2.3,3.8,0.597,0.577,0.9,1.3,0.685,2.9,4.4,7.3,1.5,0.8,0.9,0.9,2.7,5.7
11,1 season,,LAC,NBA,,68.0,0.0,17.9,3.4,5.4,0.626,0.2,0.4,0.467,3.2,4.9,0.64,0.645,1.3,1.9,0.689,1.7,3.2,4.9,2.4,0.7,1.1,1.2,2.5,8.3
12,2 seasons,,HOU,NBA,,51.0,2.0,9.5,1.3,2.1,0.593,0.0,0.2,0.182,1.2,1.9,0.639,0.602,0.6,0.8,0.714,1.0,1.7,2.7,0.6,0.3,0.5,0.6,1.9,3.1
13,1 season,,DEN,NBA,,30.0,0.0,9.1,1.4,2.7,0.513,0.0,0.0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5
14,1 season,,CLE,NBA,,16.0,2.0,17.9,3.3,5.7,0.582,0.1,0.4,0.333,3.2,5.3,0.6,0.593,1.5,2.2,0.686,1.6,4.4,6.0,2.5,0.5,1.2,1.4,2.8,8.3
