,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,22.0,LAL,NBA,SG,63.0,23.0,23.2,2.8,6.0,0.469,1.2,3.1,0.396,1.6,2.8,0.551,0.573,1.0,1.5,0.702,0.7,3.5,4.2,1.3,0.7,0.3,0.7,1.7,7.9
1,2018-19,23.0,LAL,NBA,SG,67.0,22.0,25.6,2.8,6.9,0.407,1.4,4.1,0.336,1.4,2.8,0.511,0.506,0.8,1.2,0.688,0.5,3.2,3.7,1.4,1.0,0.6,0.9,2.2,7.8
2,2019-20,24.0,NOP,NBA,SF,65.0,16.0,27.0,3.5,8.2,0.423,1.9,5.4,0.342,1.6,2.7,0.584,0.537,1.3,1.8,0.739,0.9,5.6,6.5,1.7,1.0,0.4,1.2,2.5,10.1
3,2020-21,25.0,NOP,NBA,SF,47.0,4.0,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8.0,2.3,0.8,0.3,1.0,2.4,9.2
4,2021-22,26.0,TOT,NBA,SG,54.0,53.0,33.2,5.3,10.5,0.504,1.4,3.9,0.343,4.0,6.6,0.601,0.569,3.0,3.9,0.758,1.1,6.0,7.2,4.1,1.1,0.2,2.1,2.8,14.9
5,2021-22,26.0,NOP,NBA,SG,41.0,40.0,33.5,4.8,9.4,0.505,1.0,3.2,0.323,3.7,6.2,0.598,0.56,2.8,3.8,0.753,1.3,6.5,7.8,4.1,1.1,0.3,2.0,2.9,13.4
6,2021-22,26.0,POR,NBA,SG,13.0,13.0,32.1,7.1,14.1,0.503,2.4,6.4,0.373,4.7,7.7,0.61,0.587,3.4,4.4,0.772,0.7,4.7,5.4,4.3,1.2,0.2,2.5,2.5,19.9
7,2022-23,27.0,TOT,NBA,SF,76.0,52.0,32.3,3.6,6.8,0.529,0.8,2.2,0.372,2.8,4.7,0.601,0.588,1.7,2.3,0.75,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8
8,2022-23,27.0,POR,NBA,SF,51.0,51.0,33.4,3.6,7.1,0.504,0.7,2.2,0.304,2.9,4.9,0.594,0.551,1.7,2.3,0.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5
9,2022-23,27.0,NYK,NBA,SF,25.0,1.0,30.0,3.7,6.3,0.586,1.1,2.1,0.519,2.6,4.2,0.619,0.672,1.8,2.3,0.789,1.9,5.2,7.0,3.6,1.4,0.5,1.5,2.5,10.2
10,2023-24,28.0,NYK,NBA,SF,48.0,9.0,28.9,2.8,6.6,0.432,0.8,2.8,0.301,2.0,3.8,0.527,0.495,0.8,1.0,0.833,1.3,5.5,6.8,3.0,0.8,0.3,1.2,1.8,7.3
11,Career,,,NBA,,420.0,179.0,28.4,3.4,7.4,0.461,1.3,3.6,0.346,2.2,3.8,0.573,0.546,1.4,1.9,0.747,1.1,5.2,6.2,2.5,0.9,0.3,1.2,2.3,9.6
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,NOP,NBA,,153.0,60.0,29.3,3.7,8.2,0.452,1.5,4.4,0.334,2.3,3.8,0.59,0.542,1.8,2.3,0.754,1.1,6.2,7.3,2.5,1.0,0.3,1.3,2.5,10.7
14,2 seasons,,LAL,NBA,,130.0,45.0,24.4,2.8,6.5,0.435,1.3,3.6,0.361,1.5,2.8,0.53,0.536,0.9,1.3,0.695,0.6,3.3,3.9,1.3,0.9,0.4,0.8,2.0,7.9
15,2 seasons,,NYK,NBA,,73.0,10.0,29.3,3.1,6.5,0.483,0.9,2.5,0.362,2.2,3.9,0.561,0.554,1.2,1.4,0.81,1.5,5.4,6.9,3.2,1.0,0.4,1.3,2.1,8.3
16,2 seasons,,POR,NBA,,64.0,64.0,33.1,4.3,8.5,0.504,1.0,3.0,0.333,3.3,5.5,0.598,0.563,2.0,2.8,0.744,1.6,6.0,7.6,4.0,1.1,0.2,1.8,2.6,11.7
