,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2009-10,PHI,8.0,3.8,2.6,0.9,2.2,0.8,7.1,3.2,1.1,11.8,10.6,6.4,14.4
1,2010-11,PHI,14.0,6.5,4.0,2.1,2.7,1.0,12.2,5.4,1.5,20.5,18.0,10.5,24.5
2,2011-12,PHI,13.5,4.5,3.3,1.4,2.6,1.0,12.8,5.5,1.6,18.0,16.8,7.8,21.3
3,2012-13,PHI,17.7,8.0,4.2,2.3,3.2,1.2,16.5,7.1,1.6,25.7,21.9,12.2,29.9
4,2013-14,NOP,14.3,7.9,4.2,1.5,2.3,0.9,13.4,6.0,1.6,22.200000000000003,18.5,12.100000000000001,26.400000000000002
5,2014-15,NOP,14.8,6.9,3.4,1.6,3.4,1.3,13.4,6.0,1.6,21.700000000000003,18.2,10.3,25.1
6,2015-16,NOP,16.8,6.0,3.0,2.8,4.0,1.3,14.4,6.3,1.4,22.8,19.8,9.0,25.8
7,2016-17,NOP,15.4,7.3,3.9,1.8,4.2,1.5,13.3,6.0,1.5,22.7,19.3,11.2,26.6
8,2017-18,NOP,19.0,6.0,4.5,2.3,4.4,1.5,15.4,7.6,1.5,25.0,23.5,10.5,29.5
9,2018-19,NOP,21.2,7.7,5.0,3.1,5.4,1.8,17.3,8.2,1.6,28.9,26.2,12.7,33.9
10,2019-20,NOP,19.1,6.7,4.8,2.1,5.7,2.0,16.5,7.5,1.6,25.8,23.900000000000002,11.5,30.6
11,2020-21,MIL,17.7,6.1,4.5,1.8,4.8,1.9,13.9,7.0,1.6,23.799999999999997,22.2,10.6,28.299999999999997
12,2021-22,MIL,18.3,6.8,4.5,2.0,4.8,2.0,14.2,7.1,1.6,25.1,22.8,11.3,29.6
13,2022-23,MIL,19.3,7.4,5.1,2.3,6.1,2.4,15.3,7.3,1.2,26.700000000000003,24.4,12.5,31.8
14,2023-24,BOS,13.4,4.5,6.0,1.2,4.9,2.1,10.8,5.0,0.8,17.9,19.4,10.5,23.9
15,Career,,16.3,6.4,4.2,2.0,4.0,1.5,13.8,6.4,1.5,22.700000000000003,20.5,10.600000000000001,26.900000000000002
16,,,,,,,,,,,,,,,
17,7 seasons,NOP,17.6,6.8,4.2,2.3,4.4,1.5,15.0,6.9,1.5,24.400000000000002,21.8,11.0,28.6
18,4 seasons,PHI,13.4,5.8,3.6,1.7,2.7,1.0,12.2,5.3,1.4,19.2,17.0,9.4,22.8
19,3 seasons,MIL,18.5,6.8,4.7,2.1,5.3,2.1,14.5,7.2,1.5,25.3,23.2,11.5,30.0
20,1 season,BOS,13.4,4.5,6.0,1.2,4.9,2.1,10.8,5.0,0.8,17.9,19.4,10.5,23.9
