,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,20.0,ATL,NBA,SG,75.0,59.0,27.3,3.7,8.8,0.419,1.8,4.7,0.385,1.9,4.1,0.457,0.522,0.5,0.7,0.732,0.8,2.5,3.3,2.9,0.9,0.3,1.5,2.1,9.7
1,2019-20,21.0,ATL,NBA,SG,56.0,48.0,31.4,4.5,10.9,0.413,2.3,6.0,0.38,2.2,4.9,0.453,0.517,0.9,1.1,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2
2,2020-21,22.0,ATL,NBA,SG,69.0,49.0,30.8,4.6,10.6,0.432,2.0,5.6,0.363,2.6,5.0,0.51,0.528,0.7,0.9,0.781,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9
3,2021-22,23.0,ATL,NBA,SF,74.0,60.0,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3.0,3.4,2.7,0.7,0.4,1.2,2.5,12.1
4,2022-23,24.0,SAC,NBA,SG,75.0,75.0,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2
5,2023-24,25.0,SAC,NBA,SG,44.0,39.0,24.9,4.1,9.1,0.448,2.0,5.6,0.364,2.0,3.5,0.581,0.56,0.6,0.8,0.778,0.5,3.3,3.8,2.7,0.7,0.4,0.6,2.3,10.9
6,Career,,,NBA,,393.0,330.0,29.1,4.5,10.2,0.444,2.2,5.7,0.383,2.4,4.5,0.521,0.551,0.8,1.0,0.767,0.6,2.9,3.5,3.1,0.9,0.3,1.2,2.4,12.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,ATL,NBA,,274.0,216.0,29.6,4.3,10.1,0.431,2.1,5.4,0.379,2.3,4.6,0.491,0.533,0.7,0.9,0.788,0.6,2.9,3.5,3.2,0.9,0.4,1.3,2.4,11.4
9,2 seasons,,SAC,NBA,,119.0,114.0,27.7,5.0,10.7,0.473,2.5,6.4,0.39,2.6,4.3,0.597,0.59,1.0,1.4,0.737,0.5,3.0,3.5,2.8,0.9,0.3,1.1,2.4,13.6
