,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2011-12,CLE,18.5,5.4,3.7,3.4,3.6,1.4,14.6,6.9,1.1,23.9,22.2,9.100000000000001,27.6
1,2012-13,CLE,22.5,5.9,3.7,4.2,4.7,1.8,18.1,8.2,1.5,28.4,26.2,9.600000000000001,32.1
2,2013-14,CLE,20.8,6.1,3.6,4.1,4.8,1.7,17.4,7.5,1.5,26.9,24.400000000000002,9.7,30.5
3,2014-15,CLE,21.7,5.2,3.2,4.2,5.0,2.1,16.5,7.7,1.5,26.9,24.9,8.4,30.1
4,2015-16,CLE,19.6,4.7,3.0,3.2,4.9,1.6,16.6,7.4,1.1,24.3,22.6,7.7,27.3
5,2016-17,CLE,25.2,5.8,3.2,4.1,6.1,2.5,19.7,9.3,1.2,31.0,28.4,9.0,34.2
6,2017-18,BOS,24.4,5.1,3.8,3.9,6.8,2.8,18.1,8.9,1.1,29.5,28.2,8.899999999999999,33.3
7,2018-19,BOS,23.8,6.9,5.0,3.2,6.5,2.6,18.5,9.0,1.5,30.700000000000003,28.8,11.9,35.7
8,2019-20,BRK,27.4,6.4,5.2,4.7,7.1,2.8,20.8,10.0,1.4,33.8,32.6,11.600000000000001,39.0
9,2020-21,BRK,26.9,6.0,4.8,3.7,7.0,2.8,20.1,10.2,1.4,32.9,31.7,10.8,37.7
10,2021-22,BRK,27.4,5.8,4.4,4.1,8.2,3.4,21.2,10.0,1.4,33.199999999999996,31.799999999999997,10.2,37.599999999999994
11,2022-23,TOT,27.1,5.5,5.1,4.1,8.3,3.1,20.1,9.9,1.1,32.6,32.2,10.6,37.7
12,2022-23,BRK,27.1,5.3,5.1,4.0,8.7,3.3,20.5,10.0,1.0,32.4,32.2,10.399999999999999,37.5
13,2022-23,DAL,27.0,6.0,5.0,4.5,7.4,2.9,19.2,9.8,1.3,33.0,32.0,11.0,38.0
14,2023-24,DAL,25.2,5.3,5.1,3.8,7.0,2.9,19.6,9.3,1.3,30.5,30.299999999999997,10.399999999999999,35.599999999999994
15,Career,,23.5,5.7,4.0,3.9,6.0,2.3,18.3,8.6,1.3,29.2,27.5,9.7,33.2
16,,,,,,,,,,,,,,,
17,6 seasons,CLE,21.6,5.5,3.4,3.9,5.0,1.9,17.3,7.9,1.3,27.1,25.0,8.9,30.5
18,4 seasons,BRK,27.1,5.8,4.8,4.0,7.7,3.1,20.5,10.0,1.3,32.9,31.900000000000002,10.6,37.7
19,2 seasons,BOS,24.1,6.1,4.4,3.5,6.6,2.7,18.3,9.0,1.3,30.200000000000003,28.5,10.5,34.6
20,2 seasons,DAL,25.9,5.6,5.0,4.1,7.2,2.9,19.4,9.5,1.3,31.5,30.9,10.6,36.5
