,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2003-04,19.0,CLE,NBA,SG,79.0,79.0,39.5,7.9,18.9,0.417,0.8,2.7,0.29,7.1,16.1,0.438,0.438,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9
1,2004-05,20.0,CLE,NBA,SF,80.0,80.0,42.4,9.9,21.1,0.472,1.4,3.9,0.351,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2
2,2005-06,21.0,CLE,NBA,SF,79.0,79.0,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4
3,2006-07,22.0,CLE,NBA,SF,78.0,78.0,40.9,9.9,20.8,0.476,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3
4,2007-08,23.0,CLE,NBA,SF,75.0,74.0,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0
5,2008-09,24.0,CLE,NBA,SF,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4
6,2009-10,25.0,CLE,NBA,SF,76.0,76.0,39.0,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7
7,2010-11,26.0,MIA,NBA,SF,79.0,79.0,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7
8,2011-12,27.0,MIA,NBA,SF,62.0,62.0,37.5,10.0,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1
9,2012-13,28.0,MIA,NBA,PF,76.0,76.0,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8
10,2013-14,29.0,MIA,NBA,PF,77.0,77.0,37.7,10.0,17.6,0.567,1.5,4.0,0.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1
11,2014-15,30.0,CLE,NBA,SF,69.0,69.0,36.1,9.0,18.5,0.488,1.7,4.9,0.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3
12,2015-16,31.0,CLE,NBA,SF,76.0,76.0,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3
13,2016-17,32.0,CLE,NBA,SF,74.0,74.0,37.8,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4
14,2017-18,33.0,CLE,NBA,PF,82.0,82.0,36.9,10.5,19.3,0.542,1.8,5.0,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5
15,2018-19,34.0,LAL,NBA,SF,55.0,55.0,35.2,10.1,19.9,0.51,2.0,5.9,0.339,8.1,14.0,0.582,0.56,5.1,7.6,0.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4
16,2019-20,35.0,LAL,NBA,PG,67.0,67.0,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3
17,2020-21,36.0,LAL,NBA,PG,45.0,45.0,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12.0,0.591,0.576,4.0,5.7,0.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0
18,2021-22,37.0,LAL,NBA,C,56.0,56.0,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3
19,2022-23,38.0,LAL,NBA,PF,55.0,54.0,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9
20,2023-24,39.0,LAL,NBA,PF,44.0,44.0,34.7,9.3,17.9,0.52,2.2,5.4,0.397,7.2,12.5,0.574,0.581,4.1,5.6,0.726,0.9,6.5,7.5,7.7,1.3,0.6,3.3,1.2,24.9
21,Career,,,NBA,,1465.0,1463.0,38.0,9.9,19.7,0.505,1.6,4.6,0.346,8.3,15.0,0.554,0.546,5.6,7.7,0.735,1.2,6.3,7.5,7.3,1.5,0.7,3.5,1.8,27.1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11 seasons,,CLE,NBA,,849.0,848.0,39.0,9.9,20.0,0.492,1.5,4.4,0.337,8.4,15.7,0.535,0.528,6.0,8.2,0.733,1.2,6.1,7.3,7.3,1.6,0.8,3.5,1.9,27.2
24,6 seasons,,LAL,NBA,,322.0,321.0,35.2,10.2,20.0,0.509,2.3,6.5,0.352,7.9,13.5,0.585,0.566,4.4,6.1,0.715,1.0,7.0,8.0,7.9,1.2,0.7,3.6,1.7,27.0
25,4 seasons,,MIA,NBA,,294.0,294.0,38.0,9.9,18.2,0.543,1.2,3.4,0.369,8.7,14.9,0.582,0.577,5.9,7.8,0.758,1.2,6.4,7.6,6.7,1.7,0.7,3.4,1.7,26.9
