,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,19.0,PHO,NBA,SF,32.0,8.0,17.0,2.1,3.8,0.562,0.1,0.3,0.273,2.0,3.4,0.591,0.574,0.9,1.3,0.707,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2.0,5.3
1,2017-18,20.0,TOT,NBA,SF,20.0,8.0,12.3,1.1,2.7,0.396,0.2,0.9,0.167,0.9,1.8,0.514,0.425,0.8,1.2,0.667,1.1,0.9,1.9,0.5,0.2,0.7,0.4,1.2,3.1
2,2017-18,20.0,PHO,NBA,SF,6.0,0.0,5.5,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.8,1.0,0.833,0.3,0.3,0.7,0.5,0.2,0.7,0.2,0.3,1.5
3,2017-18,20.0,MIA,NBA,SF,14.0,8.0,15.1,1.4,3.5,0.388,0.2,1.1,0.188,1.1,2.4,0.485,0.418,0.8,1.3,0.611,1.4,1.1,2.4,0.4,0.2,0.6,0.4,1.6,3.7
4,2018-19,21.0,MIA,NBA,SF,60.0,14.0,19.2,2.7,5.4,0.494,0.5,1.5,0.308,2.2,3.9,0.567,0.537,1.2,2.0,0.607,1.6,2.4,4.0,0.6,0.8,0.7,0.7,2.1,7.0
5,2019-20,22.0,MIA,NBA,SF,59.0,16.0,23.3,3.1,5.9,0.527,0.6,2.2,0.28,2.5,3.7,0.677,0.58,1.6,2.1,0.772,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,8.5
6,2020-21,23.0,POR,NBA,SF,58.0,43.0,22.7,2.5,5.2,0.484,0.7,2.3,0.316,1.8,2.9,0.619,0.554,1.0,1.6,0.648,1.3,2.2,3.5,0.8,0.6,0.9,0.6,2.2,6.8
7,2021-22,24.0,CHI,NBA,PF,51.0,8.0,17.6,2.1,3.8,0.538,0.4,1.2,0.328,1.7,2.6,0.634,0.59,1.1,1.4,0.8,1.2,2.1,3.3,0.6,0.5,0.6,0.6,2.1,5.6
8,2022-23,25.0,CHI,NBA,PF,64.0,0.0,14.0,1.8,3.6,0.5,0.4,1.3,0.338,1.4,2.3,0.587,0.559,1.0,1.3,0.738,0.9,1.5,2.4,0.5,0.5,0.6,0.4,1.3,5.0
9,2023-24,26.0,DAL,NBA,SF,44.0,43.0,26.0,3.7,7.6,0.487,1.3,3.8,0.349,2.4,3.8,0.627,0.575,1.3,1.8,0.734,1.2,2.4,3.6,1.0,0.8,0.8,1.0,1.9,10.1
10,Career,,,NBA,,388.0,140.0,19.5,2.5,4.9,0.504,0.6,1.8,0.315,1.9,3.1,0.613,0.561,1.2,1.6,0.708,1.2,2.1,3.3,0.7,0.6,0.7,0.6,1.9,6.7
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,MIA,NBA,,133.0,38.0,20.6,2.7,5.4,0.503,0.5,1.8,0.285,2.2,3.6,0.611,0.55,1.4,2.0,0.684,1.4,2.5,3.8,0.8,0.8,0.7,0.6,2.1,7.3
13,2 seasons,,CHI,NBA,,115.0,8.0,15.6,1.9,3.7,0.518,0.4,1.2,0.333,1.5,2.5,0.609,0.573,1.0,1.3,0.766,1.0,1.8,2.8,0.6,0.5,0.6,0.5,1.7,5.3
14,1 season,,POR,NBA,,58.0,43.0,22.7,2.5,5.2,0.484,0.7,2.3,0.316,1.8,2.9,0.619,0.554,1.0,1.6,0.648,1.3,2.2,3.5,0.8,0.6,0.9,0.6,2.2,6.8
15,1 season,,DAL,NBA,,44.0,43.0,26.0,3.7,7.6,0.487,1.3,3.8,0.349,2.4,3.8,0.627,0.575,1.3,1.8,0.734,1.2,2.4,3.6,1.0,0.8,0.8,1.0,1.9,10.1
16,2 seasons,,PHO,NBA,,38.0,8.0,15.2,1.8,3.3,0.56,0.1,0.3,0.231,1.8,2.9,0.598,0.572,0.9,1.2,0.723,1.1,1.1,2.2,0.4,0.4,0.4,0.4,1.7,4.7
