,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,22.0,LAL,NBA,PF,77.0,37.0,31.2,6.1,13.5,0.45,2.1,5.6,0.366,4.0,7.9,0.511,0.527,1.9,2.7,0.707,1.1,5.1,6.3,1.8,0.6,0.4,1.8,2.1,16.1
1,2018-19,23.0,LAL,NBA,PF,70.0,68.0,33.1,7.1,15.5,0.456,1.8,6.0,0.303,5.3,9.5,0.553,0.515,2.7,3.6,0.752,0.9,4.6,5.5,2.5,0.6,0.4,1.9,2.4,18.7
2,2019-20,24.0,LAL,NBA,PF,61.0,9.0,25.0,4.8,11.0,0.436,1.4,4.5,0.316,3.4,6.5,0.518,0.5,1.9,2.5,0.735,0.9,3.6,4.5,1.3,0.5,0.4,1.5,2.1,12.8
3,2020-21,25.0,LAL,NBA,SF,68.0,32.0,28.7,4.9,11.1,0.443,2.0,5.6,0.361,2.9,5.5,0.525,0.533,1.0,1.4,0.691,1.6,4.5,6.1,1.9,0.5,0.6,1.7,1.8,12.9
4,2021-22,26.0,WAS,NBA,PF,66.0,66.0,33.4,6.4,14.2,0.452,1.9,5.7,0.341,4.5,8.5,0.526,0.52,2.4,3.3,0.712,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1
5,2022-23,27.0,WAS,NBA,PF,64.0,64.0,35.0,8.0,17.8,0.448,2.5,7.5,0.333,5.5,10.3,0.533,0.518,2.7,3.7,0.73,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2
6,2023-24,28.0,WAS,NBA,PF,48.0,48.0,31.5,8.5,18.8,0.455,2.2,6.7,0.329,6.3,12.1,0.524,0.513,2.5,3.1,0.801,1.0,5.5,6.5,4.3,0.4,0.6,2.6,2.1,21.8
7,Career,,,NBA,,454.0,324.0,31.2,6.5,14.4,0.449,2.0,5.9,0.337,4.5,8.5,0.528,0.519,2.1,2.9,0.733,1.1,5.3,6.4,2.6,0.6,0.5,2.1,2.1,17.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,LAL,NBA,,276.0,146.0,29.7,5.8,12.9,0.448,1.8,5.5,0.338,3.9,7.4,0.529,0.52,1.9,2.6,0.727,1.1,4.5,5.6,1.9,0.6,0.5,1.7,2.1,15.2
10,3 seasons,,WAS,NBA,,178.0,178.0,33.4,7.6,16.7,0.451,2.2,6.6,0.334,5.3,10.1,0.528,0.517,2.5,3.4,0.741,1.0,6.5,7.5,3.8,0.6,0.7,2.7,2.1,19.9
