,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2012-13,POR,19.0,6.5,3.1,3.3,6.1,2.3,15.7,6.7,0.9,25.5,22.1,9.6,28.6
1,2013-14,POR,20.7,5.6,3.5,4.5,6.8,2.7,15.9,6.7,0.8,26.299999999999997,24.2,9.1,29.799999999999997
2,2014-15,POR,21.0,6.2,4.6,4.2,7.0,2.4,16.6,7.2,1.2,27.2,25.6,10.8,31.8
3,2015-16,POR,25.1,6.8,4.0,5.5,8.1,3.1,19.7,8.2,0.9,31.900000000000002,29.1,10.8,35.900000000000006
4,2016-17,POR,27.0,5.9,4.9,6.5,7.7,2.9,19.8,8.8,0.9,32.9,31.9,10.8,37.8
5,2017-18,POR,26.9,6.6,4.5,6.8,8.6,3.1,19.4,8.5,1.1,33.5,31.4,11.1,38.0
6,2018-19,POR,25.8,6.9,4.6,5.9,8.0,3.0,19.2,8.5,1.1,32.7,30.4,11.5,37.3
7,2019-20,POR,30.0,8.0,4.3,7.0,10.2,4.1,20.4,9.5,1.1,38.0,34.3,12.3,42.3
8,2020-21,POR,28.8,7.5,4.2,6.7,10.5,4.1,19.9,9.0,0.9,36.3,33.0,11.7,40.5
9,2021-22,POR,24.0,7.3,4.1,5.5,9.8,3.2,19.0,7.7,0.6,31.3,28.1,11.399999999999999,35.4
10,2022-23,POR,32.2,7.3,4.8,8.8,11.3,4.2,20.7,9.6,0.9,39.5,37.0,12.1,44.300000000000004
11,2023-24,MIL,25.1,6.8,4.3,7.4,8.6,3.0,17.6,7.4,1.1,31.900000000000002,29.400000000000002,11.1,36.2
12,Career,,25.2,6.7,4.2,5.8,8.4,3.1,18.5,8.1,1.0,31.9,29.4,10.9,36.1
13,,,,,,,,,,,,,,,
14,11 seasons,POR,25.2,6.7,4.2,5.8,8.3,3.1,18.6,8.2,1.0,31.9,29.4,10.9,36.1
15,1 season,MIL,25.1,6.8,4.3,7.4,8.6,3.0,17.6,7.4,1.1,31.900000000000002,29.400000000000002,11.1,36.2
