,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,20.0,PHO,NBA,PG,50.0,31.0,19.7,2.0,5.1,0.391,0.6,1.9,0.305,1.4,3.2,0.441,0.447,0.4,0.6,0.75,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5.0
1,2019-20,21.0,MEM,NBA,PG,60.0,8.0,19.5,2.7,6.7,0.401,0.7,2.3,0.286,2.0,4.4,0.464,0.451,1.6,2.0,0.769,0.7,3.0,3.7,2.9,1.3,0.3,1.4,1.8,7.6
2,2020-21,22.0,MEM,NBA,PG,52.0,1.0,20.1,3.3,7.6,0.438,1.7,4.1,0.412,1.6,3.5,0.467,0.548,0.8,1.0,0.804,0.6,2.5,3.1,2.5,1.2,0.6,1.3,1.6,9.1
3,2021-22,23.0,MEM,NBA,SG,73.0,15.0,22.7,3.8,9.5,0.404,1.9,5.1,0.374,1.9,4.4,0.44,0.504,1.2,1.6,0.75,0.9,3.6,4.5,2.7,1.4,0.5,1.5,1.8,10.8
4,2022-23,24.0,PHI,NBA,SG,77.0,58.0,27.9,3.6,8.5,0.425,2.0,5.2,0.39,1.6,3.2,0.484,0.546,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1
5,2023-24,25.0,PHI,NBA,SG,33.0,33.0,29.1,3.9,9.9,0.393,2.1,5.8,0.363,1.8,4.1,0.437,0.5,1.9,2.3,0.827,0.8,3.2,4.0,3.2,1.6,0.5,1.2,2.4,11.8
6,Career,,,NBA,,345.0,146.0,23.1,3.2,7.9,0.411,1.5,4.1,0.369,1.7,3.8,0.456,0.507,1.1,1.4,0.78,0.7,3.0,3.7,2.8,1.4,0.5,1.4,2.0,9.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,MEM,NBA,,185.0,24.0,20.9,3.3,8.0,0.412,1.4,3.9,0.368,1.9,4.1,0.454,0.502,1.2,1.6,0.767,0.7,3.1,3.8,2.7,1.3,0.5,1.4,1.7,9.3
9,2 seasons,,PHI,NBA,,110.0,91.0,28.3,3.7,8.9,0.415,2.1,5.4,0.381,1.6,3.5,0.467,0.531,1.2,1.5,0.809,0.9,3.2,4.0,2.7,1.6,0.5,1.3,2.5,10.6
10,1 season,,PHO,NBA,,50.0,31.0,19.7,2.0,5.1,0.391,0.6,1.9,0.305,1.4,3.2,0.441,0.447,0.4,0.6,0.75,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5.0
