,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,21.0,UTA,NBA,SG,79.0,71.0,33.4,7.5,17.2,0.437,2.4,7.0,0.34,5.2,10.3,0.502,0.506,3.0,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5
1,2018-19,22.0,UTA,NBA,SG,77.0,77.0,33.7,8.6,19.9,0.432,2.4,6.7,0.362,6.1,13.1,0.468,0.493,4.1,5.1,0.806,0.8,3.3,4.1,4.2,1.4,0.4,2.8,2.7,23.8
2,2019-20,23.0,UTA,NBA,SG,69.0,69.0,34.3,8.7,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4.0,4.7,0.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0
3,2020-21,24.0,UTA,NBA,PG,53.0,53.0,33.4,9.0,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5.0,6.0,0.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4
4,2021-22,25.0,UTA,NBA,SG,67.0,67.0,33.8,9.2,20.5,0.448,3.5,9.8,0.355,5.7,10.8,0.533,0.533,4.0,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9
5,2022-23,26.0,CLE,NBA,SG,68.0,68.0,35.8,10.0,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3
6,2023-24,27.0,CLE,NBA,SG,38.0,38.0,35.6,9.9,21.1,0.469,3.2,9.2,0.351,6.7,12.0,0.56,0.545,5.2,6.0,0.856,1.1,4.4,5.5,6.4,1.9,0.5,2.8,2.2,28.2
7,Career,,,NBA,,451.0,443.0,34.2,8.9,19.7,0.45,2.9,8.1,0.364,6.0,11.7,0.51,0.525,4.2,5.0,0.841,0.8,3.5,4.3,4.6,1.4,0.3,2.8,2.5,24.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5 seasons,,UTA,NBA,,345.0,337.0,33.7,8.6,19.4,0.441,2.8,7.7,0.361,5.8,11.7,0.493,0.512,4.0,4.8,0.833,0.8,3.4,4.2,4.5,1.3,0.3,2.8,2.5,23.9
10,2 seasons,,CLE,NBA,,106.0,106.0,35.7,10.0,20.8,0.479,3.5,9.3,0.373,6.5,11.5,0.564,0.562,4.9,5.6,0.863,1.0,3.7,4.7,5.1,1.6,0.4,2.7,2.4,28.2
