,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,20.0,SAS,NBA,PG,38,8,8.5,1.3,3.1,.431,0.2,0.6,.391,1.1,2.4,.441,.470,0.6,0.8,.700,0.2,0.9,1.1,1.3,0.2,0.2,1.0,0.8,3.4
1,2017-18,21.0,SAS,NBA,PG,81,48,21.5,3.3,7.5,.443,0.1,0.4,.265,3.2,7.1,.454,.451,1.3,1.8,.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1
2,2018-19,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-20,23.0,SAS,NBA,PG,66,58,25.6,4.5,9.7,.462,0.6,1.7,.369,3.8,8.0,.481,.494,1.4,1.7,.798,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9
4,2020-21,24.0,SAS,NBA,PG,67,67,31.9,6.6,14.5,.453,0.9,3.0,.317,5.6,11.6,.488,.485,1.6,2.0,.791,0.9,6.2,7.1,5.4,1.5,0.1,1.7,2.0,15.7
5,2021-22,25.0,SAS,NBA,PG,68,68,34.8,8.4,18.3,.462,1.4,4.3,.327,7.0,13.9,.504,.500,2.9,3.6,.794,1.2,7.1,8.3,9.2,2.0,0.3,2.6,2.0,21.1
6,2022-23,26.0,ATL,NBA,SG,74,74,36.4,8.3,17.8,.464,1.8,5.2,.344,6.5,12.6,.514,.514,2.1,2.6,.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5
7,2023-24,27.0,ATL,NBA,SG,48,48,35.0,8.3,17.7,.468,2.3,6.2,.368,6.0,11.5,.521,.532,2.6,3.2,.836,0.7,4.4,5.1,5.2,1.3,0.3,2.2,1.8,21.5
8,Career,,,NBA,,442,371,28.6,6.0,13.0,.459,1.0,3.0,.342,4.9,10.0,.495,.499,1.8,2.3,.792,0.9,4.9,5.8,5.1,1.4,0.3,1.9,1.8,14.8
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,SAS,NBA,,320,249,25.8,5.1,11.2,.455,0.7,2.1,.330,4.4,9.1,.484,.486,1.6,2.1,.771,1.0,5.0,6.0,4.8,1.4,0.3,1.9,1.9,12.5
11,2 seasons,,ATL,NBA,,122,122,35.8,8.3,17.8,.465,2.0,5.6,.354,6.3,12.2,.516,.521,2.3,2.8,.833,0.7,4.5,5.2,5.7,1.4,0.3,2.2,1.6,20.9
