,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,20.0,DEN,NBA,C,62.0,27.0,17.8,2.8,6.2,0.446,0.0,0.0,0.0,2.8,6.1,0.449,0.446,1.4,2.1,0.636,2.0,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9
1,2015-16,21.0,DEN,NBA,C,32.0,3.0,17.1,3.2,7.6,0.417,0.0,0.1,0.0,3.2,7.5,0.423,0.417,1.9,3.1,0.616,2.0,3.4,5.5,1.3,0.8,1.4,1.7,2.8,8.2
2,2016-17,22.0,TOT,NBA,C,65.0,48.0,21.4,4.2,8.2,0.507,0.0,0.0,0.0,4.2,8.2,0.508,0.507,1.8,3.2,0.571,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2
3,2016-17,22.0,DEN,NBA,C,45.0,29.0,17.9,3.4,6.6,0.507,0.0,0.0,,3.4,6.6,0.507,0.507,1.2,2.5,0.496,2.0,3.8,5.8,1.3,0.6,0.8,1.8,2.0,8.0
4,2016-17,22.0,POR,NBA,C,20.0,19.0,29.2,6.0,11.8,0.508,0.0,0.1,0.0,6.0,11.8,0.511,0.508,3.2,4.9,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,15.2
5,2017-18,23.0,POR,NBA,C,79.0,79.0,26.4,6.1,12.0,0.505,0.0,0.1,0.0,6.1,11.9,0.508,0.505,2.2,3.5,0.63,2.4,6.6,9.0,1.8,0.8,1.4,2.3,3.1,14.3
6,2018-19,24.0,POR,NBA,C,72.0,72.0,27.4,5.8,11.5,0.508,0.0,0.4,0.103,5.8,11.1,0.523,0.51,3.9,5.1,0.773,3.4,7.0,10.4,3.2,1.0,1.4,2.3,3.5,15.6
7,2019-20,25.0,POR,NBA,C,8.0,8.0,31.6,6.8,13.6,0.495,0.3,1.3,0.2,6.5,12.4,0.525,0.505,3.9,4.4,0.886,2.9,7.4,10.3,4.0,1.4,2.0,2.4,4.9,17.6
8,2020-21,26.0,POR,NBA,C,37.0,37.0,23.8,4.6,9.0,0.514,0.3,0.8,0.4,4.3,8.2,0.525,0.532,1.9,3.1,0.619,2.3,6.6,9.0,3.4,1.0,1.1,2.0,2.8,11.5
9,2021-22,27.0,POR,NBA,C,56.0,56.0,28.2,5.7,10.7,0.535,0.3,1.0,0.268,5.5,9.7,0.563,0.548,3.3,4.8,0.69,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0
10,2022-23,28.0,POR,NBA,C,52.0,52.0,26.8,5.0,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3
11,2023-24,29.0,PHO,NBA,C,45.0,45.0,27.4,4.5,8.9,0.505,0.5,1.8,0.266,4.0,7.2,0.563,0.531,2.3,3.3,0.709,2.6,7.6,10.3,3.6,1.0,1.0,2.1,3.4,11.8
12,Career,,,NBA,,508.0,427.0,24.5,4.8,9.6,0.502,0.2,0.7,0.286,4.6,9.0,0.518,0.512,2.4,3.6,0.674,2.5,6.2,8.8,2.4,0.9,1.1,2.1,3.2,12.3
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7 seasons,,POR,NBA,,324.0,323.0,27.0,5.6,11.0,0.513,0.2,0.8,0.298,5.4,10.2,0.53,0.524,2.9,4.1,0.693,2.7,7.0,9.8,2.8,1.0,1.2,2.4,3.4,14.4
15,3 seasons,,DEN,NBA,,139.0,59.0,17.7,3.0,6.6,0.458,0.0,0.0,0.0,3.0,6.6,0.461,0.458,1.4,2.5,0.584,2.0,3.9,5.9,1.1,0.7,1.1,1.6,2.8,7.5
16,1 season,,PHO,NBA,,45.0,45.0,27.4,4.5,8.9,0.505,0.5,1.8,0.266,4.0,7.2,0.563,0.531,2.3,3.3,0.709,2.6,7.6,10.3,3.6,1.0,1.0,2.1,3.4,11.8
