,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,20.0,WAS,NBA,SF,63.0,9.0,10.7,1.4,3.3,0.427,0.4,1.3,0.316,1.0,2.1,0.492,0.486,0.5,0.8,0.633,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7
1,2016-17,21.0,WAS,NBA,SF,79.0,5.0,20.3,2.4,5.6,0.421,0.7,2.4,0.287,1.7,3.2,0.52,0.482,0.9,1.3,0.758,0.8,2.5,3.3,0.6,0.7,0.2,0.6,2.5,6.3
2,2017-18,22.0,WAS,NBA,SF,81.0,11.0,27.5,3.9,9.8,0.403,1.6,4.6,0.341,2.4,5.2,0.456,0.482,2.4,2.9,0.82,0.7,3.8,4.5,1.2,1.0,0.4,1.1,2.9,11.8
3,2018-19,23.0,TOT,NBA,SF,69.0,19.0,28.0,5.4,12.2,0.445,1.6,4.9,0.32,3.9,7.3,0.53,0.51,2.7,3.5,0.775,1.0,3.7,4.7,1.2,1.2,0.9,1.5,2.6,15.2
4,2018-19,23.0,WAS,NBA,SF,29.0,7.0,26.0,4.6,10.5,0.433,1.4,4.6,0.311,3.1,6.0,0.526,0.5,2.3,2.9,0.8,0.8,3.6,4.4,0.7,0.9,0.7,1.0,2.4,12.9
5,2018-19,23.0,PHO,NBA,SF,40.0,12.0,29.5,6.1,13.4,0.453,1.7,5.2,0.325,4.4,8.3,0.532,0.515,3.0,4.0,0.761,1.2,3.7,4.9,1.6,1.4,1.0,1.8,2.8,16.9
6,2019-20,24.0,PHO,NBA,SF,56.0,55.0,34.5,6.7,14.8,0.452,1.9,5.5,0.352,4.7,9.3,0.511,0.517,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7
7,2020-21,25.0,GSW,NBA,SF,55.0,50.0,30.7,5.8,13.2,0.439,1.6,5.2,0.316,4.1,8.0,0.519,0.501,2.2,3.2,0.695,1.5,4.5,6.0,1.3,1.0,0.8,1.3,2.2,15.4
8,2021-22,26.0,CHO,NBA,SF,76.0,13.0,26.3,5.4,12.3,0.44,2.5,7.3,0.345,2.9,5.0,0.578,0.542,1.7,2.5,0.667,1.0,2.9,4.0,1.1,1.0,0.4,0.9,2.5,15.0
9,2022-23,27.0,CHO,NBA,SF,48.0,40.0,32.3,7.4,17.1,0.431,2.3,7.1,0.319,5.1,10.0,0.51,0.497,3.3,4.3,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3
10,2023-24,28.0,PHI,NBA,SF,36.0,25.0,28.0,5.0,10.8,0.464,1.5,4.4,0.331,3.5,6.3,0.557,0.532,1.9,2.6,0.745,1.0,3.2,4.3,1.1,1.2,0.6,0.9,2.8,13.4
11,Career,,,NBA,,563.0,227.0,26.0,4.6,10.6,0.436,1.5,4.7,0.33,3.1,6.0,0.518,0.508,2.1,2.7,0.75,1.0,3.4,4.4,1.0,1.0,0.5,1.1,2.6,12.8
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4 seasons,,WAS,NBA,,252.0,32.0,20.9,2.9,6.9,0.415,1.0,3.0,0.32,1.9,3.9,0.49,0.486,1.4,1.8,0.783,0.7,2.8,3.5,0.7,0.7,0.3,0.8,2.4,8.2
14,2 seasons,,CHO,NBA,,124.0,53.0,28.6,6.2,14.1,0.436,2.4,7.2,0.335,3.7,6.9,0.54,0.521,2.3,3.2,0.715,1.2,3.3,4.4,1.1,1.2,0.4,1.1,2.7,17.0
15,2 seasons,,PHO,NBA,,96.0,67.0,32.4,6.4,14.2,0.452,1.8,5.3,0.341,4.6,8.9,0.519,0.516,3.3,4.2,0.773,1.2,4.6,5.8,1.6,1.3,0.8,1.6,3.1,17.9
16,1 season,,GSW,NBA,,55.0,50.0,30.7,5.8,13.2,0.439,1.6,5.2,0.316,4.1,8.0,0.519,0.501,2.2,3.2,0.695,1.5,4.5,6.0,1.3,1.0,0.8,1.3,2.2,15.4
17,1 season,,PHI,NBA,,36.0,25.0,28.0,5.0,10.8,0.464,1.5,4.4,0.331,3.5,6.3,0.557,0.532,1.9,2.6,0.745,1.0,3.2,4.3,1.1,1.2,0.6,0.9,2.8,13.4
