,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,20.0,NYK,NBA,PF,72,72,28.4,5.2,12.3,.421,1.1,3.4,.333,4.1,8.9,.454,.467,2.8,3.3,.838,1.8,5.5,7.3,1.3,0.7,1.9,1.7,2.8,14.3
1,2016-17,21.0,NYK,NBA,PF,66,65,32.8,6.7,14.9,.450,1.7,4.8,.357,5.0,10.2,.493,.507,3.0,3.8,.786,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1
2,2017-18,22.0,NYK,NBA,PF,48,48,32.4,8.1,18.5,.439,1.9,4.8,.395,6.3,13.8,.454,.489,4.5,5.7,.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7
3,2018-19,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-20,24.0,DAL,NBA,C,57,57,31.8,7.0,16.4,.427,2.5,7.1,.352,4.5,9.3,.484,.503,4.0,5.0,.799,1.8,7.7,9.5,1.8,0.7,2.0,1.6,3.2,20.4
5,2020-21,25.0,DAL,NBA,C,43,43,30.9,7.6,15.9,.476,2.3,6.0,.376,5.3,9.9,.536,.547,2.7,3.2,.855,1.9,7.0,8.9,1.6,0.5,1.3,1.2,2.7,20.1
6,2021-22,26.0,TOT,NBA,PF,51,51,29.0,6.9,15.0,.459,1.5,4.9,.310,5.4,10.1,.532,.510,4.9,5.6,.867,2.0,6.1,8.1,2.3,0.7,1.6,1.6,2.7,20.2
7,2021-22,26.0,DAL,NBA,PF,34,34,29.5,6.7,14.9,.451,1.4,5.1,.283,5.3,9.9,.537,.499,4.3,5.0,.865,1.9,5.8,7.7,2.0,0.7,1.7,1.6,2.6,19.2
8,2021-22,26.0,WAS,NBA,PF,17,17,28.2,7.2,15.2,.475,1.7,4.6,.367,5.5,10.6,.522,.531,5.9,6.8,.871,2.2,6.6,8.8,2.9,0.7,1.5,1.6,2.9,22.1
9,2022-23,27.0,WAS,NBA,C,65,65,32.6,7.8,15.7,.498,2.1,5.5,.385,5.7,10.2,.559,.565,5.4,6.4,.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,23.2
10,2023-24,28.0,BOS,NBA,C,35,35,29.7,6.5,12.4,.520,1.8,5.1,.350,4.7,7.3,.639,.592,4.7,5.5,.840,1.7,5.2,6.9,2.0,0.7,1.9,1.7,2.9,19.4
11,Career,,,NBA,,437,436,31.0,6.9,15.1,.457,1.8,5.1,.358,5.1,10.0,.508,.518,3.9,4.8,.828,1.7,6.1,7.9,1.8,0.7,1.8,1.7,3.0,19.6
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,NYK,NBA,,186,185,31.0,6.5,14.8,.437,1.5,4.2,.361,5.0,10.6,.467,.488,3.3,4.1,.804,1.6,5.4,7.1,1.3,0.7,2.0,1.8,3.2,17.8
14,3 seasons,,DAL,NBA,,134,134,30.9,7.1,15.8,.448,2.1,6.2,.345,5.0,9.6,.515,.516,3.7,4.4,.831,1.8,7.0,8.8,1.8,0.6,1.7,1.5,2.9,20.0
15,2 seasons,,WAS,NBA,,82,82,31.7,7.7,15.6,.493,2.0,5.3,.382,5.7,10.3,.551,.558,5.5,6.5,.855,1.9,6.6,8.5,2.7,0.9,1.5,2.0,3.0,22.9
16,1 season,,BOS,NBA,,35,35,29.7,6.5,12.4,.520,1.8,5.1,.350,4.7,7.3,.639,.592,4.7,5.5,.840,1.7,5.2,6.9,2.0,0.7,1.9,1.7,2.9,19.4
