,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2020-21,21.0,NYK,NBA,PG,64.0,3.0,19.4,3.6,9.1,0.395,1.8,4.7,0.389,1.7,4.3,0.401,0.497,2.4,2.7,0.891,0.4,1.8,2.1,2.0,0.5,0.2,0.9,1.8,11.4
1,2021-22,22.0,NYK,NBA,PG,78.0,3.0,23.1,3.6,9.3,0.392,1.8,5.1,0.346,1.9,4.2,0.448,0.487,2.3,2.6,0.881,0.4,2.8,3.2,3.5,0.7,0.0,1.3,2.1,11.3
2,2022-23,23.0,NYK,NBA,SG,81.0,21.0,28.9,5.2,11.6,0.448,2.1,5.6,0.37,3.1,6.0,0.521,0.537,2.5,3.1,0.819,0.7,3.4,4.2,3.4,1.0,0.2,1.2,2.0,14.9
3,2023-24,24.0,TOT,NBA,"PG,SG",42.0,12.0,26.2,5.2,11.9,0.44,2.3,5.6,0.41,2.9,6.3,0.466,0.536,2.8,3.2,0.866,0.2,2.9,3.1,3.5,0.6,0.1,1.1,1.6,15.5
4,2023-24,24.0,NYK,NBA,SG,30.0,0.0,24.0,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0
5,2023-24,24.0,TOR,NBA,PG,12.0,12.0,31.8,5.6,13.6,0.411,2.7,6.0,0.444,2.9,7.6,0.385,0.509,2.8,3.3,0.85,0.3,4.3,4.6,6.1,0.8,0.2,1.4,2.0,16.7
6,Career,,,NBA,,265.0,39.0,24.5,4.3,10.3,0.42,2.0,5.2,0.374,2.4,5.1,0.468,0.515,2.5,2.9,0.86,0.5,2.8,3.2,3.1,0.7,0.1,1.2,1.9,13.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,NYK,NBA,,253.0,27.0,24.1,4.3,10.2,0.421,1.9,5.2,0.37,2.4,5.0,0.474,0.516,2.4,2.8,0.861,0.5,2.7,3.2,3.0,0.7,0.1,1.1,1.9,12.9
9,1 season,,TOR,NBA,,12.0,12.0,31.8,5.6,13.6,0.411,2.7,6.0,0.444,2.9,7.6,0.385,0.509,2.8,3.3,0.85,0.3,4.3,4.6,6.1,0.8,0.2,1.4,2.0,16.7
