,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,21.0,BOS,NBA,PG,39.0,0.0,8.0,0.7,2.7,0.274,0.2,0.7,0.222,0.6,2.0,0.291,0.302,0.2,0.3,0.8,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8
1,2016-17,22.0,BOS,NBA,PG,74.0,0.0,17.1,2.0,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5
2,2017-18,23.0,BOS,NBA,PG,80.0,16.0,25.9,4.0,10.0,0.395,1.9,5.0,0.381,2.0,5.0,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1.0,0.2,1.0,1.5,11.3
3,2018-19,24.0,BOS,NBA,PG,79.0,14.0,22.7,3.3,8.4,0.387,1.5,4.3,0.353,1.8,4.2,0.422,0.477,0.9,1.2,0.785,0.4,3.5,3.9,2.9,0.9,0.3,0.9,1.3,9.0
4,2019-20,25.0,CHO,NBA,PG,63.0,63.0,34.3,6.3,14.9,0.423,2.7,6.7,0.407,3.6,8.2,0.436,0.514,2.6,3.0,0.874,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0
5,2020-21,26.0,CHO,NBA,SG,69.0,69.0,34.5,7.4,16.4,0.45,3.2,8.3,0.389,4.2,8.2,0.512,0.548,2.4,2.9,0.817,0.7,3.7,4.4,4.2,1.3,0.4,1.9,1.7,20.4
6,2021-22,27.0,CHO,NBA,SG,73.0,73.0,33.7,7.1,16.0,0.444,3.0,8.1,0.374,4.1,7.9,0.516,0.539,2.1,2.4,0.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3
7,2022-23,28.0,CHO,NBA,SG,63.0,63.0,35.3,7.8,18.9,0.415,2.6,8.0,0.327,5.2,10.8,0.48,0.484,2.8,3.5,0.809,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,21.1
8,2023-24,29.0,TOT,NBA,"PG,SG",38.0,37.0,34.5,7.6,17.0,0.444,2.4,7.1,0.343,5.1,9.9,0.516,0.515,3.4,4.0,0.861,0.6,3.5,4.1,6.4,1.1,0.4,2.0,1.8,20.9
9,2023-24,29.0,CHO,NBA,SG,30.0,30.0,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2
10,2023-24,29.0,MIA,NBA,PG,8.0,7.0,30.9,4.4,12.1,0.361,1.1,4.5,0.25,3.3,7.6,0.426,0.407,2.6,2.8,0.955,0.9,4.0,4.9,5.6,1.0,0.3,1.3,2.0,12.5
11,Career,,,NBA,,578.0,335.0,27.6,5.1,12.2,0.419,2.1,5.7,0.366,3.0,6.5,0.467,0.505,1.8,2.2,0.824,0.7,3.3,3.9,3.6,1.0,0.2,1.4,1.5,14.1
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5 seasons,,CHO,NBA,,298.0,298.0,34.5,7.3,16.7,0.436,2.9,7.8,0.372,4.4,8.9,0.492,0.523,2.6,3.1,0.838,0.7,3.5,4.3,4.7,1.2,0.3,1.9,1.8,20.0
14,4 seasons,,BOS,NBA,,272.0,30.0,20.0,2.8,7.3,0.38,1.2,3.5,0.354,1.5,3.8,0.404,0.465,0.9,1.2,0.777,0.6,3.0,3.6,2.3,0.7,0.2,0.8,1.2,7.7
15,1 season,,MIA,NBA,,8.0,7.0,30.9,4.4,12.1,0.361,1.1,4.5,0.25,3.3,7.6,0.426,0.407,2.6,2.8,0.955,0.9,4.0,4.9,5.6,1.0,0.3,1.3,2.0,12.5
