,Season,Tm,PTS,AST,TRB,FT,3PA,3P,FGA,FG,STL,PA,PR,RA,PRA
0,2015-16,LAL,13.2,3.3,3.4,1.8,4.6,1.6,12.0,4.9,1.2,16.5,16.599999999999998,6.699999999999999,19.9
1,2016-17,LAL,15.6,4.8,3.5,2.3,6.1,2.1,13.8,5.6,1.4,20.4,19.1,8.3,23.9
2,2017-18,BRK,15.5,5.2,3.9,2.0,5.8,1.9,14.0,5.8,0.8,20.7,19.4,9.1,24.6
3,2018-19,BRK,21.1,7.0,3.9,2.0,7.8,2.9,18.7,8.1,1.2,28.1,25.0,10.9,32.0
4,2019-20,TOT,23.1,6.3,3.9,3.6,9.6,3.5,18.8,8.0,1.1,29.400000000000002,27.0,10.2,33.3
5,2019-20,GSW,23.6,6.2,3.7,3.4,9.7,3.6,19.2,8.3,0.9,29.8,27.3,9.9,33.5
6,2019-20,MIN,21.7,6.6,4.6,4.0,9.2,3.2,17.6,7.3,1.4,28.299999999999997,26.299999999999997,11.2,32.9
7,2020-21,MIN,19.0,5.8,2.6,2.7,7.4,2.9,15.5,6.7,1.1,24.8,21.6,8.4,27.4
8,2021-22,MIN,18.1,7.1,3.3,3.0,8.0,2.7,15.0,6.2,1.0,25.200000000000003,21.400000000000002,10.399999999999999,28.5
9,2022-23,TOT,17.8,6.2,3.0,2.5,6.9,2.7,13.4,6.3,1.0,24.0,20.8,9.2,27.0
10,2022-23,MIN,17.9,6.2,3.1,2.6,7.0,2.7,13.5,6.3,1.1,24.099999999999998,21.0,9.3,27.2
11,2022-23,LAL,17.4,6.1,2.9,2.1,6.5,2.7,13.0,6.3,0.6,23.5,20.299999999999997,9.0,26.4
12,2023-24,LAL,17.1,6.1,2.6,1.8,6.1,2.6,13.4,6.3,0.8,23.200000000000003,19.700000000000003,8.7,25.8
13,Career,,17.7,5.7,3.4,2.4,6.8,2.5,14.9,6.4,1.1,23.4,21.099999999999998,9.1,26.799999999999997
14,,,,,,,,,,,,,,,
15,4 seasons,LAL,15.1,4.6,3.2,2.0,5.6,2.1,12.9,5.5,1.1,19.7,18.3,7.8,22.9
16,4 seasons,MIN,18.5,6.5,3.2,2.9,7.6,2.8,14.8,6.4,1.1,25.0,21.7,9.7,28.2
17,2 seasons,BRK,19.0,6.3,3.9,2.0,7.1,2.5,17.0,7.3,1.1,25.3,22.9,10.2,29.2
18,1 season,GSW,23.6,6.2,3.7,3.4,9.7,3.6,19.2,8.3,0.9,29.8,27.3,9.9,33.5
