,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,23.0,CHI,NBA,SF,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
1,2020-21,24.0,MIA,NBA,SF,39.0,0.0,13.0,2.2,4.8,0.455,1.3,3.8,0.338,0.9,1.0,0.897,0.588,0.4,0.6,0.667,0.1,0.9,1.1,0.6,0.3,0.1,0.2,1.1,6.1
2,2021-22,25.0,MIA,NBA,SF,68.0,16.0,23.3,3.7,8.3,0.441,2.7,6.5,0.41,1.0,1.8,0.557,0.602,0.6,0.8,0.792,0.4,2.6,3.0,1.4,0.4,0.2,0.8,1.7,10.6
3,2022-23,26.0,MIA,NBA,SF,80.0,33.0,28.4,4.1,9.9,0.41,2.5,7.0,0.35,1.6,2.8,0.559,0.535,1.0,1.1,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5
4,2023-24,27.0,CLE,NBA,SF,47.0,47.0,32.9,4.4,11.1,0.4,2.5,7.4,0.335,2.0,3.7,0.528,0.511,1.1,1.3,0.806,0.8,4.2,5.0,3.7,0.9,0.5,1.6,2.7,12.4
5,Career,,,NBA,,236.0,96.0,25.1,3.7,8.8,0.421,2.3,6.4,0.363,1.4,2.4,0.574,0.552,0.8,1.0,0.817,0.5,2.6,3.1,2.0,0.5,0.2,0.9,1.9,10.5
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3 seasons,,MIA,NBA,,187.0,49.0,23.3,3.5,8.2,0.427,2.3,6.2,0.371,1.2,2.1,0.593,0.566,0.7,0.9,0.819,0.4,2.3,2.7,1.5,0.4,0.2,0.7,1.7,10.1
8,1 season,,CLE,NBA,,47.0,47.0,32.9,4.4,11.1,0.4,2.5,7.4,0.335,2.0,3.7,0.528,0.511,1.1,1.3,0.806,0.8,4.2,5.0,3.7,0.9,0.5,1.6,2.7,12.4
9,1 season,,CHI,NBA,,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
