,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2011-12,21.0,GSW,NBA,SG,66,29,24.4,4.8,10.9,.443,1.7,4.1,.414,3.1,6.8,.460,.520,1.2,1.4,.868,0.4,2.1,2.4,2.0,0.7,0.3,1.6,2.3,12.5
1,2012-13,22.0,GSW,NBA,SG,82,82,35.8,6.2,14.7,.422,2.6,6.4,.401,3.6,8.3,.437,.509,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6
2,2013-14,23.0,GSW,NBA,SG,81,81,35.4,6.9,15.5,.444,2.8,6.6,.417,4.1,8.9,.464,.533,1.8,2.3,.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4
3,2014-15,24.0,GSW,NBA,SG,77,77,31.9,7.8,16.9,.463,3.1,7.1,.439,4.7,9.8,.481,.555,2.9,3.3,.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7
4,2015-16,25.0,GSW,NBA,SG,80,80,33.3,8.1,17.3,.470,3.5,8.1,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
5,2016-17,26.0,GSW,NBA,SG,78,78,34.0,8.3,17.6,.468,3.4,8.3,.414,4.8,9.3,.516,.565,2.4,2.8,.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3
6,2017-18,27.0,GSW,NBA,SG,73,73,34.3,7.9,16.2,.488,3.1,7.1,.440,4.7,9.0,.526,.585,1.1,1.3,.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20.0
7,2018-19,28.0,GSW,NBA,SG,78,78,34.0,8.4,18.0,.467,3.1,7.7,.402,5.3,10.3,.516,.553,1.7,2.0,.816,0.5,3.4,3.8,2.4,1.1,0.6,1.5,2.0,21.5
8,2019-20,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020-21,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-22,31.0,GSW,NBA,SG,32,32,29.4,7.7,17.9,.429,3.6,9.3,.385,4.1,8.7,.477,.529,1.4,1.6,.902,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7,20.4
11,2022-23,32.0,GSW,NBA,SF,69,69,33.0,7.9,18.1,.436,4.4,10.6,.412,3.6,7.6,.470,.556,1.7,1.9,.879,0.6,3.6,4.1,2.4,0.7,0.4,1.8,1.9,21.9
12,2023-24,33.0,GSW,NBA,SF,42,42,30.9,6.1,14.5,.421,3.4,8.8,.385,2.7,5.7,.477,.539,1.9,2.1,.910,0.5,2.9,3.4,2.4,0.5,0.5,1.7,2.0,17.6
13,Career,,,NBA,,758,721,32.8,7.3,16.2,.454,3.1,7.5,.414,4.2,8.7,.488,.550,1.9,2.2,.855,0.5,3.1,3.5,2.3,0.9,0.5,1.7,2.1,19.6
