,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,23.0,SAS,NBA,PG,17.0,0.0,8.2,0.9,1.9,0.485,0.5,0.8,0.615,0.5,1.2,0.4,0.606,0.8,1.2,0.7,0.3,1.2,1.5,0.5,0.2,0.2,0.4,0.5,3.2
1,2018-19,24.0,SAS,NBA,PG,67.0,55.0,25.8,3.9,8.1,0.479,0.7,2.1,0.338,3.2,6.0,0.529,0.523,1.4,1.8,0.772,0.5,3.2,3.7,3.9,1.0,0.7,1.4,2.2,9.9
2,2019-20,25.0,SAS,NBA,SG,68.0,20.0,24.7,3.7,8.1,0.458,1.2,3.2,0.366,2.6,4.9,0.518,0.53,2.6,3.1,0.853,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
3,2020-21,26.0,SAS,NBA,SG,36.0,32.0,29.6,5.2,12.6,0.411,2.3,6.8,0.346,2.8,5.8,0.486,0.503,2.7,3.2,0.851,0.4,2.6,3.0,3.5,0.7,1.0,1.3,2.5,15.4
4,2021-22,27.0,TOT,NBA,SG,75.0,52.0,29.3,4.5,10.7,0.421,1.5,4.9,0.312,3.0,5.7,0.515,0.493,2.7,3.1,0.864,0.5,3.0,3.5,4.9,0.9,0.8,1.6,2.3,13.2
5,2021-22,27.0,SAS,NBA,SG,49.0,48.0,30.3,5.0,11.6,0.426,1.7,5.3,0.314,3.3,6.4,0.519,0.497,2.8,3.3,0.869,0.5,3.0,3.5,5.6,1.0,0.9,1.8,2.4,14.4
6,2021-22,27.0,BOS,NBA,SG,26.0,4.0,27.4,3.6,8.8,0.409,1.3,4.3,0.306,2.3,4.6,0.504,0.483,2.5,2.9,0.853,0.5,2.9,3.4,3.5,0.6,0.6,1.2,2.2,11.0
7,2022-23,28.0,BOS,NBA,SG,82.0,70.0,28.3,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,0.56,2.0,2.3,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4
8,2023-24,29.0,BOS,NBA,SG,45.0,45.0,32.1,5.4,11.8,0.456,2.6,6.7,0.397,2.7,5.1,0.532,0.568,2.3,2.5,0.895,0.7,3.3,4.0,4.8,1.0,1.2,1.6,2.2,15.7
9,Career,,,NBA,,390.0,274.0,27.1,4.2,9.4,0.448,1.5,4.3,0.36,2.7,5.1,0.522,0.53,2.2,2.6,0.851,0.5,2.9,3.4,4.0,0.8,0.9,1.3,2.2,12.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5 seasons,,SAS,NBA,,237.0,155.0,25.7,4.0,9.1,0.445,1.3,3.7,0.344,2.8,5.4,0.514,0.515,2.2,2.6,0.836,0.5,2.8,3.3,3.9,0.8,0.8,1.4,2.2,11.6
12,3 seasons,,BOS,NBA,,153.0,119.0,29.3,4.5,9.9,0.452,2.0,5.2,0.377,2.5,4.7,0.536,0.551,2.2,2.5,0.877,0.6,3.0,3.7,4.1,0.7,1.0,1.3,2.2,13.1
