Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,21-289,WAS,@,IND,W (+7),1,7:40,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7,+14
2,2,2022-10-21,21-291,WAS,,CHI,W (+2),1,23:01,2,4,.500,2,2,1.000,0,0,,0,10,10,4,1,1,1,5,6,8.5,+16
3,3,2022-10-23,21-293,WAS,@,CLE,L (-10),1,14:27,1,6,.167,0,3,.000,0,0,,0,2,2,0,2,0,1,4,2,-1.8,+1
4,4,2022-10-25,21-295,WAS,,DET,W (+21),1,26:50,3,6,.500,1,3,.333,2,2,1.000,0,7,7,2,1,2,0,3,9,10.7,+12
5,5,2022-10-28,21-298,WAS,,IND,L (-10),1,19:58,3,7,.429,1,3,.333,0,0,,1,1,2,0,0,0,2,2,7,1.5,-6
6,6,2022-10-30,21-300,WAS,@,BOS,L (-18),1,11:01,2,4,.500,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,2,6,3.8,-9
7,7,2022-10-31,21-301,WAS,,PHI,L (-7),0,16:42,0,1,.000,0,0,,0,0,,0,1,1,2,0,1,0,3,0,0.5,-12
8,8,2022-11-02,21-303,WAS,@,PHI,W (+10),0,28:48,1,3,.333,0,1,.000,3,4,.750,1,7,8,1,0,3,0,5,5,6.5,+17
9,9,2022-11-04,21-305,WAS,,BRK,L (-42),0,21:32,2,5,.400,0,2,.000,0,0,,0,2,2,1,0,0,2,2,4,-0.2,-21
10,10,2022-11-06,21-307,WAS,@,MEM,L (-6),1,26:03,2,12,.167,0,5,.000,0,0,,4,6,10,2,0,0,2,1,4,0.0,-16
11,11,2022-11-07,21-308,WAS,@,CHO,W (+8),1,18:27,1,4,.250,0,3,.000,1,2,.500,0,3,3,2,0,0,1,3,3,0.3,+4
12,12,2022-11-10,21-311,WAS,,DAL,W (+8),1,32:22,4,13,.308,1,4,.250,3,3,1.000,2,4,6,4,1,0,3,4,12,6.3,-2
13,13,2022-11-12,21-313,WAS,,UTA,W (+9),1,34:22,4,6,.667,1,2,.500,4,4,1.000,1,6,7,3,3,1,2,3,13,15.5,+22
14,14,2022-11-13,21-314,WAS,,MEM,W (+10),1,33:54,8,16,.500,4,7,.571,1,3,.333,0,2,2,5,1,0,3,4,21,12.7,+4
15,15,2022-11-16,21-317,WAS,,OKC,L (-1),1,29:34,4,10,.400,2,3,.667,2,2,1.000,3,4,7,2,0,2,4,5,12,6.7,+1
16,16,2022-11-18,21-319,WAS,,MIA,W (+1),1,14:25,1,2,.500,1,2,.500,0,0,,0,1,1,3,0,0,1,4,3,1.8,-3
17,17,2022-11-20,21-321,WAS,,CHO,W (+4),1,31:08,6,11,.545,0,3,.000,0,1,.000,4,9,13,1,0,1,1,2,12,11.4,+7
18,18,2022-11-23,21-324,WAS,@,MIA,L (-8),1,40:36,5,10,.500,1,3,.333,1,1,1.000,3,6,9,10,1,2,4,4,12,14.7,-3
19,19,2022-11-25,21-326,WAS,@,MIA,L (-3),1,30:42,2,8,.250,0,4,.000,4,6,.667,1,8,9,5,1,2,3,3,8,7.2,-2
20,20,2022-11-27,21-328,WAS,@,BOS,L (-9),1,26:48,4,8,.500,2,6,.333,0,0,,0,1,1,3,1,0,0,3,10,8.2,-11
21,21,2022-11-28,21-329,WAS,,MIN,W (+15),1,18:36,2,6,.333,0,2,.000,2,2,1.000,0,6,6,0,2,0,0,3,6,5.2,+7
22,22,2022-11-30,21-331,WAS,@,BRK,L (-6),1,26:05,3,7,.429,0,1,.000,1,2,.500,0,5,5,3,1,1,0,4,7,6.6,-6
23,23,2022-12-02,21-333,WAS,@,CHO,L (-1),1,8:59,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,2,2,0,-3.5,-17
24,24,2022-12-04,21-335,WAS,,LAL,L (-11),1,25:10,3,11,.273,1,8,.125,0,0,,1,7,8,1,2,1,1,3,7,4.5,-14
25,25,2022-12-07,21-338,WAS,@,CHI,L (-4),1,38:51,4,8,.500,0,1,.000,2,3,.667,1,4,5,6,4,0,0,2,10,14.9,-9
26,26,2022-12-09,21-340,WAS,@,IND,L (-10),1,39:52,6,11,.545,1,5,.200,1,2,.500,2,7,9,4,1,0,3,4,14,11.0,-5
27,27,2022-12-10,21-341,WAS,,LAC,L (-7),1,38:38,4,10,.400,3,7,.429,0,0,,0,6,6,6,0,1,1,1,11,10.9,+4
28,28,2022-12-12,21-343,WAS,,BRK,L (-12),1,26:37,2,4,.500,1,3,.333,3,3,1.000,0,7,7,1,0,0,1,4,8,6.2,-3
29,29,2022-12-14,21-345,WAS,@,DEN,L (-13),1,28:44,4,7,.571,1,2,.500,0,0,,0,6,6,5,3,0,2,5,9,10.0,-17
30,30,2022-12-17,21-348,WAS,@,LAC,L (-9),1,37:21,3,8,.375,1,3,.333,4,4,1.000,1,9,10,5,1,1,3,5,11,10.2,-17
31,31,2022-12-18,21-349,WAS,@,LAL,L (-2),1,21:26,3,7,.429,2,4,.500,0,0,,0,3,3,1,0,1,1,1,8,5.2,+2
32,32,2022-12-20,21-351,WAS,@,PHO,W (+3),1,36:12,4,8,.500,2,5,.400,6,6,1.000,1,9,10,4,0,1,0,4,16,17.3,+11
33,,2022-12-22,21-353,WAS,@,UTA,L (-8),,,,,,,,,,,,,,,,,,,,,,
34,,2022-12-23,21-354,WAS,@,SAC,W (+14),,,,,,,,,,,,,,,,,,,,,,
35,33,2022-12-27,21-358,WAS,,PHI,W (+5),0,20:01,2,4,.500,1,1,1.000,2,2,1.000,2,1,3,0,0,1,1,2,7,5.6,-5
36,34,2022-12-28,21-359,WAS,,PHO,W (+25),0,27:11,3,5,.600,1,3,.333,1,2,.500,1,6,7,2,0,0,3,2,8,5.4,+16
37,35,2022-12-30,21-361,WAS,@,ORL,W (+19),0,27:31,5,8,.625,2,5,.400,1,1,1.000,0,7,7,6,2,1,3,5,13,13.4,-3
38,36,2023-01-01,21-363,WAS,@,MIL,W (+23),0,28:44,5,12,.417,0,3,.000,1,2,.500,4,8,12,3,2,0,4,0,11,9.5,+13
39,37,2023-01-03,22-000,WAS,@,MIL,L (-10),0,28:02,4,7,.571,0,3,.000,4,4,1.000,2,2,4,3,1,0,2,3,12,10.6,-11
40,38,2023-01-06,22-003,WAS,@,OKC,L (-17),0,17:11,1,2,.500,0,1,.000,2,2,1.000,0,3,3,0,0,0,2,1,4,1.5,-11
41,39,2023-01-09,22-006,WAS,,NOP,L (-20),0,21:43,2,6,.333,0,2,.000,0,2,.000,1,3,4,3,0,0,0,2,4,2.7,-9
42,40,2023-01-11,22-008,WAS,,CHI,W (+3),1,34:48,3,6,.500,1,2,.500,2,2,1.000,3,17,20,3,0,0,4,3,9,10.1,+1
43,41,2023-01-13,22-010,WAS,,NYK,L (-4),0,25:58,1,5,.200,0,4,.000,1,1,1.000,2,7,9,2,0,0,0,4,3,3.2,-2
44,42,2023-01-16,22-013,WAS,,GSW,L (-9),0,13:58,3,9,.333,0,2,.000,0,0,,2,3,5,2,0,0,2,4,6,1.0,-4
45,43,2023-01-18,22-015,WAS,@,NYK,W (+11),0,29:04,6,11,.545,2,3,.667,0,1,.000,3,4,7,1,1,1,0,3,14,12.8,-11
46,44,2023-01-21,22-018,WAS,,ORL,W (+20),0,24:40,0,5,.000,0,3,.000,0,2,.000,0,4,4,0,1,0,0,2,0,-2.9,+4
47,45,2023-01-24,22-021,WAS,@,DAL,W (+1),0,32:07,3,5,.600,0,1,.000,9,11,.818,2,8,10,3,3,0,1,3,15,18.6,+4
48,46,2023-01-25,22-022,WAS,@,HOU,W (+5),0,29:57,4,13,.308,1,4,.250,1,2,.500,2,8,10,3,1,1,0,3,10,8.5,+7
49,47,2023-01-28,22-025,WAS,@,NOP,W (+10),0,27:21,5,8,.625,1,3,.333,4,6,.667,0,9,9,1,2,0,1,2,15,14.2,+14
50,48,2023-01-30,22-027,WAS,@,SAS,W (+21),0,33:18,10,12,.833,2,2,1.000,3,4,.750,1,8,9,1,1,1,2,4,25,22.1,+25
51,49,2023-02-03,22-031,WAS,,POR,L (-8),0,15:01,0,8,.000,0,2,.000,2,2,1.000,1,3,4,2,0,0,0,2,2,-1.4,0
52,50,2023-02-04,22-032,WAS,@,BRK,L (-2),0,34:16,6,14,.429,4,9,.444,7,12,.583,1,5,6,3,4,0,3,4,23,17.3,+8
53,51,2023-02-06,22-034,WAS,,CLE,L (-23),1,30:02,3,10,.300,1,4,.250,5,5,1.000,0,4,4,3,2,0,3,2,12,7.7,-23
54,52,2023-02-08,22-036,WAS,,CHO,W (+14),1,36:39,8,13,.615,3,5,.600,1,1,1.000,1,12,13,0,0,0,1,2,20,16.6,+6
