Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,30-142,SAC,,POR,L (-7),1,31:21,4,8,.500,0,2,.000,1,2,.500,1,7,8,4,0,1,1,2,9,9.1,-6
2,2,2022-10-22,30-145,SAC,,LAC,L (-2),1,34:29,2,10,.200,0,3,.000,4,7,.571,1,6,7,0,1,0,1,2,8,2.3,+4
3,3,2022-10-23,30-146,SAC,@,GSW,L (-5),1,21:27,1,1,1.000,0,0,,2,4,.500,0,2,2,0,1,0,2,1,4,2.1,-18
4,4,2022-10-27,30-150,SAC,,MEM,L (-15),1,37:28,6,12,.500,1,4,.250,7,8,.875,0,3,3,3,1,0,2,0,20,15.6,-12
5,5,2022-10-29,30-152,SAC,,MIA,W (+6),1,33:40,3,7,.429,1,4,.250,4,4,1.000,1,3,4,6,0,0,2,5,11,9.1,+12
6,6,2022-10-31,30-154,SAC,@,CHO,W (+7),1,37:20,4,12,.333,0,5,.000,8,8,1.000,2,7,9,2,0,0,0,0,16,14.1,-1
7,7,2022-11-02,30-156,SAC,@,MIA,L (-3),1,34:48,4,12,.333,2,5,.400,2,2,1.000,2,5,7,1,0,0,0,0,12,8.8,-3
8,8,2022-11-05,30-159,SAC,@,ORL,W (+3),1,35:04,4,10,.400,1,4,.250,0,0,,2,3,5,1,1,0,1,1,9,6.2,+5
9,9,2022-11-07,30-161,SAC,@,GSW,L (-3),1,22:28,0,4,.000,0,3,.000,0,0,,1,2,3,0,1,0,2,0,0,-2.5,-10
10,10,2022-11-09,30-163,SAC,,CLE,W (+7),1,35:18,6,8,.750,2,4,.500,6,8,.750,1,8,9,3,2,0,0,3,20,22.0,+10
11,11,2022-11-11,30-165,SAC,@,LAL,W (+6),1,30:34,3,7,.429,1,3,.333,6,6,1.000,3,5,8,2,1,1,2,1,13,13.6,+9
12,12,2022-11-13,30-167,SAC,,GSW,W (+7),1,27:25,4,8,.500,1,3,.333,0,0,,0,0,0,3,1,1,0,1,9,8.4,+3
13,13,2022-11-15,30-169,SAC,,BRK,W (+32),1,21:26,5,8,.625,2,4,.500,4,4,1.000,1,3,4,3,1,0,0,4,16,15.5,+33
14,14,2022-11-17,30-171,SAC,,SAS,W (+18),1,29:21,4,7,.571,1,3,.333,7,8,.875,1,7,8,2,2,0,1,0,16,17.5,+7
15,15,2022-11-20,30-174,SAC,,DET,W (+8),1,36:09,8,11,.727,1,2,.500,10,11,.909,2,7,9,3,0,0,0,0,27,27.7,+20
16,16,2022-11-22,30-176,SAC,@,MEM,W (+4),1,33:02,7,13,.538,4,8,.500,8,8,1.000,0,4,4,0,1,0,5,2,26,16.1,-3
17,17,2022-11-23,30-177,SAC,@,ATL,L (-9),1,32:21,4,8,.500,0,2,.000,0,0,,0,7,7,1,0,0,1,0,8,5.8,-5
18,18,2022-11-25,30-179,SAC,@,BOS,L (-18),1,22:36,4,9,.444,0,0,,4,4,1.000,3,2,5,1,0,0,2,3,12,7.5,-19
19,19,2022-11-28,30-182,SAC,,PHO,L (-5),1,28:03,1,4,.250,0,1,.000,4,5,.800,1,1,2,2,2,0,0,1,6,7.2,+1
20,20,2022-11-30,30-184,SAC,,IND,W (+23),1,25:57,6,9,.667,1,4,.250,9,10,.900,0,5,5,2,2,0,1,3,22,20.4,+30
21,21,2022-12-03,30-187,SAC,@,LAC,W (+27),1,25:54,4,6,.667,1,3,.333,1,5,.200,0,5,5,2,1,0,1,1,10,8.3,+26
22,22,2022-12-04,30-188,SAC,,CHI,W (+9),1,37:43,6,10,.600,3,6,.500,2,2,1.000,1,5,6,0,1,0,3,1,17,12.2,+1
23,23,2022-12-07,30-191,SAC,@,MIL,L (-13),1,32:48,6,11,.545,2,6,.333,6,7,.857,0,3,3,2,0,0,0,1,20,16.2,-13
24,24,2022-12-09,30-193,SAC,@,CLE,W (+11),1,36:26,5,9,.556,3,6,.500,7,10,.700,0,3,3,1,0,1,4,2,20,12.0,+9
25,25,2022-12-11,30-195,SAC,@,NYK,L (-13),1,34:53,4,10,.400,1,5,.200,6,9,.667,0,2,2,2,0,0,3,2,15,6.6,-12
26,26,2022-12-13,30-197,SAC,@,PHI,L (-20),1,30:35,4,12,.333,1,6,.167,2,2,1.000,1,7,8,2,1,0,1,1,11,8.0,-20
27,27,2022-12-14,30-198,SAC,@,TOR,W (+1),1,36:21,4,8,.500,0,4,.000,4,4,1.000,2,6,8,3,0,0,0,1,12,12.9,+8
28,28,2022-12-16,30-200,SAC,@,DET,W (+9),1,36:35,5,9,.556,3,4,.750,6,6,1.000,1,6,7,2,3,0,3,3,19,17.4,+16
29,29,2022-12-19,30-203,SAC,,CHO,L (-6),1,29:29,3,7,.429,0,2,.000,5,8,.625,0,3,3,3,2,0,1,1,11,9.7,+2
30,30,2022-12-21,30-205,SAC,,LAL,W (+14),1,33:56,8,15,.533,3,7,.429,1,3,.333,1,7,8,1,0,0,0,0,20,15.4,+8
31,31,2022-12-23,30-207,SAC,,WAS,L (-14),1,37:59,4,13,.308,2,7,.286,1,2,.500,0,5,5,0,0,0,2,1,11,2.2,-2
