Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,20-192,NYK,@,IND,L (-14),1,34:22,11,15,.733,3,3,1.000,1,2,.500,0,8,8,5,0,0,1,3,26,23.2,-10
2,2,2020-12-26,20-195,NYK,,PHI,L (-20),1,37:04,2,15,.133,0,6,.000,6,8,.750,1,5,6,4,0,0,4,0,10,0.5,-16
3,3,2020-12-27,20-196,NYK,,MIL,W (+20),1,38:15,7,17,.412,0,4,.000,3,4,.750,2,6,8,4,1,0,2,4,17,10.9,+21
4,4,2020-12-29,20-198,NYK,@,CLE,W (+9),1,38:45,4,15,.267,0,3,.000,4,4,1.000,1,6,7,2,2,0,2,2,12,6.2,+1
5,5,2020-12-31,20-200,NYK,@,TOR,L (-17),1,36:56,4,19,.211,0,8,.000,4,5,.800,2,6,8,3,1,0,2,2,12,3.4,-20
6,6,2021-01-02,20-202,NYK,@,IND,W (+4),1,42:16,8,15,.533,4,5,.800,5,6,.833,0,5,5,3,0,0,1,1,25,19.5,+5
7,7,2021-01-04,20-204,NYK,@,ATL,W (+5),1,43:45,10,19,.526,1,5,.200,5,7,.714,1,10,11,5,2,0,0,2,26,24.3,+13
8,8,2021-01-06,20-206,NYK,,UTA,W (+12),1,33:20,4,14,.286,0,3,.000,1,3,.333,0,5,5,1,3,1,2,3,9,2.7,+10
9,9,2021-01-08,20-208,NYK,,OKC,L (-12),1,44:14,7,21,.333,1,5,.200,4,7,.571,5,3,8,2,1,1,0,4,19,11.8,-5
10,10,2021-01-10,20-210,NYK,,DEN,L (-25),1,33:21,4,13,.308,0,3,.000,1,3,.333,3,6,9,4,0,0,3,1,9,4.0,-14
11,11,2021-01-11,20-211,NYK,@,CHO,L (-21),1,34:52,5,18,.278,0,5,.000,1,2,.500,2,7,9,5,0,0,1,2,11,5.2,-13
12,12,2021-01-13,20-213,NYK,,BRK,L (-7),1,38:06,7,15,.467,1,4,.250,5,6,.833,1,4,5,3,0,0,0,2,20,15.1,-2
13,13,2021-01-15,20-215,NYK,@,CLE,L (-3),1,32:58,7,12,.583,2,4,.500,4,4,1.000,0,4,4,3,0,2,3,2,20,15.3,0
14,14,2021-01-17,20-217,NYK,@,BOS,W (+30),1,29:14,5,11,.455,2,4,.500,7,8,.875,4,7,11,3,2,0,4,3,19,16.7,+32
15,15,2021-01-18,20-218,NYK,,ORL,W (+7),1,38:19,9,19,.474,0,3,.000,4,4,1.000,2,8,10,4,0,1,3,2,22,15.8,+16
16,16,2021-01-21,20-221,NYK,@,GSW,W (+15),1,36:45,10,17,.588,2,3,.667,6,8,.750,1,1,2,5,0,0,2,4,28,20.2,+13
17,17,2021-01-22,20-222,NYK,@,SAC,L (-9),1,35:53,8,17,.471,2,2,1.000,3,3,1.000,2,5,7,3,0,0,3,4,21,12.7,-11
18,18,2021-01-24,20-224,NYK,@,POR,L (-3),1,22:46,4,9,.444,0,2,.000,0,0,,1,3,4,2,0,0,0,2,8,5.5,-2
19,19,2021-01-26,20-226,NYK,@,UTA,L (-14),1,40:22,7,11,.636,3,3,1.000,0,2,.000,2,1,3,4,1,0,1,2,17,15.0,-7
20,20,2021-01-29,20-229,NYK,,CLE,W (+21),1,39:49,8,19,.421,2,5,.400,6,7,.857,0,4,4,2,2,0,3,5,24,13.1,+27
21,21,2021-01-31,20-231,NYK,,LAC,L (-14),1,30:31,9,14,.643,0,1,.000,5,6,.833,0,2,2,2,2,0,2,3,23,17.2,-8
22,22,2021-02-01,20-232,NYK,@,CHI,L (-8),1,30:18,7,17,.412,0,3,.000,0,0,,1,7,8,3,0,0,2,5,14,5.8,-11
23,23,2021-02-03,20-234,NYK,@,CHI,W (+4),1,32:02,8,15,.533,0,1,.000,1,3,.333,0,7,7,2,0,0,4,2,17,7.6,+4
24,24,2021-02-06,20-237,NYK,,POR,W (+11),1,34:51,8,14,.571,2,2,1.000,0,0,,1,6,7,3,0,0,3,1,18,12.6,+4
25,25,2021-02-07,20-238,NYK,,MIA,L (-6),1,19:13,1,6,.167,1,3,.333,0,0,,0,2,2,0,1,0,1,0,3,-0.2,-5
26,26,2021-02-09,20-240,NYK,@,MIA,L (-2),1,26:42,5,14,.357,1,4,.250,2,4,.500,0,6,6,2,0,0,2,3,13,4.4,-9
27,27,2021-02-12,20-243,NYK,@,WAS,W (+18),1,25:36,3,13,.231,0,1,.000,2,2,1.000,1,2,3,4,2,0,0,4,8,4.6,+5
28,28,2021-02-13,20-244,NYK,,HOU,W (+22),1,22:04,2,8,.250,0,1,.000,3,4,.750,2,2,4,5,0,0,2,3,7,4.1,+1
29,29,2021-02-15,20-246,NYK,,ATL,W (+11),1,32:36,8,14,.571,3,3,1.000,2,3,.667,4,2,6,3,1,0,1,1,21,19.1,+12
30,30,2021-02-17,20-248,NYK,@,ORL,L (-18),1,26:31,5,11,.455,1,3,.333,4,5,.800,0,7,7,1,1,1,3,2,15,9.6,-3
31,31,2021-02-21,20-252,NYK,,MIN,W (+4),1,34:11,10,20,.500,1,1,1.000,0,1,.000,1,3,4,1,1,1,2,2,21,11.8,+20
32,32,2021-02-23,20-254,NYK,,GSW,L (-8),1,27:28,1,9,.111,1,3,.333,1,2,.500,3,7,10,1,0,0,3,6,4,-2.8,-21
33,33,2021-02-25,20-256,NYK,,SAC,W (+19),1,25:14,5,8,.625,2,3,.667,0,0,,0,3,3,3,0,0,1,3,12,9.2,+1
34,34,2021-02-27,20-258,NYK,,IND,W (+3),1,34:17,8,17,.471,4,6,.667,4,7,.571,1,6,7,2,0,0,2,1,24,15.6,+14
35,35,2021-02-28,20-259,NYK,@,DET,W (+19),1,35:13,8,13,.615,2,4,.500,3,3,1.000,0,5,5,3,1,1,1,2,21,18.6,+18
36,36,2021-03-02,20-261,NYK,@,SAS,L (-26),1,28:26,5,9,.556,1,2,.500,4,6,.667,0,2,2,2,0,0,2,4,15,8.3,-23
37,37,2021-03-04,20-263,NYK,,DET,W (+10),1,30:40,9,13,.692,1,2,.500,2,2,1.000,1,3,4,5,0,0,2,4,21,17.0,+7
38,38,2021-03-11,20-270,NYK,@,MIL,L (-33),1,28:43,9,15,.600,1,2,.500,3,4,.750,1,4,5,2,0,0,2,2,22,15.2,-27
39,39,2021-03-13,20-272,NYK,@,OKC,W (+22),1,36:12,12,21,.571,3,6,.500,5,7,.714,1,4,5,3,3,0,1,4,32,25.7,+17
40,40,2021-03-15,20-274,NYK,@,BRK,L (-5),1,35:10,6,14,.429,1,3,.333,10,10,1.000,0,6,6,4,1,1,1,2,23,20.1,-5
41,41,2021-03-16,20-275,NYK,@,PHI,L (-3),1,40:33,7,17,.412,0,1,.000,3,7,.429,1,7,8,4,1,0,2,3,17,9.7,+3
42,42,2021-03-18,20-277,NYK,,ORL,W (+1),1,41:44,7,15,.467,1,3,.333,2,3,.667,0,9,9,1,0,0,2,2,17,9.5,+2
43,43,2021-03-21,20-280,NYK,,PHI,L (-1),1,39:20,9,17,.529,0,3,.000,1,2,.500,0,8,8,4,1,0,4,2,19,11.7,+5
44,44,2021-03-23,20-282,NYK,,WAS,W (+18),1,39:08,8,18,.444,1,4,.250,4,5,.800,2,3,5,5,0,2,2,2,21,15.6,+16
45,45,2021-03-25,20-284,NYK,,WAS,W (+4),1,41:56,7,22,.318,2,6,.333,8,11,.727,3,7,10,5,3,0,3,5,24,15.9,0
46,46,2021-03-27,20-286,NYK,@,MIL,W (+6),1,38:09,8,22,.364,3,10,.300,2,2,1.000,1,6,7,7,1,0,5,1,21,11.8,-1
47,47,2021-03-29,20-288,NYK,,MIA,L (-10),1,32:21,4,12,.333,0,4,.000,0,1,.000,0,4,4,4,0,0,2,3,8,1.6,-12
