Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,24-199,ATL,@,CHO,L (-6),1,28:50,6,12,.500,1,4,.250,2,2,1.000,3,2,5,0,5,0,2,1,15,14.3,-2
2,2,2023-10-27,24-201,ATL,,NYK,L (-6),1,25:43,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,1,1,2,5,2.9,-6
3,3,2023-10-29,24-203,ATL,@,MIL,W (+17),0,30:59,4,9,.444,1,3,.333,4,5,.800,3,6,9,3,0,0,1,0,13,12.9,+23
4,4,2023-10-30,24-204,ATL,,MIN,W (+14),0,25:10,4,5,.800,3,3,1.000,0,0,,0,6,6,1,0,1,1,2,11,10.5,+17
5,5,2023-11-01,24-206,ATL,,WAS,W (+9),1,31:39,4,10,.400,2,7,.286,4,4,1.000,1,6,7,0,1,0,1,1,14,10.7,+10
6,6,2023-11-04,24-209,ATL,@,NOP,W (+18),0,26:04,5,13,.385,2,7,.286,0,0,,4,1,5,2,1,0,0,2,12,9.6,+4
7,7,2023-11-06,24-211,ATL,@,OKC,L (-9),0,26:17,6,11,.545,3,6,.500,0,0,,4,4,8,2,0,0,2,1,15,12.7,+6
8,8,2023-11-09,24-214,ATL,@,ORL,W (+1),0,28:39,1,4,.250,0,0,,0,0,,1,2,3,0,1,0,1,3,2,-0.3,-8
9,9,2023-11-11,24-216,ATL,,MIA,L (-8),0,24:25,3,9,.333,2,7,.286,0,0,,3,5,8,0,0,0,4,0,8,2.5,-10
10,10,2023-11-14,24-219,ATL,@,DET,W (+6),0,27:23,6,13,.462,2,7,.286,5,6,.833,1,3,4,2,2,1,1,0,19,16.6,+5
11,11,2023-11-15,24-220,ATL,,NYK,L (-2),0,28:26,7,10,.700,2,5,.400,0,0,,1,1,2,2,2,0,2,3,16,13.0,+20
12,12,2023-11-17,24-222,ATL,,PHI,L (-10),0,31:21,6,9,.667,2,4,.500,3,4,.750,3,4,7,1,1,0,2,1,17,15.3,-5
13,13,2023-11-21,24-226,ATL,,IND,L (-5),0,30:51,4,7,.571,2,4,.500,2,5,.400,1,9,10,2,0,0,0,0,12,12.3,+4
14,14,2023-11-22,24-227,ATL,,BRK,W (+2),0,24:54,4,8,.500,1,3,.333,3,3,1.000,0,2,2,1,2,0,2,2,12,8.5,+9
15,15,2023-11-25,24-230,ATL,@,WAS,W (+28),0,31:56,6,14,.429,0,4,.000,1,2,.500,3,6,9,1,1,0,1,1,13,9.4,+30
16,16,2023-11-26,24-231,ATL,@,BOS,L (-10),1,28:52,3,7,.429,1,5,.200,0,0,,3,5,8,1,0,0,0,3,7,6.4,-16
17,17,2023-11-28,24-233,ATL,@,CLE,L (-23),1,32:05,5,8,.625,2,4,.500,2,2,1.000,1,3,4,3,2,0,0,4,14,14.5,-22
18,18,2023-11-30,24-235,ATL,@,SAS,W (+2),1,33:58,5,8,.625,3,4,.750,0,0,,2,2,4,0,3,0,1,3,13,12.2,0
19,19,2023-12-02,24-237,ATL,@,MIL,L (-11),1,36:19,5,7,.714,4,6,.667,3,4,.750,3,6,9,1,0,0,0,2,17,17.5,-3
20,20,2023-12-06,24-241,ATL,,BRK,L (-1),1,36:44,7,13,.538,3,6,.500,4,4,1.000,4,3,7,1,1,0,3,1,21,16.7,+9
