Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2023-10-25,24-133,CHO,,ATL,W (+6),,,,,,,,,,,,,,,,,,,,,,
2,,2023-10-27,24-135,CHO,,DET,L (-12),,,,,,,,,,,,,,,,,,,,,,
3,,2023-10-30,24-138,CHO,,BRK,L (-12),,,,,,,,,,,,,,,,,,,,,,
4,,2023-11-01,24-140,CHO,@,HOU,L (-9),,,,,,,,,,,,,,,,,,,,,,
5,,2023-11-04,24-143,CHO,@,IND,W (+1),,,,,,,,,,,,,,,,,,,,,,
6,,2023-11-05,24-144,CHO,@,DAL,L (-6),,,,,,,,,,,,,,,,,,,,,,
7,1,2023-11-08,24-147,CHO,,WAS,L (-16),0,4:07,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,0,0,0,0.7,+4
8,,2023-11-10,24-149,CHO,@,WAS,W (+7),,,,,,,,,,,,,,,,,,,,,,
9,2,2023-11-12,24-151,CHO,@,NYK,L (-22),0,5:39,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,1,5,5.3,+13
10,3,2023-11-14,24-153,CHO,,MIA,L (-6),0,2:40,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-4
11,,2023-11-17,24-156,CHO,,MIL,L (-31),,,,,,,,,,,,,,,,,,,,,,
12,,2023-11-18,24-157,CHO,,NYK,L (-14),,,,,,,,,,,,,,,,,,,,,,
13,,2023-11-20,24-159,CHO,,BOS,W (+3),,,,,,,,,,,,,,,,,,,,,,
14,,2023-11-22,24-161,CHO,,WAS,W (+3),,,,,,,,,,,,,,,,,,,,,,
15,,2023-11-26,24-165,CHO,@,ORL,L (-13),,,,,,,,,,,,,,,,,,,,,,
16,4,2023-11-28,24-167,CHO,@,NYK,L (-24),0,4:51,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-1
17,,2023-11-30,24-169,CHO,@,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
18,,2023-12-02,24-171,CHO,,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
19,,2023-12-06,24-175,CHO,@,CHI,L (-11),,,,,,,,,,,,,,,,,,,,,,
20,,2023-12-08,24-177,CHO,,TOR,W (+3),,,,,,,,,,,,,,,,,,,,,,
21,,2023-12-11,24-180,CHO,,MIA,L (-2),,,,,,,,,,,,,,,,,,,,,,
22,,2023-12-13,24-182,CHO,@,MIA,L (-11),,,,,,,,,,,,,,,,,,,,,,
23,,2023-12-15,24-184,CHO,,NOP,L (-5),,,,,,,,,,,,,,,,,,,,,,
24,5,2023-12-16,24-185,CHO,,PHI,L (-53),0,7:16,1,1,1.000,0,0,,0,0,,0,1,1,2,1,1,1,0,2,4.1,-6
25,6,2023-12-18,24-187,CHO,@,TOR,L (-15),0,11:15,2,2,1.000,0,0,,0,0,,2,2,4,1,0,0,0,1,4,5.7,-12
26,7,2023-12-20,24-189,CHO,@,IND,L (-31),0,4:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
27,,2023-12-23,24-192,CHO,,DEN,L (-7),,,,,,,,,,,,,,,,,,,,,,
28,,2023-12-26,24-195,CHO,@,LAC,L (-9),,,,,,,,,,,,,,,,,,,,,,
29,,2023-12-28,24-197,CHO,@,LAL,L (-21),,,,,,,,,,,,,,,,,,,,,,
30,,2023-12-29,24-198,CHO,@,PHO,L (-14),,,,,,,,,,,,,,,,,,,,,,
31,,2024-01-01,24-201,CHO,@,DEN,L (-18),,,,,,,,,,,,,,,,,,,,,,
32,,2024-01-02,24-202,CHO,@,SAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
33,,2024-01-05,24-205,CHO,@,CHI,L (-13),,,,,,,,,,,,,,,,,,,,,,
34,,2024-01-08,24-208,CHO,,CHI,L (-7),,,,,,,,,,,,,,,,,,,,,,
