Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-191,BRK,@,BOS,L (-5),1,23:04,9,17,.529,3,8,.375,0,0,,2,3,5,0,1,0,2,2,21,13.2,+2
2,2,2016-10-28,27-193,BRK,,IND,W (+9),1,28:10,1,6,.167,0,2,.000,2,2,1.000,0,1,1,0,0,1,0,4,4,-0.4,+5
3,3,2016-10-29,27-194,BRK,@,MIL,L (-2),1,31:20,9,15,.600,2,6,.333,6,6,1.000,2,6,8,1,0,0,2,2,26,20.2,+9
4,4,2016-10-31,27-196,BRK,,CHI,L (-30),1,20:45,5,11,.455,2,4,.500,3,4,.750,2,1,3,1,0,0,1,1,15,9.9,-11
5,5,2016-11-02,27-198,BRK,,DET,W (+8),1,31:59,3,7,.429,3,7,.429,2,2,1.000,1,3,4,2,0,0,2,2,11,7.5,+3
6,6,2016-11-04,27-200,BRK,,CHO,L (-4),1,33:14,4,17,.235,2,9,.222,4,4,1.000,1,3,4,1,0,0,2,3,14,2.8,-16
7,7,2016-11-08,27-204,BRK,,MIN,W (+9),1,27:18,3,9,.333,3,8,.375,4,4,1.000,0,1,1,2,1,0,0,0,13,10.6,+21
8,8,2016-11-09,27-205,BRK,@,NYK,L (-14),1,28:48,2,9,.222,0,3,.000,2,2,1.000,0,2,2,2,3,0,1,2,6,3.7,-6
9,9,2016-11-12,27-208,BRK,@,PHO,W (+18),1,30:39,2,6,.333,1,4,.250,2,3,.667,0,5,5,2,0,0,2,0,7,4.1,+17
10,10,2016-11-14,27-210,BRK,@,LAC,L (-32),1,25:09,8,11,.727,1,3,.333,1,1,1.000,0,2,2,0,1,0,3,1,18,11.7,-12
11,11,2016-11-15,27-211,BRK,@,LAL,L (-7),1,30:23,11,18,.611,2,5,.400,5,5,1.000,0,3,3,1,2,0,2,2,29,21.6,-3
12,12,2016-11-18,27-214,BRK,@,OKC,L (-19),1,23:55,4,6,.667,1,1,1.000,4,6,.667,1,2,3,2,0,0,2,1,13,9.9,-10
13,13,2016-11-20,27-216,BRK,,POR,L (-20),1,24:08,6,11,.545,1,3,.333,2,2,1.000,0,2,2,1,0,0,0,2,15,10.2,-12
14,14,2016-11-23,27-219,BRK,,BOS,L (-19),1,28:25,6,12,.500,2,7,.286,0,0,,0,8,8,2,0,0,2,0,14,9.8,-6
15,15,2016-11-25,27-221,BRK,@,IND,L (-21),1,25:36,3,10,.300,2,5,.400,0,0,,0,3,3,1,0,0,1,0,8,2.8,-18
16,16,2016-11-27,27-223,BRK,,SAC,L (-17),1,27:55,4,9,.444,2,5,.400,3,4,.750,0,1,1,2,0,0,1,2,13,7.8,-9
17,17,2016-11-29,27-225,BRK,,LAC,W (+5),1,26:27,2,7,.286,0,3,.000,10,12,.833,0,6,6,2,0,0,3,3,14,8.1,+1
18,18,2016-12-01,27-227,BRK,,MIL,L (-18),1,26:43,5,14,.357,2,6,.333,1,1,1.000,0,3,3,1,0,0,0,2,13,6.0,-16
19,19,2016-12-03,27-229,BRK,@,MIL,L (-9),1,32:02,8,17,.471,2,4,.500,6,8,.750,1,1,2,3,0,0,3,2,24,13.8,-15
20,20,2016-12-05,27-231,BRK,,WAS,L (-5),1,28:44,5,14,.357,2,7,.286,6,8,.750,0,3,3,2,0,0,1,3,18,9.5,-21
21,21,2016-12-07,27-233,BRK,,DEN,W (+5),1,33:54,8,11,.727,1,2,.500,2,2,1.000,1,0,1,3,0,0,1,1,19,15.9,+15
22,22,2016-12-10,27-236,BRK,@,SAS,L (-29),1,26:37,7,13,.538,2,4,.500,4,5,.800,0,4,4,2,0,0,0,1,20,15.5,-23
23,23,2016-12-12,27-238,BRK,@,HOU,L (-4),1,22:12,3,8,.375,1,3,.333,0,1,.000,0,1,1,1,1,0,0,3,7,3.0,-19
24,24,2016-12-14,27-240,BRK,,LAL,W (+10),1,29:19,6,13,.462,3,7,.429,8,10,.800,1,3,4,1,1,0,2,3,23,15.6,-8
25,25,2016-12-16,27-242,BRK,@,ORL,L (-7),1,29:45,5,14,.357,3,7,.429,2,2,1.000,0,3,3,1,1,0,2,5,15,5.8,+1
26,26,2016-12-18,27-244,BRK,@,PHI,L (-1),1,25:23,5,13,.385,2,7,.286,2,2,1.000,1,5,6,2,1,0,1,0,14,10.5,-5
27,27,2016-12-20,27-246,BRK,@,TOR,L (-12),1,18:36,1,6,.167,1,4,.250,2,2,1.000,0,0,0,2,0,0,0,2,5,1.8,-10
28,28,2016-12-22,27-248,BRK,,GSW,L (-16),1,25:51,5,10,.500,2,5,.400,0,0,,1,2,3,0,0,1,3,3,12,4.8,-20
29,29,2016-12-23,27-249,BRK,@,CLE,L (-20),1,19:32,0,5,.000,0,2,.000,0,0,,0,2,2,1,0,0,2,3,0,-5.4,-15
30,30,2016-12-26,27-252,BRK,,CHO,W (+2),0,26:32,7,11,.636,4,7,.571,8,9,.889,1,3,4,2,0,0,0,1,26,23.3,+3
31,31,2016-12-28,27-254,BRK,@,CHI,L (-2),1,27:43,4,11,.364,1,4,.250,1,1,1.000,0,2,2,2,0,0,1,3,10,3.7,-3
32,32,2016-12-30,27-256,BRK,@,WAS,L (-23),1,21:07,4,10,.400,2,4,.500,2,2,1.000,1,2,3,1,1,0,0,1,12,9.2,-9
33,33,2017-01-02,27-259,BRK,,UTA,L (-12),1,25:13,4,7,.571,0,1,.000,0,0,,0,3,3,1,0,0,0,2,8,5.5,-1
34,34,2017-01-05,27-262,BRK,@,IND,L (-12),1,12:00,1,7,.143,1,4,.250,0,0,,0,1,1,2,0,0,1,0,3,-0.8,-22
35,35,2017-01-06,27-263,BRK,,CLE,L (-8),1,31:03,9,14,.643,5,9,.556,0,0,,0,2,2,4,1,0,2,5,23,17.2,+6
36,36,2017-01-08,27-265,BRK,,PHI,L (-10),1,35:29,5,14,.357,2,6,.333,0,0,,1,7,8,3,1,0,2,0,12,8.1,-14
37,37,2017-01-10,27-267,BRK,,ATL,L (-20),1,25:55,5,10,.500,3,5,.600,3,3,1.000,0,6,6,4,1,0,4,2,16,11.8,-8
38,38,2017-01-12,27-269,BRK,,NOP,L (-9),1,25:02,4,11,.364,2,7,.286,0,0,,0,3,3,2,1,0,2,1,10,4.8,-7
39,39,2017-01-13,27-270,BRK,@,TOR,L (-19),1,27:46,9,16,.563,5,8,.625,0,0,,0,4,4,2,0,0,4,2,23,13.2,-16
40,40,2017-01-15,27-272,BRK,,HOU,L (-25),1,21:48,3,8,.375,2,5,.400,0,1,.000,0,2,2,0,0,0,1,1,8,2.4,-29
41,41,2017-01-17,27-274,BRK,,TOR,L (-10),1,20:31,3,7,.429,2,5,.400,3,3,1.000,0,3,3,0,1,0,0,2,11,8.4,-24
42,42,2017-01-20,27-277,BRK,@,NOP,W (+29),1,27:18,6,13,.462,2,5,.400,9,9,1.000,1,5,6,2,1,1,2,1,23,19.2,+15
43,43,2017-01-21,27-278,BRK,@,CHO,L (-7),1,28:29,4,12,.333,4,8,.500,4,4,1.000,0,3,3,3,0,0,2,0,16,10.2,+6
44,44,2017-01-23,27-280,BRK,,SAS,L (-26),1,22:54,2,8,.250,1,3,.333,0,0,,0,3,3,2,0,0,2,2,5,-0.3,-3
45,45,2017-01-25,27-282,BRK,,MIA,L (-3),1,26:11,5,11,.455,1,3,.333,6,6,1.000,0,5,5,2,2,0,3,2,17,12.4,+10
46,46,2017-01-27,27-284,BRK,@,CLE,L (-8),1,30:06,7,13,.538,1,6,.167,2,2,1.000,0,2,2,3,1,0,2,2,17,11.6,-17
47,47,2017-01-28,27-285,BRK,@,MIN,L (-20),1,24:28,4,12,.333,0,1,.000,2,3,.667,0,1,1,2,0,0,2,1,10,2.1,-12
48,48,2017-01-30,27-287,BRK,@,MIA,L (-8),1,31:13,6,13,.462,1,4,.250,3,3,1.000,0,6,6,1,0,0,3,2,16,8.0,-15
49,49,2017-02-01,27-289,BRK,,NYK,L (-5),1,29:24,6,10,.600,1,5,.200,2,4,.500,1,6,7,0,0,0,3,3,15,7.9,+7
50,,2017-02-03,27-291,BRK,,IND,L (-9),,,,,,,,,,,,,,,,,,,,,,
51,50,2017-02-05,27-293,BRK,,TOR,L (-8),1,27:13,4,11,.364,3,8,.375,2,2,1.000,0,3,3,2,0,0,5,0,13,4.2,-6
52,51,2017-02-07,27-295,BRK,@,CHO,L (-4),1,30:15,8,15,.533,3,8,.375,3,3,1.000,0,5,5,1,0,0,3,1,22,13.5,-1
53,52,2017-02-08,27-296,BRK,,WAS,L (-4),1,33:38,6,18,.333,2,9,.222,7,7,1.000,2,3,5,4,2,0,1,4,21,15.3,+4
54,53,2017-02-10,27-298,BRK,,MIA,L (-9),1,28:58,4,12,.333,2,5,.400,0,0,,0,6,6,0,0,0,2,2,10,2.2,+1
55,54,2017-02-13,27-301,BRK,,MEM,L (-9),1,25:22,3,6,.500,0,2,.000,5,6,.833,1,4,5,2,0,0,2,2,11,8.1,+1
56,55,2017-02-15,27-303,BRK,,MIL,L (-4),1,30:48,6,12,.500,1,4,.250,1,1,1.000,1,5,6,2,0,0,3,2,14,7.8,+13
57,56,2017-02-24,27-312,WAS,@,PHI,L (-8),0,17:33,1,5,.200,0,3,.000,0,0,,0,4,4,1,1,1,1,1,2,1.1,-14
58,57,2017-02-26,27-314,WAS,,UTA,L (-10),0,33:09,5,10,.500,3,6,.500,2,2,1.000,0,1,1,1,1,1,2,3,15,9.5,-4
59,58,2017-02-28,27-316,WAS,,GSW,W (+4),0,23:39,5,12,.417,3,6,.500,3,3,1.000,2,0,2,0,1,0,1,1,16,10.6,-5
60,59,2017-03-01,27-317,WAS,@,TOR,W (+9),0,25:08,9,12,.750,6,7,.857,3,3,1.000,0,2,2,0,0,0,2,2,27,20.0,+14
61,60,2017-03-03,27-319,WAS,,TOR,L (-8),0,20:18,1,5,.200,0,2,.000,4,4,1.000,0,1,1,1,0,0,0,1,6,3.5,-23
62,61,2017-03-05,27-321,WAS,,ORL,W (+1),0,27:27,9,12,.750,8,10,.800,1,1,1.000,1,1,2,1,0,0,1,2,27,22.1,+5
