Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,23-213,CHO,,IND,W (+1),1,32:57,4,8,.500,1,4,.250,4,4,1.000,1,7,8,4,3,1,3,4,13,13.7,+15
2,2,2021-10-22,23-215,CHO,@,CLE,W (+11),1,34:47,13,24,.542,4,9,.444,0,0,,3,4,7,0,3,0,1,1,30,23.3,+8
3,3,2021-10-24,23-217,CHO,@,BRK,W (+16),1,35:12,9,16,.563,3,5,.600,11,12,.917,4,5,9,2,2,1,0,2,32,31.6,+20
4,4,2021-10-25,23-218,CHO,,BOS,L (-11),1,38:16,11,22,.500,2,10,.200,1,1,1.000,2,8,10,3,1,0,2,5,25,16.9,-10
5,5,2021-10-27,23-220,CHO,@,ORL,W (+9),1,35:03,11,21,.524,5,10,.500,4,5,.800,1,5,6,0,0,1,3,2,31,19.4,-8
6,6,2021-10-29,23-222,CHO,@,MIA,L (-15),1,37:24,9,21,.429,2,9,.222,2,3,.667,1,7,8,1,2,1,4,3,22,11.5,-6
7,7,2021-10-31,23-224,CHO,,POR,W (+12),1,34:22,6,12,.500,3,7,.429,4,5,.800,0,6,6,9,0,1,0,4,19,19.8,+22
8,8,2021-11-01,23-225,CHO,,CLE,L (-3),1,35:57,4,18,.222,1,7,.143,4,4,1.000,2,7,9,8,3,2,3,2,13,11.7,+5
9,9,2021-11-03,23-227,CHO,@,GSW,L (-22),1,37:35,12,22,.545,5,9,.556,3,4,.750,1,8,9,2,2,2,0,1,32,28.5,-9
10,10,2021-11-05,23-229,CHO,@,SAC,L (-30),1,37:06,4,14,.286,1,5,.200,1,5,.200,1,4,5,2,1,0,0,3,10,3.3,-30
11,11,2021-11-07,23-231,CHO,@,LAC,L (-14),1,36:41,7,19,.368,2,6,.333,5,6,.833,1,3,4,6,2,1,0,4,21,17.0,-10
12,12,2021-11-08,23-232,CHO,@,LAL,L (-3),1,43:13,6,18,.333,3,11,.273,4,6,.667,2,6,8,2,2,0,4,2,19,9.8,+12
13,13,2021-11-10,23-234,CHO,@,MEM,W (+10),1,31:55,3,11,.273,1,4,.250,3,4,.750,2,7,9,6,2,1,2,0,10,11.5,+12
