Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2011-12-25,22-102,CHI,@,LAL,W (+1),,,,,,,,,,,,,,,,,,,,,,
2,,2011-12-26,22-103,CHI,@,GSW,L (-8),,,,,,,,,,,,,,,,,,,,,,
3,,2011-12-29,22-106,CHI,@,SAC,W (+10),,,,,,,,,,,,,,,,,,,,,,
4,,2011-12-30,22-107,CHI,@,LAC,W (+13),,,,,,,,,,,,,,,,,,,,,,
5,1,2012-01-01,22-109,CHI,,MEM,W (+40),0,5:36,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,-4
6,2,2012-01-03,22-111,CHI,,ATL,W (+2),0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,3,2012-01-04,22-112,CHI,@,DET,W (+16),0,0:51,0,0,,0,0,,2,2,1.000,0,1,1,0,0,1,0,0,2,3.0,0
8,,2012-01-06,22-114,CHI,@,ORL,W (+14),,,,,,,,,,,,,,,,,,,,,,
9,4,2012-01-07,22-115,CHI,@,ATL,L (-15),0,12:00,3,3,1.000,0,0,,6,6,1.000,2,1,3,0,0,0,0,0,12,12.8,+8
10,5,2012-01-09,22-117,CHI,,DET,W (+24),0,2:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
11,,2012-01-10,22-118,CHI,@,MIN,W (+11),,,,,,,,,,,,,,,,,,,,,,
12,6,2012-01-11,22-119,CHI,,WAS,W (+14),0,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,,2012-01-13,22-121,CHI,@,BOS,W (+9),,,,,,,,,,,,,,,,,,,,,,
14,,2012-01-14,22-122,CHI,,TOR,W (+13),,,,,,,,,,,,,,,,,,,,,,
15,7,2012-01-16,22-124,CHI,@,MEM,L (-16),0,3:18,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,+3
16,8,2012-01-17,22-125,CHI,,PHO,W (+21),0,4:02,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-1
17,9,2012-01-20,22-128,CHI,@,CLE,W (+39),0,4:44,0,0,,0,0,,0,0,,0,1,1,0,0,2,1,1,0,0.3,+2
18,,2012-01-21,22-129,CHI,,CHA,W (+6),,,,,,,,,,,,,,,,,,,,,,
19,,2012-01-23,22-131,CHI,,NJN,W (+15),,,,,,,,,,,,,,,,,,,,,,
20,10,2012-01-25,22-133,CHI,,IND,L (-5),0,6:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-0.3,-5
21,11,2012-01-27,22-135,CHI,,MIL,W (+7),0,9:23,0,2,.000,0,0,,2,2,1.000,1,0,1,0,1,0,0,2,2,1.5,-2
22,,2012-01-29,22-137,CHI,@,MIA,L (-4),,,,,,,,,,,,,,,,,,,,,,
23,12,2012-01-30,22-138,CHI,@,WAS,W (+10),0,12:54,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,1,0,2,1.3,-9
24,13,2012-02-01,22-140,CHI,@,PHI,L (-16),0,19:21,1,3,.333,1,2,.500,2,4,.500,2,2,4,2,0,0,1,1,5,4.5,+2
25,14,2012-02-02,22-141,CHI,@,NYK,W (+3),0,20:43,2,5,.400,0,0,,3,4,.750,1,0,1,1,2,1,0,4,7,6.4,-1
26,15,2012-02-04,22-143,CHI,@,MIL,W (+23),0,9:26,1,1,1.000,0,0,,0,0,,0,3,3,1,1,0,0,0,2,4.3,+8
27,16,2012-02-06,22-145,CHI,@,NJN,W (+21),0,2:52,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-2
28,17,2012-02-08,22-147,CHI,@,NOH,W (+23),0,7:54,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
29,18,2012-02-10,22-149,CHI,@,CHA,W (+31),0,17:33,0,2,.000,0,0,,4,4,1.000,0,2,2,0,2,0,1,1,4,3.8,+4
30,,2012-02-12,22-151,CHI,@,BOS,L (-4),,,,,,,,,,,,,,,,,,,,,,
31,,2012-02-14,22-153,CHI,,SAC,W (+6),,,,,,,,,,,,,,,,,,,,,,
32,,2012-02-16,22-155,CHI,,BOS,W (+9),,,,,,,,,,,,,,,,,,,,,,
33,19,2012-02-18,22-157,CHI,,NJN,L (-12),0,5:06,1,2,.500,0,0,,1,2,.500,2,0,2,0,0,0,0,0,3,3.0,+2
34,,2012-02-20,22-159,CHI,,ATL,W (+11),,,,,,,,,,,,,,,,,,,,,,
35,20,2012-02-22,22-161,CHI,,MIL,W (+19),0,3:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
36,,2012-02-28,22-167,CHI,,NOH,W (+4),,,,,,,,,,,,,,,,,,,,,,
37,,2012-02-29,22-168,CHI,@,SAS,W (+7),,,,,,,,,,,,,,,,,,,,,,
38,21,2012-03-02,22-170,CHI,@,CLE,W (+21),0,4:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
39,,2012-03-04,22-172,CHI,@,PHI,W (+5),,,,,,,,,,,,,,,,,,,,,,
40,22,2012-03-05,22-173,CHI,,IND,W (+20),0,0:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+2
41,,2012-03-07,22-175,CHI,@,MIL,W (+2),,,,,,,,,,,,,,,,,,,,,,
42,23,2012-03-08,22-176,CHI,,ORL,L (-5),0,8:43,1,2,.500,0,1,.000,3,4,.750,1,2,3,2,0,0,1,2,5,4.5,+4
43,24,2012-03-10,22-178,CHI,,UTA,W (+14),0,27:45,2,4,.500,0,0,,4,6,.667,3,2,5,1,0,0,1,1,8,7.2,+11
44,25,2012-03-12,22-180,CHI,,NYK,W (+5),0,28:56,3,7,.429,0,2,.000,2,3,.667,2,0,2,1,1,0,0,0,8,7.0,-1
