Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2023-10-25,22-118,SAS,,DAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
2,,2023-10-27,22-120,SAS,,HOU,W (+4),,,,,,,,,,,,,,,,,,,,,,
3,1,2023-10-29,22-122,SAS,@,LAC,L (-40),0,6:55,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,1,1,0,3,0.9,-13
4,2,2023-10-31,22-124,SAS,@,PHO,W (+1),0,3:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
5,,2023-11-02,22-126,SAS,@,PHO,W (+11),,,,,,,,,,,,,,,,,,,,,,
6,3,2023-11-05,22-129,SAS,,TOR,L (-7),0,6:37,1,3,.333,0,2,.000,0,0,,0,0,0,0,1,0,1,0,2,0.3,-1
7,4,2023-11-06,22-130,SAS,@,IND,L (-41),0,16:35,2,8,.250,0,3,.000,0,0,,0,2,2,0,0,2,1,0,4,0.2,-15
8,5,2023-11-08,22-132,SAS,@,NYK,L (-21),0,3:06,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0
9,,2023-11-10,22-134,SAS,,MIN,L (-7),,,,,,,,,,,,,,,,,,,,,,
10,,2023-11-12,22-136,SAS,,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
11,6,2023-11-14,22-138,SAS,@,OKC,L (-36),1,30:44,4,14,.286,3,7,.429,2,2,1.000,1,2,3,3,4,3,2,0,13,12.3,-21
12,7,2023-11-17,22-141,SAS,,SAC,L (-9),1,25:18,2,5,.400,2,4,.500,3,4,.750,1,1,2,3,0,1,2,3,9,6.5,-9
13,8,2023-11-18,22-142,SAS,,MEM,L (-12),1,20:00,2,6,.333,2,6,.333,0,0,,0,2,2,2,0,0,1,0,6,3.6,+6
14,9,2023-11-20,22-144,SAS,,LAC,L (-25),1,22:49,2,7,.286,1,5,.200,0,0,,1,3,4,1,1,1,1,2,5,3.1,-11
15,,2023-11-22,22-146,SAS,,LAC,L (-7),,,,,,,,,,,,,,,,,,,,,,
16,,2023-11-24,22-148,SAS,@,GSW,L (-6),,,,,,,,,,,,,,,,,,,,,,
17,10,2023-11-26,22-150,SAS,@,DEN,L (-12),0,16:48,4,8,.500,3,6,.500,2,4,.500,0,1,1,1,0,1,0,1,13,9.5,+2
18,11,2023-11-30,22-154,SAS,,ATL,L (-2),0,20:07,5,8,.625,5,8,.625,0,0,,1,2,3,0,0,0,1,2,15,10.9,-6
19,12,2023-12-01,22-155,SAS,@,NOP,L (-15),1,22:14,4,7,.571,3,6,.500,1,1,1.000,1,4,5,3,0,0,3,3,12,8.5,-7
20,13,2023-12-06,22-160,SAS,@,MIN,L (-8),0,3:47,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
21,14,2023-12-08,22-162,SAS,,CHI,L (-9),0,5:54,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-0.5,-12
