Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,23-229,NOP,,DEN,L (-5),1,41:14,17,34,.500,0,2,.000,16,17,.941,1,14,15,5,5,4,3,4,50,44.2,-3
2,2,2016-10-28,23-231,NOP,,GSW,L (-8),1,39:58,17,31,.548,1,2,.500,10,14,.714,6,11,17,3,2,2,1,2,45,39.7,-3
3,3,2016-10-29,23-232,NOP,@,SAS,L (-19),1,31:35,6,15,.400,0,0,,6,8,.750,0,5,5,0,0,3,1,1,18,11.3,-17
4,4,2016-11-01,23-235,NOP,,MIL,L (-4),1,37:10,9,21,.429,0,3,.000,17,18,.944,3,12,15,2,3,3,1,2,35,33.9,+3
5,5,2016-11-02,23-236,NOP,@,MEM,L (-6),1,35:40,3,13,.231,1,4,.250,3,5,.600,1,6,7,1,2,3,5,5,10,1.6,-23
6,6,2016-11-04,23-238,NOP,,PHO,L (-1),1,42:33,7,11,.636,0,1,.000,8,12,.667,1,9,10,2,1,4,1,1,22,22.7,-6
7,7,2016-11-07,23-241,NOP,@,GSW,L (-10),1,35:00,11,18,.611,1,2,.500,10,13,.769,1,12,13,1,0,0,3,1,33,25.2,-6
8,8,2016-11-08,23-242,NOP,@,SAC,L (-8),1,36:37,14,22,.636,0,2,.000,6,7,.857,1,7,8,1,2,4,3,2,34,28.3,-4
9,9,2016-11-10,23-244,NOP,@,MIL,W (+6),1,41:27,11,24,.458,0,0,,8,8,1.000,3,5,8,2,2,4,2,3,30,24.2,+7
10,10,2016-11-12,23-246,NOP,,LAL,L (-27),1,34:51,13,26,.500,0,2,.000,8,11,.727,1,7,8,2,0,2,1,0,34,24.4,-10
11,11,2016-11-14,23-248,NOP,,BOS,W (+1),1,38:20,7,22,.318,0,1,.000,11,13,.846,1,15,16,0,4,2,7,2,25,14.4,0
12,,2016-11-16,23-250,NOP,@,ORL,L (-7),,,,,,,,,,,,,,,,,,,,,,
13,12,2016-11-18,23-252,NOP,,POR,W (+12),1,36:41,14,22,.636,2,5,.400,8,10,.800,0,9,9,6,2,4,2,2,38,36.3,+16
14,13,2016-11-19,23-253,NOP,,CHO,W (+5),1,42:19,15,27,.556,2,5,.400,6,8,.750,2,14,16,2,1,3,2,3,38,31.2,+7
15,14,2016-11-22,23-256,NOP,@,ATL,W (+18),1,18:31,6,12,.500,0,1,.000,1,1,1.000,2,1,3,1,1,3,2,1,13,10.1,+13
16,15,2016-11-23,23-257,NOP,,MIN,W (+21),1,38:31,17,27,.630,2,4,.500,9,10,.900,1,9,10,3,2,1,4,1,45,36.3,+33
17,16,2016-11-25,23-259,NOP,@,POR,L (-15),1,42:39,10,17,.588,2,4,.500,9,13,.692,0,13,13,2,0,5,1,1,31,28.9,-16
18,17,2016-11-27,23-261,NOP,@,DAL,L (-10),1,40:15,12,22,.545,0,1,.000,12,14,.857,3,10,13,3,1,1,2,3,36,30.3,-19
19,18,2016-11-29,23-263,NOP,,LAL,W (+17),1,41:18,14,27,.519,1,4,.250,12,14,.857,6,10,16,3,4,2,1,4,41,39.0,+19
20,19,2016-12-02,23-266,NOP,,LAC,L (-18),1,32:03,8,17,.471,0,0,,5,6,.833,2,3,5,4,1,1,2,2,21,15.9,-7
21,20,2016-12-04,23-268,NOP,@,OKC,L (-9),1,43:20,14,32,.438,0,1,.000,9,11,.818,5,10,15,2,2,4,3,3,37,27.9,-10
22,21,2016-12-05,23-269,NOP,,MEM,L (-2),1,48:29,10,27,.370,1,4,.250,7,7,1.000,0,16,16,1,1,4,1,1,28,21.0,-5
23,22,2016-12-08,23-272,NOP,,PHI,L (-11),1,40:33,8,21,.381,0,2,.000,10,12,.833,1,10,11,2,0,2,3,1,26,16.8,-10
24,,2016-12-10,23-274,NOP,@,LAC,L (-28),,,,,,,,,,,,,,,,,,,,,,
25,23,2016-12-11,23-275,NOP,@,PHO,W (+1),1,44:11,4,17,.235,0,3,.000,6,6,1.000,3,9,12,4,1,2,3,4,14,9.1,-7
26,24,2016-12-13,23-277,NOP,,GSW,L (-4),1,36:12,10,14,.714,1,1,1.000,7,8,.875,0,8,8,3,2,5,6,2,28,25.0,-8
27,25,2016-12-15,23-279,NOP,,IND,W (+7),1,39:07,11,23,.478,2,3,.667,11,15,.733,1,14,15,0,0,5,4,2,35,25.3,+14
28,26,2016-12-16,23-280,NOP,@,HOU,L (-22),1,22:38,9,17,.529,0,1,.000,1,3,.333,1,4,5,3,0,0,1,0,19,12.9,-15
29,27,2016-12-18,23-282,NOP,@,SAS,L (-13),1,29:41,5,12,.417,0,0,,2,4,.500,2,2,4,1,0,1,3,4,12,3.6,-23
30,28,2016-12-20,23-284,NOP,@,PHI,W (+15),1,35:13,12,30,.400,0,1,.000,7,10,.700,5,11,16,2,0,2,1,2,31,21.4,+11
31,29,2016-12-21,23-285,NOP,,OKC,L (-11),1,35:46,14,26,.538,1,2,.500,5,7,.714,2,12,14,2,1,2,2,5,34,25.4,+6
32,30,2016-12-23,23-287,NOP,,MIA,W (+4),1,36:52,10,17,.588,2,3,.667,6,9,.667,7,15,22,1,1,4,3,3,28,28.6,+4
33,31,2016-12-26,23-290,NOP,,DAL,W (+7),1,36:37,8,14,.571,0,1,.000,12,14,.857,5,11,16,4,0,2,6,4,28,24.0,+7
34,32,2016-12-28,23-292,NOP,,LAC,W (+4),1,37:04,8,16,.500,0,2,.000,4,8,.500,1,4,5,1,4,1,0,4,20,16.1,+4
35,33,2016-12-30,23-294,NOP,,NYK,W (+12),1,34:28,9,18,.500,0,0,,5,6,.833,1,17,18,2,2,0,5,3,23,16.6,+12
36,34,2017-01-02,23-297,NOP,@,CLE,L (-8),1,40:22,10,27,.370,0,1,.000,0,2,.000,6,10,16,2,1,3,3,2,20,12.2,+3
37,35,2017-01-05,23-300,NOP,,ATL,L (-5),1,36:52,7,20,.350,0,0,,6,8,.750,7,11,18,3,2,0,3,5,20,15.3,-1
38,36,2017-01-07,23-302,NOP,@,BOS,L (-9),1,38:09,14,21,.667,1,1,1.000,7,9,.778,3,13,16,2,0,2,3,0,36,31.9,-6
39,37,2017-01-09,23-304,NOP,@,NYK,W (+14),1,28:58,14,22,.636,1,1,1.000,11,12,.917,4,14,18,2,0,3,0,2,40,39.5,+26
40,,2017-01-12,23-307,NOP,@,BRK,W (+9),,,,,,,,,,,,,,,,,,,,,,
