Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2019-10-23,21-022,CHI,@,CHO,L (-1),,,,,,,,,,,,,,,,,,,,,,
2,,2019-10-25,21-024,CHI,@,MEM,W (+8),,,,,,,,,,,,,,,,,,,,,,
3,1,2019-10-26,21-025,CHI,,TOR,L (-24),0,2:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3
4,,2019-10-28,21-027,CHI,@,NYK,L (-7),,,,,,,,,,,,,,,,,,,,,,
5,,2019-10-30,21-029,CHI,@,CLE,L (-6),,,,,,,,,,,,,,,,,,,,,,
6,,2019-11-01,21-031,CHI,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
7,,2019-11-03,21-033,CHI,@,IND,L (-13),,,,,,,,,,,,,,,,,,,,,,
8,,2019-11-05,21-035,CHI,,LAL,L (-6),,,,,,,,,,,,,,,,,,,,,,
9,2,2019-11-06,21-036,CHI,@,ATL,W (+20),0,3:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6
10,3,2019-11-09,21-039,CHI,,HOU,L (-23),0,4:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
11,4,2019-11-12,21-042,CHI,,NYK,W (+18),0,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
12,,2019-11-14,21-044,CHI,@,MIL,L (-9),,,,,,,,,,,,,,,,,,,,,,
13,,2019-11-16,21-046,CHI,,BRK,L (-6),,,,,,,,,,,,,,,,,,,,,,
14,5,2019-11-18,21-048,CHI,,MIL,L (-14),0,20:28,10,12,.833,0,0,,1,2,.500,4,1,5,1,0,2,0,3,21,20.2,-4
15,6,2019-11-20,21-050,CHI,,DET,W (+20),0,14:52,1,4,.250,0,0,,0,0,,2,1,3,0,0,2,1,4,2,0.1,-1
16,7,2019-11-22,21-052,CHI,,MIA,L (-8),0,14:51,3,3,1.000,0,0,,0,2,.000,2,1,3,0,0,2,0,3,6,6.2,+3
17,8,2019-11-23,21-053,CHI,@,CHO,W (+1),0,13:36,0,3,.000,0,0,,2,4,.500,1,2,3,0,0,0,0,1,2,0.0,-6
18,9,2019-11-25,21-055,CHI,,POR,L (-23),0,15:32,2,3,.667,0,0,,2,2,1.000,1,2,3,0,0,0,0,2,6,5.2,-4
19,10,2019-11-27,21-057,CHI,@,GSW,L (-14),0,8:39,1,1,1.000,0,0,,0,2,.000,1,2,3,0,0,0,0,0,2,2.2,-4
20,11,2019-11-29,21-059,CHI,@,POR,L (-4),0,7:54,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,0,4,4.4,-1
21,12,2019-12-02,21-062,CHI,@,SAC,W (+7),0,10:37,3,3,1.000,0,0,,1,3,.333,0,0,0,0,0,0,0,1,7,4.9,+10
22,13,2019-12-04,21-064,CHI,,MEM,W (+7),0,15:24,1,1,1.000,0,0,,2,4,.500,1,1,2,0,0,4,0,2,4,5.9,+1
23,14,2019-12-06,21-066,CHI,,GSW,L (-2),0,13:02,3,3,1.000,0,0,,0,0,,1,2,3,0,0,0,1,2,6,4.6,-7
24,15,2019-12-08,21-068,CHI,@,MIA,L (-5),0,2:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,-3
25,16,2019-12-09,21-069,CHI,,TOR,L (-1),0,19:44,7,9,.778,0,0,,0,0,,1,2,3,1,1,3,0,0,14,15.6,+14
26,17,2019-12-11,21-071,CHI,,ATL,W (+34),0,10:25,2,3,.667,0,0,,0,0,,0,0,0,2,0,1,1,6,4,1.4,+3
27,18,2019-12-13,21-073,CHI,,CHO,L (-10),0,20:18,2,3,.667,0,0,,0,0,,0,2,2,0,0,6,0,2,4,6.7,+10
28,,2019-12-14,21-074,CHI,,LAC,W (+3),,,,,,,,,,,,,,,,,,,,,,
29,19,2019-12-16,21-076,CHI,@,OKC,L (-3),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
30,20,2019-12-18,21-078,CHI,@,WAS,W (+1),0,10:50,1,1,1.000,0,0,,0,0,,0,1,1,1,0,1,0,2,2,2.6,-6
31,21,2019-12-21,21-081,CHI,@,DET,W (+12),0,13:24,1,3,.333,0,0,,2,2,1.000,2,2,4,0,0,2,1,3,4,3.5,-4
32,22,2019-12-23,21-083,CHI,@,ORL,L (-8),0,14:46,2,2,1.000,0,0,,1,2,.500,2,0,2,1,0,2,1,2,5,5.7,-6
33,23,2019-12-28,21-088,CHI,,ATL,W (+35),0,16:46,3,5,.600,0,0,,0,0,,2,2,4,0,0,2,2,2,6,4.3,+4
34,24,2019-12-30,21-090,CHI,,MIL,L (-21),0,17:07,4,7,.571,0,0,,0,1,.000,3,1,4,2,2,1,0,0,8,10.8,-2
35,25,2020-01-02,21-093,CHI,,UTA,L (-4),0,12:05,2,5,.400,0,0,,1,2,.500,1,2,3,1,0,2,1,1,5,3.9,-13
36,26,2020-01-04,21-095,CHI,,BOS,L (-7),0,12:27,0,2,.000,0,0,,0,0,,2,1,3,1,1,3,2,5,0,0.1,+2
37,27,2020-01-06,21-097,CHI,@,DAL,L (-8),0,24:51,6,6,1.000,0,0,,1,2,.500,3,5,8,0,0,2,0,1,13,15.4,0
38,28,2020-01-08,21-099,CHI,@,NOP,L (-15),0,16:00,0,2,.000,0,0,,0,0,,2,2,4,0,1,2,2,1,0,0.6,-8
39,29,2020-01-10,21-101,CHI,,IND,L (-11),1,27:21,0,2,.000,0,0,,2,4,.500,0,2,2,1,2,1,0,2,2,3.0,-7
40,30,2020-01-11,21-102,CHI,@,DET,W (+9),1,22:53,7,9,.778,0,0,,0,0,,5,2,7,2,1,1,3,6,14,12.3,-12
41,31,2020-01-13,21-104,CHI,@,BOS,L (-12),1,20:24,4,5,.800,0,0,,2,2,1.000,2,1,3,1,0,2,0,4,10,10.3,+8
42,32,2020-01-15,21-106,CHI,,WAS,W (+9),1,1:21,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,-1
43,,2020-01-17,21-108,CHI,@,PHI,L (-11),,,,,,,,,,,,,,,,,,,,,,
44,,2020-01-18,21-109,CHI,,CLE,W (+2),,,,,,,,,,,,,,,,,,,,,,
45,,2020-01-20,21-111,CHI,@,MIL,L (-13),,,,,,,,,,,,,,,,,,,,,,
46,,2020-01-22,21-113,CHI,,MIN,W (+7),,,,,,,,,,,,,,,,,,,,,,
47,,2020-01-24,21-115,CHI,,SAC,L (-17),,,,,,,,,,,,,,,,,,,,,,
48,,2020-01-25,21-116,CHI,@,CLE,W (+12),,,,,,,,,,,,,,,,,,,,,,
49,,2020-01-27,21-118,CHI,,SAS,W (+1),,,,,,,,,,,,,,,,,,,,,,
50,,2020-01-29,21-120,CHI,@,IND,L (-9),,,,,,,,,,,,,,,,,,,,,,
51,,2020-01-31,21-122,CHI,@,BRK,L (-15),,,,,,,,,,,,,,,,,,,,,,
52,33,2020-02-02,21-124,CHI,@,TOR,L (-27),0,9:04,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,3,0,1,-2.4,-1
53,,2020-02-06,21-128,CHI,,NOP,L (-6),,,,,,,,,,,,,,,,,,,,,,
54,,2020-02-09,21-131,CHI,@,PHI,L (-7),,,,,,,,,,,,,,,,,,,,,,
55,,2020-02-11,21-133,CHI,@,WAS,L (-12),,,,,,,,,,,,,,,,,,,,,,
56,34,2020-02-20,21-142,CHI,,CHO,L (-10),0,16:23,2,3,.667,0,0,,1,2,.500,1,3,4,1,1,0,2,6,5,2.2,-5
57,35,2020-02-22,21-144,CHI,,PHO,L (-8),1,25:22,2,2,1.000,0,0,,3,4,.750,2,3,5,1,2,2,0,4,7,10.8,+1
58,36,2020-02-23,21-145,CHI,,WAS,W (+9),1,21:42,5,6,.833,0,0,,0,4,.000,1,1,2,0,0,2,3,5,10,3.6,-9
59,37,2020-02-25,21-147,CHI,,OKC,L (-2),1,14:22,3,4,.750,0,0,,0,0,,2,2,4,0,0,1,0,3,6,5.9,+7
60,38,2020-02-29,21-151,CHI,@,NYK,L (-10),0,19:25,5,6,.833,0,0,,2,4,.500,2,0,2,0,1,2,1,5,12,9.8,+11
