Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,26-177,IND,,DAL,W (+9),1,42:46,7,14,.500,4,5,.800,7,8,.875,0,8,8,6,0,0,2,2,25,21.4,+24
2,2,2016-10-28,26-179,IND,@,BRK,L (-9),1,36:07,8,22,.364,2,8,.250,4,4,1.000,1,8,9,2,2,0,1,2,22,14.5,-4
3,3,2016-10-29,26-180,IND,@,CHI,L (-17),1,23:37,8,12,.667,4,5,.800,0,0,,0,1,1,3,1,0,3,4,20,13.6,-6
4,4,2016-11-01,26-183,IND,,LAL,W (+7),1,37:15,8,16,.500,2,5,.400,12,12,1.000,2,5,7,1,4,1,6,2,30,23.5,+10
5,5,2016-11-03,26-185,IND,@,MIL,L (-18),1,37:19,9,20,.450,4,8,.500,1,3,.333,1,4,5,1,1,3,6,3,23,10.3,-17
6,6,2016-11-05,26-187,IND,,CHI,W (+17),1,28:48,5,10,.500,3,5,.600,0,0,,2,4,6,3,2,0,1,3,13,12.5,+11
7,7,2016-11-07,26-189,IND,@,CHO,L (-22),1,32:57,4,12,.333,1,6,.167,1,1,1.000,2,5,7,6,2,0,5,2,10,6.5,-14
8,8,2016-11-09,26-191,IND,,PHI,W (+7),1,31:39,13,22,.591,2,7,.286,0,0,,1,6,7,3,1,0,5,3,28,17.2,+11
9,9,2016-11-11,26-193,IND,@,PHI,L (-4),1,40:29,9,20,.450,1,4,.250,7,7,1.000,3,5,8,4,2,0,1,5,26,21.0,-17
10,,2016-11-12,26-194,IND,,BOS,L (-6),,,,,,,,,,,,,,,,,,,,,,
11,10,2016-11-14,26-196,IND,,ORL,W (+19),1,34:10,5,16,.313,1,5,.200,2,2,1.000,1,5,6,5,2,1,2,1,13,9.8,+10
12,11,2016-11-16,26-198,IND,,CLE,W (+10),1,36:44,8,18,.444,3,9,.333,2,2,1.000,0,11,11,5,2,1,3,1,21,17.7,+24
13,,2016-11-18,26-200,IND,,PHO,L (-20),,,,,,,,,,,,,,,,,,,,,,
14,,2016-11-20,26-202,IND,@,OKC,W (+4),,,,,,,,,,,,,,,,,,,,,,
