Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-10-31,22-241,GSW,@,PHO,W (+2),0,1:15,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3
2,2,2012-11-02,22-243,GSW,,MEM,L (-10),0,1:39,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-2
3,3,2012-11-03,22-244,GSW,@,LAC,W (+4),0,5:24,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.2,0
4,4,2012-11-05,22-246,GSW,@,SAC,L (-2),0,3:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,+3
5,5,2012-11-07,22-248,GSW,,CLE,W (+10),0,7:34,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,1,0,-1.1,+4
6,6,2012-11-09,22-250,GSW,@,LAL,L (-24),0,13:05,0,2,.000,0,1,.000,1,2,.500,1,1,2,0,1,0,1,3,1,-1.0,-6
7,7,2012-11-10,22-251,GSW,,DEN,L (-6),0,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-12
8,8,2012-11-14,22-255,GSW,,ATL,W (+4),0,9:37,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,1,0,0,5,5.1,+2
9,9,2012-11-16,22-257,GSW,@,MIN,W (+8),0,10:40,0,1,.000,0,1,.000,3,4,.750,2,2,4,2,0,0,0,3,3,4.1,0
10,10,2012-11-18,22-259,GSW,@,OKC,L (-10),0,25:00,4,6,.667,1,2,.500,0,0,,0,5,5,0,1,0,2,5,9,4.9,+8
11,11,2012-11-19,22-260,GSW,@,DAL,W (+4),0,25:31,2,4,.500,1,2,.500,4,4,1.000,0,7,7,1,3,0,1,4,9,10.2,+5
12,12,2012-11-21,22-262,GSW,,BRK,W (+9),0,14:02,1,2,.500,1,2,.500,0,0,,0,4,4,0,1,0,0,1,3,3.8,+1
13,13,2012-11-23,22-264,GSW,@,DEN,L (-11),0,21:13,0,3,.000,0,1,.000,0,0,,0,6,6,1,0,0,1,5,0,-2.6,0
14,14,2012-11-24,22-265,GSW,,MIN,W (+11),0,16:56,2,6,.333,0,0,,0,0,,2,4,6,1,0,0,0,3,4,2.7,+4
15,15,2012-11-29,22-270,GSW,,DEN,W (+1),0,16:06,1,3,.333,0,1,.000,0,0,,1,2,3,1,0,0,0,2,2,1.5,+5
16,16,2012-12-01,22-272,GSW,,IND,W (+11),0,11:06,1,3,.333,0,1,.000,0,0,,1,0,1,0,1,0,0,2,2,1.2,+5
17,17,2012-12-03,22-274,GSW,,ORL,L (-8),0,10:04,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-0.3,-8
18,18,2012-12-05,22-276,GSW,@,DET,W (+7),0,11:38,1,4,.250,0,2,.000,0,0,,0,1,1,0,1,3,0,2,2,2.2,-4
19,19,2012-12-07,22-278,GSW,@,BRK,W (+7),0,27:45,3,9,.333,0,1,.000,0,0,,4,6,10,3,3,0,2,3,6,7.4,+17
20,20,2012-12-08,22-279,GSW,@,WAS,W (+4),0,23:19,3,10,.300,0,2,.000,0,0,,2,6,8,1,0,1,1,6,6,1.4,+7
21,21,2012-12-10,22-281,GSW,@,CHA,W (+8),0,19:07,0,8,.000,0,1,.000,0,0,,2,7,9,0,1,1,4,0,0,-4.4,+5
22,22,2012-12-12,22-283,GSW,@,MIA,W (+2),0,29:59,2,5,.400,1,2,.500,2,2,1.000,0,7,7,2,2,0,0,4,7,8.2,-9
23,23,2012-12-14,22-285,GSW,@,ORL,L (-14),0,13:51,0,4,.000,0,1,.000,0,0,,1,4,5,0,1,0,0,4,0,-1.5,-8
24,24,2012-12-15,22-286,GSW,@,ATL,W (+22),0,20:22,2,8,.250,0,0,,1,1,1.000,3,5,8,1,2,1,1,3,5,5.0,0
25,25,2012-12-18,22-289,GSW,,NOH,W (+7),0,23:42,2,4,.500,0,1,.000,2,2,1.000,2,4,6,2,3,0,1,1,6,9.6,+13
26,26,2012-12-19,22-290,GSW,@,SAC,L (-4),0,18:30,0,5,.000,0,1,.000,2,2,1.000,4,1,5,3,0,1,0,2,2,3.6,0
27,27,2012-12-21,22-292,GSW,,CHA,W (+15),0,19:57,5,6,.833,1,2,.500,0,0,,0,2,2,4,0,1,0,2,11,12.1,+15
28,28,2012-12-22,22-293,GSW,,LAL,L (-3),0,11:27,0,2,.000,0,0,,1,2,.500,2,1,3,0,2,0,1,1,1,1.5,-12
29,29,2012-12-26,22-297,GSW,@,UTA,W (+11),0,15:12,1,3,.333,0,1,.000,2,2,1.000,0,1,1,1,1,0,1,3,4,2.1,+4
30,30,2012-12-28,22-299,GSW,,PHI,W (+7),0,13:29,0,2,.000,0,1,.000,0,0,,1,4,5,1,0,0,1,1,0,-0.2,+1
31,31,2012-12-29,22-300,GSW,,BOS,W (+18),0,12:03,1,2,.500,0,0,,4,4,1.000,0,2,2,0,0,0,1,4,6,3.0,+3
32,32,2013-01-02,22-304,GSW,,LAC,W (+21),0,7:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-7
33,33,2013-01-05,22-307,GSW,@,LAC,L (-26),0,14:50,3,5,.600,0,1,.000,2,2,1.000,1,7,8,0,2,0,2,3,8,7.3,-3
34,34,2013-01-09,22-311,GSW,,MEM,L (-7),0,3:59,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+4
35,35,2013-01-11,22-313,GSW,,POR,W (+6),0,16:23,1,3,.333,0,0,,2,2,1.000,0,1,1,1,2,2,0,0,4,6.7,-4
36,36,2013-01-13,22-315,GSW,@,DEN,L (-11),0,11:19,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,0,0,2,2.0,-2
37,37,2013-01-16,22-318,GSW,,MIA,L (-17),0,29:21,3,5,.600,0,0,,3,4,.750,2,5,7,1,0,0,4,4,9,4.3,-15
38,38,2013-01-18,22-320,GSW,@,SAS,L (-7),0,16:41,3,5,.600,0,0,,0,0,,0,7,7,0,0,0,0,4,6,4.2,-3
39,39,2013-01-19,22-321,GSW,@,NOH,W (+4),0,18:29,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,5,3.7,-2
40,40,2013-01-21,22-323,GSW,,LAC,W (+7),0,11:44,3,4,.750,1,2,.500,0,0,,1,2,3,0,0,0,1,1,7,5.3,0
41,41,2013-01-23,22-325,GSW,,OKC,W (+5),0,7:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1
42,42,2013-01-25,22-327,GSW,@,CHI,L (-16),0,11:06,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,3,2,-0.9,-13
43,43,2013-01-26,22-328,GSW,@,MIL,L (-7),0,10:09,1,3,.333,0,1,.000,1,1,1.000,0,1,1,0,1,0,1,2,3,0.8,-10
44,44,2013-01-28,22-330,GSW,@,TOR,W (+12),0,10:55,0,0,,0,0,,0,0,,0,2,2,1,0,1,2,2,0,-0.8,+6
45,45,2013-01-29,22-331,GSW,@,CLE,W (+13),0,24:30,3,7,.429,1,3,.333,0,0,,1,6,7,2,1,0,2,5,7,4.2,-9
46,46,2013-01-31,22-333,GSW,,DAL,W (+3),0,15:17,1,5,.200,1,4,.250,2,2,1.000,1,4,5,2,0,0,3,4,5,0.6,+4
47,47,2013-02-02,22-335,GSW,,PHO,W (+20),0,11:33,0,3,.000,0,1,.000,0,0,,1,1,2,1,1,0,1,2,0,-1.2,-2
48,48,2013-02-05,22-338,GSW,@,HOU,L (-31),0,16:26,3,7,.429,0,1,.000,2,3,.667,0,2,2,0,0,2,0,4,8,4.3,+1
49,49,2013-02-06,22-339,GSW,@,OKC,L (-21),0,16:40,0,2,.000,0,0,,0,0,,1,5,6,1,1,0,0,1,0,2.1,-17
50,50,2013-02-08,22-341,GSW,@,MEM,L (-6),0,15:47,2,4,.500,0,0,,0,0,,1,5,6,1,0,1,2,3,4,2.4,-2
51,51,2013-02-09,22-342,GSW,@,DAL,L (-25),0,23:21,3,8,.375,0,0,,2,2,1.000,3,6,9,1,1,0,0,3,8,8.0,-13
52,52,2013-02-12,22-345,GSW,,HOU,L (-9),0,17:32,3,4,.750,1,2,.500,2,4,.500,1,3,4,2,2,1,1,0,9,11.3,0
53,53,2013-02-19,22-352,GSW,@,UTA,L (-14),0,15:12,1,6,.167,0,1,.000,0,0,,1,1,2,1,0,0,0,2,2,-0.9,-2
54,54,2013-02-20,22-353,GSW,,PHO,W (+10),0,5:08,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-1
55,55,2013-02-22,22-355,GSW,,SAS,W (+6),0,12:42,1,5,.200,1,1,1.000,0,0,,2,6,8,0,0,1,1,0,3,2.8,+13
56,56,2013-02-24,22-357,GSW,@,MIN,W (+1),0,11:00,0,3,.000,0,1,.000,0,0,,2,4,6,0,0,0,1,1,0,-0.9,-3
57,57,2013-02-26,22-359,GSW,@,IND,L (-11),0,11:19,1,4,.250,0,1,.000,0,0,,3,1,4,0,0,0,1,1,2,0.6,+1
58,58,2013-02-27,22-360,GSW,@,NYK,L (-4),1,27:02,2,4,.500,0,1,.000,0,0,,0,5,5,1,1,1,1,5,4,2.9,-7
59,59,2013-03-01,22-362,GSW,@,BOS,L (-8),0,7:41,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,1.2,-12
60,60,2013-03-02,22-363,GSW,@,PHI,L (-7),0,7:35,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-12
61,61,2013-03-04,23-000,GSW,,TOR,W (+7),0,11:09,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,4,0,-2.7,-5
62,62,2013-03-06,23-002,GSW,,SAC,W (+4),0,5:44,0,2,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,1.6,-1
63,63,2013-03-08,23-004,GSW,,HOU,L (-6),0,10:20,1,4,.250,0,1,.000,0,0,,1,4,5,0,0,0,0,3,2,0.3,+1
64,64,2013-03-09,23-005,GSW,,MIL,L (-10),0,24:35,4,7,.571,1,2,.500,0,0,,2,3,5,0,0,0,2,6,9,3.6,-11
65,65,2013-03-11,23-007,GSW,,NYK,W (+29),0,13:24,0,1,.000,0,0,,1,2,.500,0,5,5,0,0,1,0,1,1,1.7,+3
66,66,2013-03-13,23-009,GSW,,DET,W (+8),0,4:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-7
67,67,2013-03-15,23-011,GSW,,CHI,L (-18),0,15:57,0,4,.000,0,1,.000,0,0,,0,5,5,3,0,0,0,3,0,-0.4,+18
68,68,2013-03-17,23-013,GSW,@,HOU,W (+30),0,6:54,1,3,.333,0,2,.000,0,0,,1,1,2,0,2,0,0,2,2,2.5,+9
69,69,2013-03-18,23-014,GSW,@,NOH,W (+21),0,12:51,0,1,.000,0,0,,0,0,,0,2,2,2,1,1,0,1,0,2.6,-1
70,70,2013-03-20,23-016,GSW,@,SAS,L (-11),0,14:15,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,2,0,2,4,4.3,-1
71,71,2013-03-23,23-019,GSW,,WAS,W (+9),0,6:16,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,-3
72,72,2013-03-25,23-021,GSW,,LAL,W (+6),0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
73,73,2013-03-27,23-023,GSW,,SAC,L (-7),0,3:47,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,4,4.1,-3
74,74,2013-03-30,23-026,GSW,,POR,W (+27),0,18:00,0,3,.000,0,0,,0,0,,0,2,2,1,1,2,0,2,0,0.8,+18
75,75,2013-04-03,23-030,GSW,,NOH,W (+10),0,16:20,1,3,.333,1,2,.500,1,2,.500,0,3,3,1,1,1,1,1,4,3.8,-1
76,76,2013-04-05,23-032,GSW,@,PHO,W (+4),0,4:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-10
77,77,2013-04-07,23-034,GSW,,UTA,L (-7),0,3:20,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,2,2,1.9,-5
78,78,2013-04-09,23-036,GSW,,MIN,W (+16),0,8:03,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.8,-4
79,79,2013-04-11,23-038,GSW,,OKC,L (-19),0,15:27,1,2,.500,0,1,.000,1,2,.500,0,4,4,0,0,0,1,4,3,0.2,-2
80,,2013-04-12,23-039,GSW,@,LAL,L (-2),,,,,,,,,,,,,,,,,,,,,,
81,,2013-04-15,23-042,GSW,,SAS,W (+10),,,,,,,,,,,,,,,,,,,,,,
82,,2013-04-17,23-044,GSW,@,POR,W (+11),,,,,,,,,,,,,,,,,,,,,,
