Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,22-343,DAL,@,SAS,W (+7),0,29:52,3,5,.600,2,2,1.000,3,4,.750,2,0,2,1,1,0,0,4,11,9.8,+4
2,2,2023-10-27,22-345,DAL,,BRK,W (+5),0,27:50,2,7,.286,0,3,.000,3,6,.500,1,2,3,2,3,0,3,2,7,3.6,+8
3,3,2023-10-30,22-348,DAL,@,MEM,W (+15),1,34:16,5,10,.500,2,4,.500,0,0,,1,1,2,3,1,0,1,0,12,10.1,+4
4,4,2023-11-01,22-350,DAL,,CHI,W (+9),1,26:17,1,5,.200,1,5,.200,0,0,,0,3,3,1,0,0,2,2,3,-1.3,+14
5,5,2023-11-03,22-352,DAL,@,DEN,L (-11),0,27:10,5,8,.625,3,5,.600,0,0,,1,4,5,2,2,0,0,2,13,13.9,+4
6,6,2023-11-05,22-354,DAL,,CHO,W (+6),0,23:33,3,9,.333,1,4,.250,0,2,.000,0,2,2,3,1,1,1,1,7,4.1,+2
7,7,2023-11-06,22-355,DAL,@,ORL,W (+15),0,19:48,2,3,.667,1,2,.500,1,2,.500,0,2,2,1,1,0,1,3,6,4.4,+10
8,8,2023-11-08,22-357,DAL,,TOR,L (-11),0,17:35,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,1,1,2,3,1.9,-21
9,9,2023-11-10,22-359,DAL,,LAC,W (+18),0,17:39,1,4,.250,1,4,.250,0,0,,0,0,0,3,0,0,0,2,3,1.9,-15
10,10,2023-11-12,22-361,DAL,@,NOP,W (+12),0,27:47,5,11,.455,3,7,.429,0,0,,0,2,2,3,2,0,1,1,13,10.6,+11
11,11,2023-11-14,22-363,DAL,@,NOP,L (-21),0,27:38,1,3,.333,0,2,.000,0,0,,1,4,5,4,0,0,2,1,2,2.6,-14
12,12,2023-11-15,22-364,DAL,@,WAS,W (+13),1,36:43,0,4,.000,0,4,.000,0,0,,1,3,4,1,1,0,0,1,0,0.1,+12
13,13,2023-11-18,23-002,DAL,@,MIL,L (-7),0,19:44,1,3,.333,1,3,.333,0,0,,1,3,4,3,0,0,0,1,3,4.6,-27
14,14,2023-11-19,23-003,DAL,,SAC,L (-16),0,25:51,4,8,.500,2,5,.400,1,2,.500,1,3,4,5,2,0,1,2,11,11.9,-1
15,15,2023-11-22,23-006,DAL,@,LAL,W (+3),0,21:36,6,10,.600,3,6,.500,0,0,,0,3,3,1,0,0,0,1,15,11.6,+10
16,16,2023-11-25,23-009,DAL,@,LAC,L (-19),0,9:22,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,-1.2,-15
17,17,2023-11-28,23-012,DAL,,HOU,W (+6),1,30:17,2,4,.500,1,1,1.000,0,0,,1,6,7,2,0,1,1,4,5,5.0,+12
18,18,2023-12-01,23-015,DAL,,MEM,L (-14),1,31:09,4,10,.400,1,3,.333,1,1,1.000,0,2,2,5,3,0,3,0,10,8.7,-6
19,,2023-12-02,23-016,DAL,,OKC,L (-6),,,,,,,,,,,,,,,,,,,,,,
20,,2023-12-06,23-020,DAL,,UTA,W (+50),,,,,,,,,,,,,,,,,,,,,,
21,,2023-12-08,23-022,DAL,@,POR,W (+13),,,,,,,,,,,,,,,,,,,,,,
22,,2023-12-11,23-025,DAL,@,MEM,W (+7),,,,,,,,,,,,,,,,,,,,,,
23,,2023-12-12,23-026,DAL,,LAL,W (+2),,,,,,,,,,,,,,,,,,,,,,
24,,2023-12-14,23-028,DAL,,MIN,L (-18),,,,,,,,,,,,,,,,,,,,,,
25,,2023-12-16,23-030,DAL,@,POR,W (+11),,,,,,,,,,,,,,,,,,,,,,
26,,2023-12-18,23-032,DAL,@,DEN,L (-26),,,,,,,,,,,,,,,,,,,,,,
27,,2023-12-20,23-034,DAL,,LAC,L (-9),,,,,,,,,,,,,,,,,,,,,,
28,,2023-12-22,23-036,DAL,@,HOU,L (-26),,,,,,,,,,,,,,,,,,,,,,
29,,2023-12-23,23-037,DAL,,SAS,W (+25),,,,,,,,,,,,,,,,,,,,,,
30,,2023-12-25,23-039,DAL,@,PHO,W (+14),,,,,,,,,,,,,,,,,,,,,,
31,19,2023-12-27,23-041,DAL,,CLE,L (-3),0,21:25,1,4,.250,0,2,.000,0,0,,0,3,3,5,2,0,1,1,2,4.6,+12
32,20,2023-12-28,23-042,DAL,@,MIN,L (-8),0,14:36,1,3,.333,0,1,.000,0,0,,0,0,0,5,0,0,1,0,2,2.8,-7
33,21,2023-12-30,23-044,DAL,@,GSW,W (+10),0,24:41,6,8,.750,3,4,.750,3,3,1.000,0,0,0,2,0,0,1,0,18,15.2,+2
34,22,2024-01-01,23-046,DAL,@,UTA,L (-37),0,21:17,0,4,.000,0,1,.000,0,0,,0,2,2,1,0,0,2,4,0,-5.1,-21
35,23,2024-01-03,23-048,DAL,,POR,W (+29),1,27:13,3,5,.600,0,2,.000,2,2,1.000,0,4,4,1,2,0,0,4,8,8.0,+22
36,24,2024-01-05,23-050,DAL,,POR,W (+36),1,25:19,7,8,.875,0,0,,0,0,,2,3,5,5,1,0,1,0,14,17.0,+28
37,25,2024-01-07,23-052,DAL,,MIN,W (+7),1,30:52,2,3,.667,0,1,.000,0,0,,0,5,5,1,0,1,0,2,4,4.8,-2
38,26,2024-01-09,23-054,DAL,,MEM,L (-17),1,23:02,0,3,.000,0,1,.000,0,0,,1,2,3,0,0,1,0,1,0,-0.5,+1
39,27,2024-01-11,23-056,DAL,,NYK,W (+4),1,34:56,8,12,.667,2,4,.500,0,2,.000,0,2,2,3,1,0,0,2,18,14.9,-15
40,28,2024-01-13,23-058,DAL,,NOP,L (-10),1,32:23,3,8,.375,1,3,.333,2,2,1.000,2,4,6,4,0,0,3,2,9,6.2,-3
41,29,2024-01-15,23-060,DAL,,NOP,W (+5),1,29:50,4,8,.500,3,5,.600,2,6,.333,1,3,4,3,0,0,1,5,13,8.1,+14
42,,2024-01-17,23-062,DAL,@,LAL,L (-17),,,,,,,,,,,,,,,,,,,,,,
43,30,2024-01-22,23-067,DAL,,BOS,L (-9),1,37:45,5,11,.455,4,7,.571,0,0,,1,6,7,1,0,0,3,4,14,6.9,-9
44,31,2024-01-24,23-069,DAL,,PHO,L (-23),1,31:02,3,8,.375,2,6,.333,0,0,,3,1,4,3,0,0,1,1,8,6.7,-13
45,32,2024-01-26,23-071,DAL,@,ATL,W (+5),1,35:15,8,12,.667,4,5,.800,1,2,.500,1,1,2,4,0,0,3,5,21,14.2,+9
46,33,2024-01-27,23-072,DAL,,SAC,L (-5),1,33:26,4,9,.444,2,6,.333,1,2,.500,0,3,3,5,0,0,2,2,11,7.5,-14
47,34,2024-01-29,23-074,DAL,,ORL,W (+2),1,33:15,1,6,.167,0,3,.000,0,0,,0,2,2,1,1,0,2,5,2,-3.5,-18
48,35,2024-01-31,23-076,DAL,@,MIN,L (-34),1,29:07,8,13,.615,2,3,.667,0,0,,0,2,2,1,0,0,1,4,18,10.8,-19
49,36,2024-02-03,23-079,DAL,,MIL,L (-12),1,37:47,7,12,.583,4,8,.500,2,2,1.000,0,9,9,3,1,0,3,0,20,17.2,-29
