Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2020-12-23,22-319,WAS,@,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
2,,2020-12-26,22-322,WAS,,ORL,L (-10),,,,,,,,,,,,,,,,,,,,,,
3,,2020-12-27,22-323,WAS,,ORL,L (-7),,,,,,,,,,,,,,,,,,,,,,
4,,2020-12-29,22-325,WAS,,CHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
5,1,2020-12-31,22-327,WAS,,CHI,L (-3),1,25:13,5,8,.625,2,2,1.000,5,8,.625,2,3,5,3,1,0,2,1,17,15.2,+13
6,2,2021-01-01,22-328,WAS,@,MIN,W (+21),1,19:29,3,8,.375,0,0,,5,6,.833,1,3,4,2,0,0,1,3,11,7.0,+11
7,3,2021-01-03,22-330,WAS,@,BRK,W (+1),1,33:24,6,11,.545,0,3,.000,3,4,.750,1,1,2,3,1,0,1,4,15,10.8,-11
8,4,2021-01-06,22-333,WAS,@,PHI,L (-5),1,24:09,2,4,.500,1,1,1.000,3,4,.750,0,2,2,0,0,0,0,1,8,5.8,-13
9,5,2021-01-08,22-335,WAS,@,BOS,L (-9),1,37:12,7,12,.583,1,3,.333,2,2,1.000,1,4,5,3,2,0,1,3,17,15.2,-16
10,6,2021-01-09,22-336,WAS,,MIA,L (-4),1,25:48,8,18,.444,0,3,.000,1,1,1.000,1,4,5,2,0,0,0,4,17,9.3,+4
11,7,2021-01-11,22-338,WAS,,PHO,W (+21),1,28:22,4,9,.444,0,1,.000,2,3,.667,0,9,9,3,0,1,0,1,10,10.0,-2
12,,2021-01-24,22-351,WAS,@,SAS,L (-20),,,,,,,,,,,,,,,,,,,,,,
13,,2021-01-26,22-353,WAS,@,HOU,L (-19),,,,,,,,,,,,,,,,,,,,,,
14,,2021-01-27,22-354,WAS,@,NOP,L (-18),,,,,,,,,,,,,,,,,,,,,,
15,8,2021-01-29,22-356,WAS,,ATL,L (-16),1,24:05,3,9,.333,1,2,.500,2,2,1.000,3,2,5,1,0,0,1,4,9,4.7,-8
16,9,2021-01-31,22-358,WAS,,BRK,W (+3),1,28:39,2,9,.222,1,4,.250,4,6,.667,2,3,5,2,0,0,0,1,9,6.0,-2
17,10,2021-02-02,22-360,WAS,,POR,L (-11),1,34:00,10,12,.833,3,4,.750,1,2,.500,1,4,5,1,0,1,1,2,24,20.7,-11
18,11,2021-02-03,22-361,WAS,@,MIA,W (+3),1,35:24,3,11,.273,0,2,.000,5,9,.556,3,6,9,5,1,0,3,1,11,7.9,+5
19,12,2021-02-05,22-363,WAS,@,MIA,L (-27),1,27:00,4,13,.308,2,6,.333,2,2,1.000,1,1,2,3,0,0,2,1,12,5.2,-25
20,13,2021-02-07,22-365,WAS,@,CHO,L (-22),1,22:55,1,6,.167,1,1,1.000,2,2,1.000,2,4,6,0,1,0,0,0,5,4.8,-29
21,14,2021-02-08,23-000,WAS,@,CHI,W (+4),1,36:19,7,13,.538,1,3,.333,4,5,.800,0,10,10,0,0,0,2,3,19,12.1,-2
