Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-10-30,24-065,HOU,,CHA,W (+13),1,36:51,7,16,.438,1,6,.167,6,6,1.000,1,2,3,5,1,0,5,1,21,13.0,+9
2,2,2013-11-01,24-067,HOU,,DAL,W (+8),1,39:07,11,17,.647,4,8,.500,8,9,.889,1,3,4,3,4,0,4,2,34,29.0,+22
3,3,2013-11-02,24-068,HOU,@,UTA,W (+11),1,43:01,7,15,.467,2,6,.333,7,10,.700,1,3,4,5,3,1,5,4,23,16.3,+10
4,4,2013-11-04,24-070,HOU,@,LAC,L (-19),1,32:48,6,16,.375,0,7,.000,3,5,.600,1,1,2,5,0,0,2,2,15,7.1,-11
5,5,2013-11-05,24-071,HOU,@,POR,W (+15),1,39:34,11,18,.611,2,7,.286,9,10,.900,0,7,7,3,1,2,8,5,33,21.0,+11
6,6,2013-11-07,24-073,HOU,,LAL,L (-1),1,43:54,9,24,.375,3,9,.333,14,16,.875,3,6,9,5,4,2,3,0,35,30.8,+2
7,7,2013-11-09,24-075,HOU,,LAC,L (-13),1,37:35,4,15,.267,1,6,.167,3,3,1.000,1,4,5,5,2,1,3,2,12,7.4,-19
8,8,2013-11-11,24-077,HOU,,TOR,W (+6),1,47:43,7,19,.368,3,9,.333,9,11,.818,0,3,3,10,3,1,6,4,26,18.7,+3
9,,2013-11-13,24-079,HOU,@,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
10,9,2013-11-14,24-080,HOU,@,NYK,W (+3),1,41:40,9,17,.529,2,6,.333,16,18,.889,2,7,9,2,1,0,5,3,36,26.6,+3
11,10,2013-11-16,24-082,HOU,,DEN,W (+11),1,35:41,5,16,.313,2,6,.333,5,5,1.000,2,3,5,9,1,1,3,5,17,13.1,+11
12,11,2013-11-19,24-085,HOU,,BOS,W (+24),1,31:24,5,8,.625,3,3,1.000,2,2,1.000,0,4,4,5,1,1,7,2,15,10.0,+32
13,12,2013-11-20,24-086,HOU,@,DAL,L (-3),1,42:34,6,14,.429,2,8,.250,9,11,.818,0,1,1,8,0,0,1,4,23,18.1,+3
14,,2013-11-23,24-089,HOU,,MIN,W (+11),,,,,,,,,,,,,,,,,,,,,,
15,,2013-11-25,24-091,HOU,@,MEM,W (+7),,,,,,,,,,,,,,,,,,,,,,
16,,2013-11-27,24-093,HOU,,ATL,W (+29),,,,,,,,,,,,,,,,,,,,,,
17,13,2013-11-29,24-095,HOU,,BRK,W (+19),1,25:53,1,4,.250,0,1,.000,7,7,1.000,1,0,1,7,1,0,1,1,9,11.8,+22
18,14,2013-11-30,24-096,HOU,@,SAS,W (+6),1,37:19,10,19,.526,3,5,.600,8,13,.615,1,6,7,6,1,1,3,1,31,24.7,+3
19,15,2013-12-02,24-098,HOU,@,UTA,L (-6),1,43:07,12,22,.545,3,9,.333,10,10,1.000,1,2,3,8,1,0,4,5,37,28.3,-12
20,16,2013-12-04,24-100,HOU,,PHO,L (-9),1,41:08,3,17,.176,0,10,.000,8,8,1.000,0,4,4,2,1,0,5,4,14,0.3,-20
21,17,2013-12-06,24-102,HOU,,GSW,W (+22),1,39:38,13,22,.591,1,3,.333,7,9,.778,0,7,7,4,1,1,4,2,34,24.8,+25
22,18,2013-12-08,24-104,HOU,,ORL,W (+10),1,39:41,7,17,.412,3,7,.429,10,11,.909,4,4,8,10,0,0,3,1,27,25.1,+22
