Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-11-02,20-110,MIL,@,BOS,W (+11),1,32:53,8,11,.727,2,2,1.000,0,0,,0,6,6,2,0,1,3,1,18,14.0,+9
2,2,2012-11-03,20-111,MIL,,CLE,W (+3),1,13:18,2,3,.667,0,1,.000,0,0,,2,1,3,0,0,0,2,2,4,1.6,-21
3,3,2012-11-07,20-115,MIL,,MEM,L (-18),1,24:19,3,7,.429,0,0,,2,2,1.000,3,3,6,1,0,1,0,2,8,7.9,-14
4,4,2012-11-09,20-117,MIL,@,WAS,W (+10),1,15:13,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,1,4,5,0.7,-8
5,5,2012-11-10,20-118,MIL,,BOS,L (-4),1,10:14,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.1,-9
6,6,2012-11-12,20-120,MIL,@,PHI,W (+9),1,17:33,4,5,.800,0,1,.000,2,2,1.000,0,2,2,2,0,0,1,2,10,8.3,+4
7,7,2012-11-14,20-122,MIL,,IND,W (+14),1,20:05,4,5,.800,0,0,,3,4,.750,0,4,4,2,0,0,1,2,11,9.5,+19
8,8,2012-11-17,20-125,MIL,,NOH,W (+4),1,17:09,4,9,.444,2,4,.500,0,0,,1,0,1,0,0,0,2,1,10,3.6,+8
9,9,2012-11-19,20-127,MIL,@,CHA,L (-4),1,12:25,1,2,.500,0,1,.000,1,2,.500,0,3,3,0,0,1,0,3,3,2.0,+5
10,10,2012-11-21,20-129,MIL,@,MIA,L (-7),1,24:25,4,8,.500,1,4,.250,2,2,1.000,0,6,6,1,1,0,0,1,11,10.1,+8
11,11,2012-11-24,20-132,MIL,,CHI,L (-7),1,20:10,5,7,.714,0,1,.000,0,0,,0,3,3,0,0,1,1,1,10,7.3,-5
12,12,2012-11-26,20-134,MIL,@,CHI,W (+1),1,19:54,3,8,.375,0,0,,2,2,1.000,1,1,2,0,1,1,1,2,8,4.5,-16
13,13,2012-11-28,20-136,MIL,,NYK,L (-14),1,9:35,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-3
14,14,2012-11-30,20-138,MIL,@,MIN,L (-10),1,19:40,1,9,.111,0,1,.000,2,2,1.000,2,3,5,2,3,0,1,3,4,2.6,-6
15,,2012-12-01,20-139,MIL,,BOS,W (+3),,,,,,,,,,,,,,,,,,,,,,
16,15,2012-12-03,20-141,MIL,@,NOH,L (-21),0,2:32,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-4
17,16,2012-12-05,20-143,MIL,@,SAS,L (-11),0,1:14,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2
18,17,2012-12-07,20-145,MIL,,CHA,W (+15),0,6:09,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,4,2.7,-6
19,,2012-12-09,20-147,MIL,@,BRK,W (+9),,,,,,,,,,,,,,,,,,,,,,
20,18,2012-12-12,20-150,MIL,,SAC,W (+13),0,13:01,2,7,.286,1,1,1.000,2,2,1.000,2,0,2,1,1,0,2,0,7,4.0,-2
21,,2012-12-14,20-152,MIL,@,CLE,W (+4),,,,,,,,,,,,,,,,,,,,,,
22,,2012-12-15,20-153,MIL,,LAC,L (-26),,,,,,,,,,,,,,,,,,,,,,
23,,2012-12-18,20-156,MIL,,IND,W (+5),,,,,,,,,,,,,,,,,,,,,,
24,,2012-12-19,20-157,MIL,@,MEM,L (-10),,,,,,,,,,,,,,,,,,,,,,
25,,2012-12-21,20-159,MIL,@,BOS,W (+5),,,,,,,,,,,,,,,,,,,,,,
26,,2012-12-22,20-160,MIL,,CLE,L (-12),,,,,,,,,,,,,,,,,,,,,,
27,,2012-12-26,20-164,MIL,,BRK,W (+15),,,,,,,,,,,,,,,,,,,,,,
28,19,2012-12-29,20-167,MIL,,MIA,W (+19),0,3:01,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,0
29,,2012-12-30,20-168,MIL,@,DET,L (-2),,,,,,,,,,,,,,,,,,,,,,
30,20,2013-01-02,20-171,MIL,,SAS,L (-7),0,1:28,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,+6
31,21,2013-01-04,20-173,MIL,,HOU,L (-14),0,3:11,3,6,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,6,3.7,+4
32,22,2013-01-05,20-174,MIL,@,IND,L (-15),0,12:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,2,0,1,2,2.3,-2
33,,2013-01-08,20-177,MIL,,PHO,W (+9),,,,,,,,,,,,,,,,,,,,,,
34,,2013-01-09,20-178,MIL,@,CHI,W (+8),,,,,,,,,,,,,,,,,,,,,,
35,23,2013-01-11,20-180,MIL,,DET,L (-16),0,4:59,0,2,.000,0,0,,2,2,1.000,1,1,2,1,1,0,2,1,2,0.9,-1
36,,2013-01-13,20-182,MIL,@,TOR,W (+11),,,,,,,,,,,,,,,,,,,,,,
37,24,2013-01-15,20-184,MIL,@,LAL,L (-16),0,4:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
38,,2013-01-17,20-186,MIL,@,PHO,W (+4),,,,,,,,,,,,,,,,,,,,,,
39,,2013-01-19,20-188,MIL,@,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
40,,2013-01-22,20-191,MIL,,PHI,W (+8),,,,,,,,,,,,,,,,,,,,,,
41,,2013-01-25,20-194,MIL,@,CLE,L (-5),,,,,,,,,,,,,,,,,,,,,,
42,,2013-01-26,20-195,MIL,,GSW,W (+7),,,,,,,,,,,,,,,,,,,,,,
43,25,2013-01-29,20-198,MIL,@,DET,W (+27),0,6:14,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,0,0,2,2,0.1,-1
44,26,2013-01-30,20-199,MIL,,CHI,L (-16),0,7:00,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,0,2,0.0,-4
45,27,2013-02-01,20-201,MIL,@,NYK,L (-10),0,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
46,,2013-02-02,20-202,MIL,,ORL,W (+9),,,,,,,,,,,,,,,,,,,,,,
47,,2013-02-05,20-205,MIL,@,DEN,L (-8),,,,,,,,,,,,,,,,,,,,,,
48,28,2013-02-06,20-206,MIL,@,UTA,L (-14),0,1:46,0,2,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,1.3,-2
49,,2013-02-09,20-209,MIL,,DET,L (-5),,,,,,,,,,,,,,,,,,,,,,
50,,2013-02-11,20-211,MIL,,WAS,L (-12),,,,,,,,,,,,,,,,,,,,,,
51,,2013-02-13,20-213,MIL,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
52,,2013-02-19,20-219,MIL,@,BRK,L (-2),,,,,,,,,,,,,,,,,,,,,,
53,,2013-02-20,20-220,MIL,,BRK,L (-3),,,,,,,,,,,,,,,,,,,,,,
54,,2013-02-22,20-222,ORL,@,MEM,L (-6),,,,,,,,,,,,,,,,,,,,,,
55,29,2013-02-23,20-223,ORL,,CLE,L (-24),0,24:38,5,10,.500,0,1,.000,4,4,1.000,1,5,6,0,0,3,1,1,14,11.9,-10
56,30,2013-02-26,20-226,ORL,@,PHI,W (+14),0,30:32,7,9,.778,1,2,.500,1,2,.500,1,6,7,2,1,1,1,4,16,15.1,+5
57,31,2013-02-27,20-227,ORL,,SAC,L (-24),0,30:56,9,12,.750,1,2,.500,4,5,.800,2,4,6,2,2,0,2,5,23,19.8,-16
58,32,2013-03-01,20-229,ORL,,HOU,L (-8),0,31:25,11,15,.733,3,5,.600,2,2,1.000,1,9,10,2,1,0,1,4,27,24.1,0
59,33,2013-03-03,20-231,ORL,,MEM,L (-26),0,22:40,3,14,.214,0,5,.000,0,0,,1,2,3,1,0,1,1,3,6,-2.1,-14
60,34,2013-03-04,20-232,ORL,@,NOH,W (+3),0,31:22,6,9,.667,1,1,1.000,2,4,.500,2,3,5,2,2,0,0,3,15,14.8,+17
61,35,2013-03-06,20-234,ORL,@,MIA,L (-1),0,29:09,6,15,.400,1,3,.333,3,5,.600,2,5,7,1,1,1,3,6,16,7.0,+6
62,36,2013-03-08,20-236,ORL,,IND,L (-29),1,21:22,2,8,.250,1,1,1.000,2,2,1.000,0,8,8,0,0,2,4,5,7,0.0,-23
63,37,2013-03-10,20-238,ORL,,PHI,W (+8),1,37:36,7,16,.438,1,4,.250,0,0,,1,6,7,3,0,2,1,0,15,11.6,+11
64,38,2013-03-12,20-240,ORL,,LAL,L (-9),1,40:27,7,17,.412,3,5,.600,0,1,.000,5,10,15,2,1,3,0,3,17,17.3,-4
65,39,2013-03-15,20-243,ORL,@,OKC,L (-13),1,40:05,4,10,.400,1,3,.333,10,10,1.000,0,6,6,0,3,0,2,3,19,15.2,+1
66,40,2013-03-17,20-245,ORL,@,MIL,L (-6),1,31:54,4,8,.500,1,4,.250,5,6,.833,1,7,8,1,1,2,3,6,14,10.1,+2
67,41,2013-03-19,20-247,ORL,@,IND,L (-22),1,32:22,3,13,.231,0,4,.000,0,2,.000,3,6,9,2,0,2,1,4,6,1.4,-11
68,42,2013-03-20,20-248,ORL,@,NYK,L (-12),1,30:43,7,10,.700,0,1,.000,0,0,,2,3,5,0,0,0,5,3,14,5.9,-26
69,43,2013-03-22,20-250,ORL,,OKC,L (-8),1,43:09,3,17,.176,0,2,.000,4,4,1.000,3,12,15,3,0,1,3,6,10,2.4,-8
70,44,2013-03-25,20-253,ORL,,MIA,L (-14),1,40:31,8,14,.571,2,3,.667,2,5,.400,0,5,5,1,0,2,1,3,20,13.6,-13
71,45,2013-03-27,20-255,ORL,@,CHA,L (-6),1,45:07,10,20,.500,2,5,.400,7,8,.875,1,8,9,6,1,3,1,3,29,26.8,+3
72,46,2013-03-29,20-257,ORL,,WAS,W (+5),1,45:05,11,21,.524,2,3,.667,6,7,.857,2,9,11,0,3,3,1,2,30,26.7,-3
73,47,2013-03-30,20-258,ORL,@,ATL,L (-9),1,39:42,5,18,.278,1,4,.250,0,0,,2,8,10,1,2,0,2,4,11,3.3,-1
74,48,2013-04-01,20-260,ORL,@,HOU,L (-8),1,40:22,6,17,.353,0,6,.000,6,7,.857,2,9,11,4,0,3,1,3,18,14.9,-9
75,49,2013-04-03,20-262,ORL,@,SAS,L (-14),1,41:28,5,19,.263,1,6,.167,0,0,,1,6,7,5,1,3,4,2,11,4.0,-7
76,50,2013-04-05,20-264,ORL,@,CHI,L (-1),1,44:32,5,17,.294,0,1,.000,2,2,1.000,2,9,11,3,1,2,2,3,12,7.5,+2
77,51,2013-04-07,20-266,ORL,@,CLE,L (-6),1,41:07,11,19,.579,0,3,.000,4,6,.667,5,7,12,2,2,0,1,2,26,23.5,-1
78,52,2013-04-10,20-269,ORL,,MIL,W (+10),1,45:01,13,20,.650,3,4,.750,1,3,.333,7,12,19,5,0,0,2,4,30,28.8,+12
79,53,2013-04-13,20-272,ORL,,BOS,L (-32),1,34:20,7,16,.438,2,4,.500,6,8,.750,4,2,6,2,0,2,4,1,22,14.6,-21
80,54,2013-04-15,20-274,ORL,,CHI,L (-18),1,40:13,8,17,.471,0,2,.000,4,7,.571,3,1,4,4,1,1,1,1,20,15.6,-15
81,55,2013-04-17,20-276,ORL,@,MIA,L (-12),1,38:13,7,16,.438,0,3,.000,5,11,.455,2,6,8,2,1,0,0,5,19,11.8,-8
