Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,22-105,ORL,@,NOP,L (-17),1,36:32,9,18,.500,1,2,.500,6,6,1.000,2,6,8,0,1,0,4,2,25,15.4,-4
2,2,2014-10-30,22-107,ORL,,WAS,L (-7),1,35:25,4,12,.333,1,2,.500,5,7,.714,0,4,4,0,1,0,3,3,14,4.4,-15
3,3,2014-11-01,22-109,ORL,,TOR,L (-13),1,34:23,4,15,.267,1,1,1.000,2,4,.500,2,7,9,3,1,1,4,4,11,3.0,-21
4,4,2014-11-04,22-112,ORL,@,CHI,L (-8),1,37:22,9,15,.600,0,1,.000,3,3,1.000,1,8,9,1,1,1,1,5,21,16.6,0
5,5,2014-11-05,22-113,ORL,@,PHI,W (+2),1,36:26,8,18,.444,0,3,.000,2,2,1.000,2,6,8,1,2,1,2,2,18,12.4,-1
6,6,2014-11-07,22-115,ORL,,MIN,W (+9),1,41:06,7,15,.467,1,2,.500,2,4,.500,4,12,16,2,1,1,6,5,17,10.0,+11
7,7,2014-11-09,22-117,ORL,@,BRK,L (-8),1,35:22,4,13,.308,0,1,.000,3,4,.750,0,3,3,2,1,1,3,2,11,3.3,-16
8,8,2014-11-11,22-119,ORL,@,TOR,L (-4),1,39:01,8,16,.500,2,5,.400,5,5,1.000,3,10,13,5,1,1,2,6,23,20.9,+9
9,9,2014-11-12,22-120,ORL,@,NYK,W (+2),1,33:31,4,11,.364,1,2,.500,3,5,.600,1,4,5,1,0,0,2,3,12,4.5,+4
10,10,2014-11-14,22-122,ORL,,MIL,W (+16),1,37:38,10,18,.556,1,3,.333,5,6,.833,3,7,10,3,0,1,2,3,26,20.8,+2
11,11,2014-11-15,22-123,ORL,@,WAS,L (-5),1,36:14,8,11,.727,1,2,.500,2,2,1.000,1,7,8,1,1,0,1,4,19,16.4,-1
12,12,2014-11-17,22-125,ORL,@,DET,W (+14),1,38:01,10,17,.588,3,6,.500,1,2,.500,1,4,5,4,5,1,0,4,24,24.5,+15
13,13,2014-11-19,22-127,ORL,,LAC,L (-24),1,30:53,8,14,.571,2,2,1.000,7,7,1.000,1,2,3,1,1,0,0,1,25,21.0,-19
14,14,2014-11-21,22-129,ORL,@,CHO,W (+5),1,39:39,5,16,.313,0,2,.000,7,8,.875,1,15,16,1,1,2,1,1,17,14.3,+4
15,,2014-11-22,22-130,ORL,,MIA,L (-7),,,,,,,,,,,,,,,,,,,,,,
16,,2014-11-24,22-132,ORL,@,CLE,L (-32),,,,,,,,,,,,,,,,,,,,,,
17,15,2014-11-26,22-134,ORL,,GSW,L (-15),1,29:52,6,10,.600,0,1,.000,4,6,.667,1,9,10,2,0,0,1,0,16,14.4,-24
