Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,32-210,CHO,@,SAS,W (+27),1,28:54,6,11,.545,1,4,.250,7,7,1.000,0,5,5,2,1,0,5,3,20,12.4,+7
2,2,2022-10-21,32-212,CHO,,NOP,L (-12),1,37:11,12,19,.632,1,2,.500,1,2,.500,1,1,2,7,2,0,2,2,26,22.2,-6
3,3,2022-10-23,32-214,CHO,@,ATL,W (+17),1,31:18,4,10,.400,1,4,.250,3,5,.600,0,3,3,5,1,0,4,0,12,7.2,0
4,4,2022-10-26,32-217,CHO,@,NYK,L (-3),1,39:10,8,18,.444,1,3,.333,4,6,.667,2,7,9,4,0,1,5,0,21,12.8,-13
5,5,2022-10-28,32-219,CHO,@,ORL,L (-20),1,26:27,6,11,.545,3,6,.500,3,4,.750,0,6,6,3,0,0,2,0,18,14.2,-18
6,6,2022-10-29,32-220,CHO,,GSW,W (+7),1,34:35,8,16,.500,1,3,.333,6,7,.857,0,2,2,4,0,1,1,0,23,17.7,+9
7,7,2022-10-31,32-222,CHO,,SAC,L (-7),1,34:02,3,10,.300,1,3,.333,5,5,1.000,0,4,4,6,1,0,1,1,12,11.2,-9
8,8,2022-11-02,32-224,CHO,@,CHI,L (-18),1,16:12,3,11,.273,1,3,.333,0,1,.000,1,2,3,2,1,0,2,0,7,1.8,-1
9,,2022-11-04,32-226,CHO,@,MEM,L (-31),,,,,,,,,,,,,,,,,,,,,,
10,,2022-11-05,32-227,CHO,,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
11,,2022-11-07,32-229,CHO,,WAS,L (-8),,,,,,,,,,,,,,,,,,,,,,
12,,2022-11-09,32-231,CHO,,POR,L (-10),,,,,,,,,,,,,,,,,,,,,,
13,,2022-11-10,32-232,CHO,@,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
14,,2022-11-12,32-234,CHO,@,MIA,L (-17),,,,,,,,,,,,,,,,,,,,,,
15,,2022-11-14,32-236,CHO,@,ORL,W (+7),,,,,,,,,,,,,,,,,,,,,,
16,,2022-11-16,32-238,CHO,,IND,L (-12),,,,,,,,,,,,,,,,,,,,,,
17,9,2022-11-18,32-240,CHO,@,CLE,L (-10),1,42:21,5,14,.357,2,4,.500,1,2,.500,2,4,6,7,1,1,0,2,13,13.2,-3
18,10,2022-11-20,32-242,CHO,@,WAS,L (-4),1,36:44,7,16,.438,3,6,.500,3,4,.750,1,4,5,5,0,0,2,2,20,13.8,-9
19,11,2022-11-23,32-245,CHO,,PHI,W (+6),1,28:34,3,10,.300,1,4,.250,0,0,,0,2,2,3,0,0,4,0,7,-0.1,-7
20,,2022-11-25,32-247,CHO,,MIN,W (+2),,,,,,,,,,,,,,,,,,,,,,
21,,2022-11-28,32-250,CHO,@,BOS,L (-35),,,,,,,,,,,,,,,,,,,,,,
22,,2022-12-02,32-254,CHO,,WAS,W (+1),,,,,,,,,,,,,,,,,,,,,,
23,,2022-12-03,32-255,CHO,,MIL,L (-9),,,,,,,,,,,,,,,,,,,,,,
