Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,24-053,SAC,,POR,L (-7),1,28:48,8,12,.667,6,9,.667,1,2,.500,0,3,3,2,1,0,1,2,23,18.9,+16
2,2,2022-10-22,24-056,SAC,,LAC,L (-2),1,32:26,5,9,.556,5,8,.625,3,4,.750,0,3,3,5,0,0,1,4,18,15.1,+5
3,3,2022-10-23,24-057,SAC,@,GSW,L (-5),1,30:56,3,14,.214,1,8,.125,2,2,1.000,0,5,5,4,0,0,2,3,9,1.5,+5
4,4,2022-10-27,24-061,SAC,,MEM,L (-15),1,19:09,3,8,.375,1,4,.250,0,0,,0,2,2,2,0,0,0,1,7,4.2,+7
5,5,2022-10-29,24-063,SAC,,MIA,W (+6),1,38:11,8,11,.727,7,8,.875,4,6,.667,0,3,3,7,0,0,0,2,27,26.7,+5
6,6,2022-10-31,24-065,SAC,@,CHO,W (+7),1,35:47,8,16,.500,5,10,.500,5,5,1.000,0,2,2,5,2,1,2,1,26,22.4,+10
7,7,2022-11-02,24-067,SAC,@,MIA,L (-3),1,38:04,9,17,.529,4,9,.444,0,0,,0,2,2,2,1,0,1,3,22,14.5,-1
8,8,2022-11-05,24-070,SAC,@,ORL,W (+3),1,32:12,3,7,.429,3,6,.500,0,2,.000,0,1,1,2,0,1,1,2,9,5.1,-16
9,9,2022-11-07,24-072,SAC,@,GSW,L (-3),1,31:48,4,9,.444,3,6,.500,0,0,,0,3,3,1,2,0,1,2,11,8.1,-13
10,10,2022-11-09,24-074,SAC,,CLE,W (+7),1,29:50,3,7,.429,2,5,.400,6,7,.857,0,0,0,2,2,1,1,3,14,11.8,+12
11,11,2022-11-11,24-076,SAC,@,LAL,W (+6),1,32:28,6,13,.462,4,9,.444,0,1,.000,1,5,6,2,3,2,3,1,16,13.5,+6
12,12,2022-11-13,24-078,SAC,,GSW,W (+7),1,32:27,6,9,.667,4,6,.667,1,4,.250,0,5,5,4,0,0,3,1,17,12.8,+2
13,13,2022-11-15,24-080,SAC,,BRK,W (+32),1,29:40,7,10,.700,5,7,.714,0,0,,1,1,2,3,1,0,2,2,19,16.1,+40
14,14,2022-11-17,24-082,SAC,,SAS,W (+18),1,34:11,3,11,.273,1,5,.200,0,0,,0,2,2,6,1,1,2,3,7,3.8,+2
15,15,2022-11-20,24-085,SAC,,DET,W (+8),1,38:19,10,19,.526,4,11,.364,0,0,,2,3,5,5,1,0,2,4,24,17.9,+20
16,16,2022-11-22,24-087,SAC,@,MEM,W (+4),1,33:20,6,10,.600,4,7,.571,2,4,.500,2,4,6,1,3,1,3,3,18,15.4,-2
17,17,2022-11-23,24-088,SAC,@,ATL,L (-9),1,29:16,4,10,.400,3,7,.429,2,2,1.000,0,4,4,5,1,1,2,5,13,10.0,-7
18,18,2022-11-25,24-090,SAC,@,BOS,L (-18),1,31:49,2,10,.200,0,6,.000,3,3,1.000,0,3,3,3,0,1,2,2,7,1.7,-13
19,19,2022-11-28,24-093,SAC,,PHO,L (-5),1,32:26,8,15,.533,0,5,.000,2,3,.667,1,6,7,3,3,0,2,2,18,15.1,-6
20,20,2022-11-30,24-095,SAC,,IND,W (+23),1,27:31,5,10,.500,2,6,.333,1,2,.500,1,4,5,0,0,0,0,1,13,9.1,+25
21,21,2022-12-03,24-098,SAC,@,LAC,W (+27),1,30:04,4,8,.500,1,3,.333,3,3,1.000,1,1,2,4,1,0,0,2,12,12.0,+22
22,22,2022-12-04,24-099,SAC,,CHI,W (+9),1,31:37,5,18,.278,1,11,.091,1,2,.500,0,0,0,3,1,0,2,3,12,0.9,+7
23,23,2022-12-07,24-102,SAC,@,MIL,L (-13),1,32:40,5,9,.556,3,6,.500,0,0,,1,2,3,3,0,0,2,3,13,8.9,-19
24,24,2022-12-09,24-104,SAC,@,CLE,W (+11),1,33:49,7,15,.467,3,7,.429,2,2,1.000,0,5,5,2,3,0,1,2,19,15.4,+14
