Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-24,38-298,LAL,@,DEN,L (-12),1,29:00,10,16,.625,1,4,.250,0,1,.000,1,7,8,5,1,0,0,1,21,20.3,+7
2,2,2023-10-26,38-300,LAL,,PHO,W (+5),1,35:00,7,14,.500,1,5,.200,6,8,.750,1,7,8,9,2,2,5,1,21,20.3,+22
3,3,2023-10-29,38-303,LAL,@,SAC,L (-5),1,39:05,11,19,.579,3,8,.375,2,6,.333,0,15,15,8,0,0,8,2,27,17.8,-5
4,4,2023-10-30,38-304,LAL,,ORL,W (+3),1,32:47,7,17,.412,2,6,.333,3,4,.750,0,3,3,4,3,1,5,0,19,11.9,+5
5,5,2023-11-01,38-306,LAL,,LAC,W (+5),1,42:29,13,19,.684,4,8,.500,5,10,.500,0,12,12,7,1,2,4,3,35,30.6,+6
6,6,2023-11-04,38-309,LAL,@,ORL,L (-19),1,35:13,8,15,.533,2,5,.400,6,7,.857,1,8,9,5,3,0,3,1,24,22.5,+12
7,7,2023-11-06,38-311,LAL,@,MIA,L (-1),1,37:24,13,23,.565,0,4,.000,4,4,1.000,0,4,4,3,1,3,5,4,30,18.9,+6
8,8,2023-11-08,38-313,LAL,@,HOU,L (-34),1,27:12,7,13,.538,0,2,.000,4,5,.800,1,5,6,2,0,0,3,1,18,11.5,-24
9,9,2023-11-10,38-315,LAL,@,PHO,W (+3),1,36:23,11,17,.647,3,4,.750,7,11,.636,1,10,11,6,1,1,4,1,32,28.1,+2
10,,2023-11-12,38-317,LAL,,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
11,10,2023-11-14,38-319,LAL,,MEM,W (+27),1,22:39,6,11,.545,3,6,.500,1,2,.500,0,9,9,6,1,0,4,1,16,13.8,+15
12,11,2023-11-15,38-320,LAL,,SAC,L (-15),1,35:18,9,15,.600,3,7,.429,7,8,.875,2,8,10,12,4,1,6,1,28,31.2,0
13,12,2023-11-17,38-322,LAL,@,POR,W (+12),1,34:32,13,22,.591,5,9,.556,4,6,.667,0,5,5,9,2,0,3,3,35,29.6,+18
14,13,2023-11-19,38-324,LAL,,HOU,W (+1),1,39:35,14,19,.737,2,5,.400,7,9,.778,1,5,6,8,3,0,2,0,37,37.3,+2
15,14,2023-11-21,38-326,LAL,,UTA,W (+32),1,24:01,6,10,.600,3,5,.600,2,2,1.000,1,6,7,9,0,0,2,0,17,19.2,+14
16,15,2023-11-22,38-327,LAL,,DAL,L (-3),1,36:01,9,19,.474,4,9,.444,4,7,.571,2,7,9,7,0,0,3,0,26,20.5,+7
17,16,2023-11-25,38-330,LAL,@,CLE,W (+6),1,35:35,8,23,.348,1,9,.111,5,7,.714,1,5,6,6,2,2,4,1,22,13.7,+2
18,17,2023-11-27,38-332,LAL,@,PHI,L (-44),1,29:32,8,12,.667,1,1,1.000,1,2,.500,0,0,0,5,1,1,1,0,18,16.6,-30
19,18,2023-11-29,38-334,LAL,@,DET,W (+26),1,28:42,9,19,.474,2,6,.333,5,5,1.000,2,6,8,3,0,0,1,0,25,19.6,+26
20,19,2023-11-30,38-335,LAL,@,OKC,L (-23),1,35:03,7,12,.583,4,8,.500,3,4,.750,2,10,12,6,1,1,5,1,21,19.9,-18
21,20,2023-12-02,38-337,LAL,,HOU,W (+10),1,35:22,7,17,.412,0,4,.000,2,5,.400,0,4,4,7,1,1,5,0,16,8.5,+16
22,21,2023-12-05,38-340,LAL,,PHO,W (+3),1,40:10,12,25,.480,2,4,.500,5,6,.833,3,5,8,11,5,0,2,3,31,31.0,+12
23,22,2023-12-07,38-342,LAL,,NOP,W (+44),1,22:32,9,12,.750,4,4,1.000,8,8,1.000,0,5,5,8,0,0,0,1,30,31.9,+36
24,23,2023-12-12,38-347,LAL,@,DAL,L (-2),1,40:07,14,27,.519,3,8,.375,2,3,.667,2,6,8,9,3,1,4,1,33,28.1,-4
25,,2023-12-13,38-348,LAL,@,SAS,W (+3),,,,,,,,,,,,,,,,,,,,,,
26,24,2023-12-15,38-350,LAL,@,SAS,L (-14),1,35:56,7,17,.412,2,6,.333,7,10,.700,2,5,7,14,2,0,2,1,23,25.0,-28
27,25,2023-12-18,38-353,LAL,,NYK,L (-5),1,39:05,10,23,.435,2,8,.250,3,4,.750,1,10,11,11,1,0,2,1,25,22.5,-13
28,26,2023-12-20,38-355,LAL,@,CHI,L (-16),1,36:59,10,18,.556,1,3,.333,4,4,1.000,2,8,10,9,1,2,5,0,25,23.9,-11
29,,2023-12-21,38-356,LAL,@,MIN,L (-7),,,,,,,,,,,,,,,,,,,,,,
30,27,2023-12-23,38-358,LAL,@,OKC,W (+9),1,37:18,13,20,.650,5,5,1.000,9,9,1.000,2,5,7,7,2,2,3,0,40,39.4,+10
31,28,2023-12-25,38-360,LAL,,BOS,L (-11),1,36:47,5,14,.357,1,2,.500,5,6,.833,0,9,9,8,0,0,3,1,16,12.7,-11
32,29,2023-12-28,38-363,LAL,,CHO,W (+21),1,24:43,7,13,.538,2,5,.400,1,1,1.000,0,4,4,11,0,0,3,0,17,16.6,+1
33,30,2023-12-30,39-000,LAL,@,MIN,L (-2),1,38:46,10,21,.476,1,4,.250,5,7,.714,0,3,3,6,3,1,1,2,26,21.5,-5
34,31,2023-12-31,39-001,LAL,@,NOP,L (-20),1,36:41,12,24,.500,3,7,.429,7,8,.875,0,5,5,8,0,1,4,2,34,24.6,-11
35,32,2024-01-03,39-004,LAL,,MIA,L (-14),1,38:11,6,18,.333,0,6,.000,0,0,,0,6,6,9,0,0,2,2,12,7.1,-20
36,33,2024-01-05,39-006,LAL,,MEM,L (-14),1,38:50,11,24,.458,4,9,.444,6,10,.600,2,3,5,7,5,0,4,0,32,26.2,-8
37,34,2024-01-07,39-008,LAL,,LAC,W (+3),1,38:07,11,19,.579,1,3,.333,2,3,.667,1,7,8,7,1,0,4,2,25,19.6,+5
38,35,2024-01-09,39-010,LAL,,TOR,W (+1),1,35:13,8,17,.471,2,5,.400,4,6,.667,0,5,5,12,1,1,3,0,22,21.1,0
39,36,2024-01-11,39-012,LAL,,PHO,L (-18),1,24:16,3,11,.273,0,4,.000,4,7,.571,0,5,5,9,1,0,4,1,10,6.7,-25
40,,2024-01-13,39-014,LAL,@,UTA,L (-7),,,,,,,,,,,,,,,,,,,,,,
41,37,2024-01-15,39-016,LAL,,OKC,W (+7),1,38:55,12,20,.600,1,2,.500,0,1,.000,0,7,7,6,0,0,5,1,25,16.3,+2
42,38,2024-01-17,39-018,LAL,,DAL,W (+17),1,33:02,10,19,.526,3,7,.429,2,2,1.000,1,7,8,8,1,0,3,1,25,21.7,+20
43,39,2024-01-19,39-020,LAL,,BRK,L (-18),1,33:44,9,22,.409,2,5,.400,4,5,.800,5,6,11,5,0,0,4,1,24,16.2,-13
44,40,2024-01-21,39-022,LAL,,POR,W (+24),1,31:00,8,16,.500,3,8,.375,9,10,.900,0,5,5,5,0,0,3,2,28,20.8,+28
45,,2024-01-23,39-024,LAL,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
46,41,2024-01-25,39-026,LAL,,CHI,W (+9),1,35:42,10,19,.526,3,4,.750,2,2,1.000,0,4,4,12,2,0,5,2,25,21.5,+14
47,42,2024-01-27,39-028,LAL,@,GSW,W (+1),1,47:40,14,25,.560,2,4,.500,6,6,1.000,1,19,20,12,0,0,3,2,36,35.1,-6
48,43,2024-01-29,39-030,LAL,@,HOU,L (-16),1,36:47,9,15,.600,2,5,.400,3,8,.375,0,6,6,10,1,1,1,4,23,22.0,-11
49,44,2024-01-30,39-031,LAL,@,ATL,L (-16),1,35:49,7,17,.412,2,6,.333,4,9,.444,2,7,9,8,1,1,3,1,20,16.3,-6
50,,2024-02-01,39-033,LAL,@,BOS,W (+9),,,,,,,,,,,,,,,,,,,,,,
51,45,2024-02-03,39-035,LAL,@,NYK,W (+8),1,40:18,10,19,.526,2,5,.400,2,2,1.000,1,4,5,5,2,1,1,1,24,21.4,+11
