Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,20-245,PHO,,POR,L (-48),0,10:36,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,1,0,1.3,+1
2,,2017-10-20,20-247,PHO,,LAL,L (-2),,,,,,,,,,,,,,,,,,,,,,
3,2,2017-10-21,20-248,PHO,@,LAC,L (-42),0,6:10,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,1,1,0,0,2,3.0,-16
4,,2017-10-23,20-250,PHO,,SAC,W (+2),,,,,,,,,,,,,,,,,,,,,,
5,,2017-10-25,20-252,PHO,,UTA,W (+9),,,,,,,,,,,,,,,,,,,,,,
6,,2017-10-28,20-255,PHO,@,POR,L (-7),,,,,,,,,,,,,,,,,,,,,,
7,,2017-10-31,20-258,PHO,@,BRK,W (+8),,,,,,,,,,,,,,,,,,,,,,
8,,2017-11-01,20-259,PHO,@,WAS,W (+6),,,,,,,,,,,,,,,,,,,,,,
9,3,2017-11-03,20-261,PHO,@,NYK,L (-13),0,2:03,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,0
10,4,2017-11-05,20-263,PHO,@,SAS,L (-17),0,5:59,2,2,1.000,0,0,,1,2,.500,1,0,1,1,0,2,0,1,5,6.4,+10
11,,2017-11-06,20-264,PHO,,BRK,L (-6),,,,,,,,,,,,,,,,,,,,,,
12,,2017-11-08,20-266,PHO,,MIA,L (-11),,,,,,,,,,,,,,,,,,,,,,
13,5,2017-11-10,20-268,PHO,,ORL,L (-16),0,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
14,,2017-11-11,20-269,PHO,,MIN,W (+8),,,,,,,,,,,,,,,,,,,,,,
15,,2017-11-13,20-271,PHO,,LAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-16,20-274,PHO,,HOU,L (-26),,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-17,20-275,PHO,@,LAL,W (+9),,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-19,20-277,PHO,,CHI,W (+8),,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-22,20-280,PHO,,MIL,L (-6),,,,,,,,,,,,,,,,,,,,,,
20,6,2017-11-24,20-282,PHO,,NOP,L (-24),0,6:02,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+4
21,,2017-11-26,20-284,PHO,@,MIN,L (-11),,,,,,,,,,,,,,,,,,,,,,
