Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,23-290,SAS,,DAL,L (-7),0,25:06,5,7,.714,2,3,.667,4,4,1.000,1,4,5,6,0,0,1,0,16,18.2,+1
2,2,2023-10-27,23-292,SAS,,HOU,W (+4),0,32:57,3,8,.375,0,3,.000,0,0,,3,3,6,8,2,0,0,0,6,12.2,+14
3,3,2023-10-29,23-294,SAS,@,LAC,L (-40),0,20:02,1,4,.250,1,2,.500,2,2,1.000,0,2,2,4,1,0,4,3,5,1.8,0
4,4,2023-10-31,23-296,SAS,@,PHO,W (+1),0,23:45,3,4,.750,0,1,.000,4,4,1.000,0,2,2,3,1,1,0,0,10,12.8,+13
5,5,2023-11-02,23-298,SAS,@,PHO,W (+11),0,28:26,3,8,.375,2,4,.500,4,4,1.000,1,4,5,10,1,0,1,3,12,15.3,+19
6,6,2023-11-05,23-301,SAS,,TOR,L (-7),0,32:01,3,10,.300,0,2,.000,0,0,,1,2,3,6,0,1,4,4,6,0.8,-7
7,7,2023-11-06,23-302,SAS,@,IND,L (-41),0,18:47,1,5,.200,0,2,.000,2,2,1.000,1,0,1,8,0,0,1,1,4,5.8,-21
8,8,2023-11-08,23-304,SAS,@,NYK,L (-21),0,25:13,6,11,.545,0,2,.000,0,1,.000,0,1,1,5,1,1,0,0,12,11.8,-2
9,9,2023-11-10,23-306,SAS,,MIN,L (-7),0,25:48,4,8,.500,0,1,.000,0,0,,0,4,4,4,1,1,2,1,8,7.3,+7
10,,2023-11-12,23-308,SAS,,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
11,,2023-11-14,23-310,SAS,@,OKC,L (-36),,,,,,,,,,,,,,,,,,,,,,
12,,2023-11-17,23-313,SAS,,SAC,L (-9),,,,,,,,,,,,,,,,,,,,,,
13,10,2023-11-18,23-314,SAS,,MEM,L (-12),0,21:22,1,4,.250,0,1,.000,0,1,.000,0,0,0,3,0,0,1,1,2,-0.1,-18
14,11,2023-11-20,23-316,SAS,,LAC,L (-25),0,22:57,4,10,.400,1,3,.333,2,2,1.000,2,0,2,5,0,0,3,1,11,7.1,-12
15,12,2023-11-22,23-318,SAS,,LAC,L (-7),0,19:55,2,7,.286,0,2,.000,0,0,,0,2,2,1,3,0,1,1,4,2.8,-6
16,13,2023-11-24,23-320,SAS,@,GSW,L (-6),0,16:57,3,5,.600,1,1,1.000,0,0,,0,5,5,2,2,0,1,1,7,8.2,-10
17,14,2023-11-26,23-322,SAS,@,DEN,L (-12),0,22:20,4,8,.500,0,1,.000,2,2,1.000,0,4,4,6,0,0,1,2,10,9.6,+14
18,15,2023-11-30,23-326,SAS,,ATL,L (-2),0,24:16,1,5,.200,1,3,.333,0,1,.000,0,2,2,7,0,0,2,1,3,2.6,-2
19,16,2023-12-01,23-327,SAS,@,NOP,L (-15),0,22:41,4,9,.444,2,4,.500,0,0,,1,2,3,3,0,0,2,1,10,6.3,-10
20,17,2023-12-06,23-332,SAS,@,MIN,L (-8),0,26:13,2,8,.250,0,3,.000,0,0,,0,2,2,5,1,0,0,2,4,3.5,-11
21,18,2023-12-08,23-334,SAS,,CHI,L (-9),0,28:22,6,7,.857,2,2,1.000,4,4,1.000,0,5,5,8,1,0,1,2,18,21.8,+12
22,19,2023-12-11,23-337,SAS,@,HOU,L (-11),0,16:29,0,1,.000,0,1,.000,3,5,.600,0,0,0,2,2,0,0,1,3,4.5,-4
23,20,2023-12-13,23-339,SAS,,LAL,L (-3),0,22:12,3,5,.600,0,2,.000,0,0,,0,1,1,5,0,0,2,0,6,5.5,-11
24,,2023-12-15,23-341,SAS,,LAL,W (+14),,,,,,,,,,,,,,,,,,,,,,
25,21,2023-12-17,23-343,SAS,,NOP,L (-36),0,15:53,2,5,.400,0,2,.000,0,0,,0,0,0,5,0,0,0,1,4,4.4,-14
26,22,2023-12-19,23-345,SAS,@,MIL,L (-13),0,23:46,7,11,.636,0,1,.000,0,0,,0,1,1,5,1,0,2,1,14,11.5,-12
27,23,2023-12-21,23-347,SAS,@,CHI,L (-19),0,21:01,4,6,.667,1,1,1.000,0,0,,0,1,1,3,1,0,5,0,9,4.8,-11
28,24,2023-12-23,23-349,SAS,@,DAL,L (-25),0,17:51,4,8,.500,1,4,.250,0,0,,0,1,1,4,0,0,1,1,9,6.7,-23
29,25,2023-12-26,23-352,SAS,,UTA,L (-12),0,26:57,3,7,.429,0,1,.000,0,1,.000,3,1,4,7,2,0,0,1,6,10.8,-7
30,26,2023-12-28,23-354,SAS,@,POR,W (+13),0,25:48,2,6,.333,0,2,.000,4,4,1.000,3,2,5,6,1,0,1,0,8,11.5,+1
31,27,2023-12-29,23-355,SAS,@,POR,L (-6),0,26:57,7,9,.778,0,0,,0,0,,3,5,8,5,0,0,3,2,14,13.8,+14
32,28,2023-12-31,23-357,SAS,,BOS,L (-33),0,22:21,4,10,.400,0,5,.000,0,0,,1,3,4,2,0,0,1,3,8,3.4,-11
33,29,2024-01-02,23-359,SAS,@,MEM,L (-8),0,25:02,1,6,.167,0,3,.000,0,0,,0,4,4,4,1,0,0,2,2,2.4,+8
