Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,21-161,MIN,@,SAS,L (-8),0,23:06,1,3,.333,0,0,,1,1,1.000,0,2,2,1,1,0,0,1,3,3.2,+9
2,2,2017-10-20,21-163,MIN,,UTA,W (+3),0,15:08,0,2,.000,0,2,.000,0,0,,0,1,1,5,0,0,1,0,0,1.4,+2
3,3,2017-10-22,21-165,MIN,@,OKC,W (+2),0,8:48,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,1,2,1,-0.2,-12
4,4,2017-10-24,21-167,MIN,,IND,L (-23),0,17:38,0,1,.000,0,1,.000,3,3,1.000,1,2,3,2,0,0,1,1,3,3.6,-1
5,5,2017-10-25,21-168,MIN,@,DET,L (-21),0,17:18,2,4,.500,0,1,.000,2,2,1.000,1,2,3,2,1,0,1,1,6,6.3,-8
6,6,2017-10-27,21-170,MIN,,OKC,W (+3),0,10:21,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,2,0,0,-1.7,-9
7,7,2017-10-30,21-173,MIN,@,MIA,W (+3),0,15:36,2,4,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,3.3,-15
8,8,2017-11-01,21-175,MIN,@,NOP,W (+6),0,12:14,1,1,1.000,0,0,,2,2,1.000,0,1,1,5,0,0,2,1,4,5.1,+15
9,9,2017-11-04,21-178,MIN,,DAL,W (+13),0,13:06,3,4,.750,3,3,1.000,0,0,,0,0,0,1,0,0,0,0,9,8.1,0
10,10,2017-11-05,21-179,MIN,,CHO,W (+18),0,13:28,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,2,0,-2.9,+1
11,11,2017-11-08,21-182,MIN,@,GSW,L (-24),0,13:29,1,3,.333,0,1,.000,0,0,,1,3,4,2,3,0,0,0,2,6.3,-4
