Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-18,25-262,DAL,,ATL,L (-6),,,,,,,,,,,,,,,,,,,,,,
2,,2017-10-20,25-264,DAL,,SAC,L (-5),,,,,,,,,,,,,,,,,,,,,,
3,1,2017-10-21,25-265,DAL,@,HOU,L (-16),0,12:00,2,3,.667,0,1,.000,1,2,.500,0,1,1,1,1,0,0,1,5,4.9,+18
4,2,2017-10-23,25-267,DAL,,GSW,L (-30),0,6:17,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,2,3.3,-4
5,,2017-10-25,25-269,DAL,,MEM,W (+9),,,,,,,,,,,,,,,,,,,,,,
6,3,2017-10-26,25-270,DAL,@,MEM,L (-5),0,11:50,2,8,.250,1,5,.200,1,2,.500,2,2,4,1,0,1,0,0,6,4.2,+6
7,,2017-10-28,25-272,DAL,,PHI,L (-2),,,,,,,,,,,,,,,,,,,,,,
8,4,2017-10-30,25-274,DAL,@,UTA,L (-15),0,2:10,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+1
9,5,2017-11-01,25-276,DAL,@,LAC,L (-21),0,20:34,4,4,1.000,1,1,1.000,2,2,1.000,1,2,3,0,2,0,0,2,11,12.3,-13
10,,2017-11-03,25-278,DAL,,NOP,L (-5),,,,,,,,,,,,,,,,,,,,,,
11,6,2017-11-04,25-279,DAL,@,MIN,L (-13),0,22:09,2,4,.500,0,2,.000,0,0,,1,2,3,2,0,0,1,2,4,2.9,+18
12,,2017-11-07,25-282,DAL,@,WAS,W (+14),,,,,,,,,,,,,,,,,,,,,,
13,7,2017-11-11,25-286,DAL,,CLE,L (-7),0,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
14,8,2017-11-12,25-287,DAL,@,OKC,L (-13),0,8:24,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0,+7
15,9,2017-11-14,25-289,DAL,,SAS,L (-6),0,20:51,2,5,.400,0,2,.000,1,1,1.000,0,1,1,0,0,1,0,1,5,2.9,+1
16,10,2017-11-17,25-292,DAL,,MIN,L (-24),1,27:11,0,3,.000,0,2,.000,0,0,,1,2,3,0,0,0,1,2,0,-2.6,-19
17,11,2017-11-18,25-293,DAL,,MIL,W (+32),1,9:51,2,3,.667,0,0,,1,1,1.000,0,0,0,1,0,0,1,3,5,2.2,-2
18,12,2017-11-20,25-295,DAL,,BOS,L (-8),1,15:08,0,1,.000,0,1,.000,0,0,,2,2,4,0,0,0,0,3,0,0.1,-1
19,13,2017-11-22,25-297,DAL,@,MEM,W (+1),1,12:43,3,4,.750,0,0,,0,0,,0,3,3,0,0,0,0,0,6,5.3,+5
20,14,2017-11-25,25-300,DAL,,OKC,W (+16),1,20:52,3,6,.500,1,2,.500,0,0,,2,3,5,0,0,0,2,1,7,3.9,-4
21,15,2017-11-27,25-302,DAL,@,SAS,L (-7),1,12:57,2,2,1.000,1,1,1.000,0,0,,1,4,5,0,0,0,0,1,5,5.9,-16
22,16,2017-11-29,25-304,DAL,,BRK,L (-5),1,22:37,7,11,.636,2,4,.500,0,0,,3,4,7,0,0,1,1,5,16,12.1,-1
23,17,2017-12-02,25-307,DAL,,LAC,W (+26),1,23:01,1,4,.250,0,2,.000,1,2,.500,4,4,8,1,0,0,1,3,3,2.7,-6
24,18,2017-12-04,25-309,DAL,,DEN,W (+17),1,19:06,1,1,1.000,0,0,,0,0,,1,4,5,1,0,1,0,4,2,3.4,+5
25,19,2017-12-06,25-311,DAL,@,BOS,L (-7),1,28:31,5,8,.625,1,2,.500,2,3,.667,1,4,5,1,1,5,1,0,13,15.1,-3
26,20,2017-12-08,25-313,DAL,@,MIL,L (-7),1,23:32,3,6,.500,0,1,.000,1,2,.500,2,3,5,0,0,1,0,4,7,5.0,+8
27,21,2017-12-10,25-315,DAL,@,MIN,L (-5),1,34:13,6,9,.667,3,5,.600,1,2,.500,1,4,5,1,0,1,0,3,16,13.8,0
28,22,2017-12-12,25-317,DAL,,SAS,W (+6),1,30:16,2,5,.400,1,3,.333,0,0,,1,3,4,0,0,0,0,2,5,3.1,+1
29,23,2017-12-14,25-319,DAL,@,GSW,L (-15),1,28:30,1,2,.500,0,1,.000,2,2,1.000,1,2,3,2,0,0,0,3,4,4.5,-17
30,24,2017-12-16,25-321,DAL,@,SAS,L (-2),1,34:16,9,10,.900,3,4,.750,0,0,,0,3,3,0,0,3,0,1,21,20.2,-6
31,25,2017-12-18,25-323,DAL,,PHO,L (-6),1,29:53,3,10,.300,0,3,.000,0,0,,3,5,8,4,2,1,0,0,6,9.3,+14
32,26,2017-12-20,25-325,DAL,,DET,W (+17),1,19:07,1,4,.250,0,1,.000,0,0,,1,3,4,0,0,1,1,1,2,0.5,-15
33,27,2017-12-22,25-327,DAL,@,MIA,L (-12),1,8:00,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-22
34,28,2017-12-23,25-328,DAL,@,ATL,L (-5),1,19:27,3,5,.600,0,1,.000,2,2,1.000,2,0,2,0,0,1,1,0,8,6.8,-12
35,29,2017-12-26,25-331,DAL,,TOR,W (+5),1,25:00,6,9,.667,2,4,.500,1,1,1.000,2,6,8,2,2,5,0,3,15,20.0,+11
36,30,2017-12-27,25-332,DAL,@,IND,W (+4),1,17:53,2,7,.286,1,3,.333,0,0,,2,3,5,2,0,0,1,0,5,3.6,-10
37,31,2017-12-29,25-334,DAL,@,NOP,W (+8),1,21:05,1,4,.250,0,1,.000,1,2,.500,0,1,1,0,0,0,1,3,3,-1.7,+1
38,32,2017-12-31,25-336,DAL,@,OKC,W (+3),1,14:57,3,5,.600,0,0,,1,1,1.000,3,2,5,0,0,0,0,2,7,6.6,-2
39,33,2018-01-03,25-339,DAL,,GSW,L (-3),1,15:54,2,6,.333,1,3,.333,0,0,,0,1,1,0,0,1,0,2,5,1.8,-1
40,34,2018-01-05,25-341,DAL,,CHI,L (-3),1,22:51,4,7,.571,0,1,.000,0,0,,1,2,3,3,0,0,0,3,8,6.9,+5
41,35,2018-01-07,25-343,DAL,,NYK,L (-4),1,19:05,0,3,.000,0,2,.000,0,0,,3,1,4,0,1,1,0,2,0,1.2,-8
42,36,2018-01-09,25-345,DAL,,ORL,W (+15),1,4:34,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,1,2,1.9,-5
