Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,26-088,WAS,@,TOR,W (+15),1,34:38,4,13,.308,2,9,.222,1,2,.500,0,15,15,3,1,1,5,2,11,5.6,+22
2,2,2021-10-22,26-090,WAS,,IND,W (+1),1,38:33,10,17,.588,5,8,.625,1,2,.500,2,9,11,2,1,0,2,0,26,22.2,-12
3,3,2021-10-25,26-093,WAS,@,BRK,L (-14),1,26:56,3,11,.273,0,5,.000,0,0,,2,10,12,2,0,0,2,2,6,2.5,-12
4,4,2021-10-27,26-095,WAS,@,BOS,W (+9),1,33:04,4,11,.364,1,5,.200,3,6,.500,3,5,8,2,2,1,1,4,12,9.8,-2
5,5,2021-10-28,26-096,WAS,,ATL,W (+11),1,39:50,8,17,.471,2,6,.333,3,6,.500,1,7,8,0,3,0,0,1,21,16.5,+9
6,6,2021-10-30,26-098,WAS,,BOS,W (+3),1,47:57,6,14,.429,2,4,.500,3,7,.429,3,14,17,1,0,2,2,4,17,12.8,-3
7,7,2021-11-01,26-100,WAS,@,ATL,L (-7),1,33:37,7,15,.467,4,9,.444,0,0,,1,5,6,2,0,0,2,4,18,10.3,-7
8,8,2021-11-03,26-102,WAS,,TOR,L (-9),1,21:22,1,10,.100,0,5,.000,0,0,,0,2,2,1,0,1,0,1,2,-3.0,-13
9,9,2021-11-05,26-104,WAS,,MEM,W (+28),1,24:59,5,10,.500,3,4,.750,0,0,,0,6,6,3,0,0,1,1,13,10.5,+17
10,10,2021-11-07,26-106,WAS,,MIL,W (+7),1,29:43,6,11,.545,3,8,.375,0,0,,0,10,10,5,0,1,3,2,15,13.1,+2
11,11,2021-11-10,26-109,WAS,@,CLE,W (+3),1,34:47,8,14,.571,6,9,.667,0,0,,0,5,5,1,1,1,3,2,22,15.5,+3
12,12,2021-11-13,26-112,WAS,@,ORL,W (+12),1,34:39,6,14,.429,3,10,.300,2,4,.500,0,10,10,1,1,2,3,1,17,11.5,-2
13,13,2021-11-15,26-114,WAS,,NOP,W (+5),1,30:32,2,10,.200,2,7,.286,2,2,1.000,0,8,8,2,0,0,0,4,8,4.0,+1
14,14,2021-11-17,26-116,WAS,@,CHO,L (-10),1,30:28,2,12,.167,1,8,.125,0,0,,1,4,5,3,1,2,1,1,5,2.4,-14
15,15,2021-11-18,26-117,WAS,@,MIA,L (-15),1,40:08,7,12,.583,4,9,.444,1,2,.500,0,13,13,7,1,0,3,2,19,19.0,-12
16,16,2021-11-20,26-119,WAS,,MIA,W (+3),1,30:08,1,5,.200,0,1,.000,4,6,.667,4,7,11,1,0,1,1,2,6,6.6,-4
17,17,2021-11-22,26-121,WAS,,CHO,L (-6),1,30:49,5,12,.417,1,4,.250,0,0,,3,10,13,5,0,1,4,3,11,8.7,-14
18,18,2021-11-24,26-123,WAS,@,NOP,L (-25),1,27:39,2,4,.500,0,1,.000,3,3,1.000,0,5,5,4,0,0,4,3,7,4.1,-13
19,19,2021-11-26,26-125,WAS,@,OKC,W (+2),1,32:56,5,9,.556,1,3,.333,0,0,,1,9,10,5,0,0,4,3,11,8.4,-3
20,20,2021-11-27,26-126,WAS,@,DAL,W (+6),1,34:31,7,14,.500,3,6,.500,5,5,1.000,0,9,9,4,1,0,4,2,22,16.7,+9
21,21,2021-11-29,26-128,WAS,@,SAS,L (-17),1,32:50,5,9,.556,1,3,.333,2,2,1.000,0,5,5,3,0,0,1,3,13,10.1,-11
22,22,2021-12-01,26-130,WAS,,MIN,W (+8),1,31:42,2,6,.333,1,3,.333,0,0,,0,6,6,5,1,3,2,3,5,6.8,+1
23,23,2021-12-03,26-132,WAS,,CLE,L (-15),1,23:13,4,10,.400,2,6,.333,2,2,1.000,0,4,4,3,0,0,1,0,12,8.9,-32
24,24,2021-12-05,26-134,WAS,@,TOR,L (-12),1,30:07,4,11,.364,1,5,.200,0,0,,0,7,7,4,1,1,0,2,9,8.7,+5
