Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-10-30,22-123,SAS,,MEM,W (+7),1,30:15,5,9,.556,2,2,1.000,2,2,1.000,1,6,7,1,0,2,4,2,14,9.5,+2
2,2,2013-11-01,22-125,SAS,@,LAL,W (+6),1,31:34,6,15,.400,0,4,.000,3,3,1.000,2,9,11,0,1,0,0,3,15,10.8,+11
3,3,2013-11-02,22-126,SAS,@,POR,L (-10),1,26:26,4,9,.444,0,0,,1,1,1.000,0,1,1,1,2,0,1,2,9,5.5,-11
4,4,2013-11-05,22-129,SAS,@,DEN,W (+8),1,33:51,7,14,.500,0,2,.000,0,0,,0,3,3,2,2,0,2,3,14,8.1,-5
5,5,2013-11-06,22-130,SAS,,PHO,W (+3),1,27:16,4,9,.444,0,2,.000,0,0,,1,5,6,1,1,0,3,3,8,3.0,+4
6,6,2013-11-08,22-132,SAS,,GSW,W (+2),1,30:52,6,8,.750,1,2,.500,0,1,.000,2,5,7,2,4,0,0,1,13,17.3,0
7,7,2013-11-10,22-134,SAS,@,NYK,W (+31),0,23:19,7,10,.700,1,3,.333,3,4,.750,0,4,4,0,1,1,0,3,18,15.1,+7
8,8,2013-11-11,22-135,SAS,@,PHI,W (+24),1,24:14,6,12,.500,1,4,.250,0,0,,1,8,9,3,2,0,2,1,13,11.8,+18
9,9,2013-11-13,22-137,SAS,,WAS,W (+13),1,24:07,5,7,.714,2,4,.500,1,2,.500,0,3,3,2,2,0,0,0,13,14.0,-4
10,10,2013-11-15,22-139,SAS,@,UTA,W (+9),1,29:24,3,8,.375,0,2,.000,0,0,,1,8,9,1,2,0,2,5,6,3.4,-1
11,11,2013-11-20,22-144,SAS,,BOS,W (+11),1,31:45,7,14,.500,1,5,.200,1,2,.500,2,6,8,2,5,1,0,2,16,18.1,+4
12,12,2013-11-22,22-146,SAS,@,MEM,W (+16),1,32:57,6,11,.545,0,1,.000,0,0,,5,4,9,3,3,0,2,2,12,13.7,+4
13,13,2013-11-23,22-147,SAS,,CLE,W (+30),1,13:01,3,4,.750,1,1,1.000,2,2,1.000,0,3,3,0,0,1,0,1,9,8.6,+19
14,14,2013-11-25,22-149,SAS,,NOP,W (+19),1,20:42,3,8,.375,0,1,.000,1,1,1.000,2,9,11,1,2,0,1,1,7,8.0,+12
15,15,2013-11-27,22-151,SAS,@,OKC,L (-6),1,37:51,6,18,.333,1,5,.200,1,2,.500,3,7,10,2,4,0,1,4,14,10.4,-9
